,Dundee scored,Dundee received,Celtic scored,Celtic received,Hearts scored,Hearts received,Aberdeen scored,Aberdeen received,Motherwell scored,Motherwell received,Hamilton scored,Hamilton received,Partick scored,Partick received,St Johnstone scored,St Johnstone received,Dundee United scored,Dundee United received,Inverness C scored,Inverness C received,Ross County scored,Ross County received,Kilmarnock scored,Kilmarnock received
0,4,0,2,0,4,3,1,0,1,0,0,0,0,0,3,4,0,1,0,1,0,2,0,4
1,5,2,4,0,6,4,3,0,1,2,0,2,0,2,4,5,2,1,1,2,2,2,0,6
2,7,4,6,2,8,4,4,0,1,4,0,3,0,2,5,6,4,3,1,2,3,3,2,8
3,9,5,10,4,10,5,6,1,2,6,4,3,2,4,6,8,4,7,3,6,4,5,4,10
4,9,7,13,5,13,5,8,1,3,8,6,3,2,7,8,9,5,10,3,8,8,5,4,14
5,10,8,16,6,15,8,10,1,4,8,9,5,2,9,9,12,6,12,4,9,10,6,4,15
6,11,8,17,8,15,10,12,2,5,9,10,9,2,10,13,13,7,14,6,9,11,7,6,16
7,11,14,23,8,16,13,15,3,5,10,11,9,2,11,14,15,8,15,7,10,12,7,8,17
8,14,17,23,8,16,13,16,5,7,11,13,10,3,13,16,16,9,17,9,11,15,10,9,19
9,16,18,25,9,17,14,17,10,8,13,14,12,6,13,21,17,9,20,11,12,16,12,10,20
10,17,19,26,9,18,14,17,12,8,14,15,13,8,14,22,19,9,21,11,14,18,12,12,20
11,18,21,31,9,20,14,18,13,9,15,16,14,9,15,23,19,9,26,11,15,18,14,14,21
12,19,22,34,10,24,14,19,16,10,15,18,18,9,19,27,21,10,26,12,16,18,15,14,22
13,20,23,38,11,26,14,21,16,11,18,18,20,10,20,29,22,10,28,15,17,19,19,15,24
14,21,24,38,11,27,15,22,17,11,21,19,21,12,21,31,23,11,30,16,19,22,19,15,24
15,22,25,41,12,29,17,25,18,13,23,21,22,17,23,32,24,12,32,17,22,23,22,17,29
16,22,27,49,13,31,17,27,18,13,24,22,30,18,23,35,26,13,33,17,24,25,25,18,30
17,23,30,52,13,31,18,28,18,16,25,23,33,19,23,35,29,13,34,19,25,28,26,19,32
18,27,30,53,15,31,18,32,18,18,26,23,37,20,23,35,29,15,36,21,27,28,27,19,36
19,29,35,55,17,33,20,34,20,21,26,23,38,22,23,35,31,15,39,23,29,33,29,20,36
20,29,35,55,17,36,22,34,20,23,26,26,42,22,23,35,33,17,42,27,32,36,31,22,39
21,31,36,56,17,38,24,38,23,26,29,29,45,22,24,38,37,18,44,29,32,36,33,24,41
22,35,38,60,18,44,24,41,25,26,35,29,45,24,28,38,37,19,48,30,34,38,36,26,42
23,35,39,63,19,44,24,42,25,27,37,29,45,24,28,39,40,24,49,30,34,40,37,27,47
24,37,41,64,21,47,24,44,26,29,39,30,45,25,28,40,40,24,50,30,35,40,40,27,48
25,39,41,66,21,48,24,45,29,29,41,30,45,25,29,40,42,24,50,33,36,40,42,29,48
26,39,41,69,21,49,26,47,30,30,43,31,47,26,31,42,43,26,51,33,39,42,43,29,48
27,40,42,70,22,50,26,48,31,33,44,32,48,27,34,43,44,29,51,34,40,42,46,29,49
28,40,42,70,22,50,26,49,31,34,44,32,49,29,35,44,46,29,52,34,40,44,46,29,51
29,40,43,72,23,51,26,51,32,36,45,33,49,30,37,45,47,30,54,34,41,45,47,30,53
30,42,45,73,23,51,29,52,34,38,46,34,51,32,38,48,47,32,56,37,41,45,50,30,54
31,47,47,76,24,52,32,55,34,40,47,34,54,32,38,48,48,33,56,38,43,47,55,30,54
32,48,49,78,25,54,33,56,36,41,49,36,55,32,39,48,51,33,58,40,43,48,55,33,54
