,Dundee scored,Dundee received,Partick scored,Partick received,Celtic scored,Celtic received,Motherwell scored,Motherwell received,Hamilton scored,Hamilton received,Rangers scored,Rangers received,Aberdeen scored,Aberdeen received,St Johnstone scored,St Johnstone received,Hearts scored,Hearts received,Kilmarnock scored,Kilmarnock received,Ross County scored,Ross County received,Inverness C scored,Inverness C received
0,3,1,2,0,2,1,2,1,1,1,1,1,0,0,0,0,1,2,1,2,1,3,0,2
1,4,3,2,1,3,1,3,3,2,3,3,2,0,0,2,1,1,2,3,3,4,5,2,5
2,5,4,3,3,7,3,4,5,3,4,5,3,2,1,4,5,6,3,3,5,6,5,3,10
3,5,4,4,5,11,4,4,5,4,4,6,4,3,5,5,7,8,4,4,6,6,6,5,11
4,6,5,4,7,16,5,5,6,5,7,7,9,4,6,7,7,11,5,5,7,7,7,6,12
5,7,8,6,9,18,7,9,8,7,11,7,9,7,7,8,7,11,6,7,9,7,7,8,14
6,8,11,7,10,24,8,10,9,8,12,8,11,9,8,9,8,11,6,8,15,7,7,11,15
7,8,12,7,12,25,8,11,12,9,13,10,11,13,8,11,8,14,7,8,19,7,9,12,16
8,8,14,9,14,27,8,11,14,11,15,11,11,17,8,11,9,16,7,9,19,7,13,12,17
9,9,16,10,15,28,8,13,21,11,16,11,13,24,10,13,10,18,7,10,20,8,14,13,18
10,9,18,12,15,32,8,13,24,12,16,12,14,24,11,14,11,18,9,12,20,8,18,16,18
11,10,18,14,16,33,8,17,25,12,17,15,14,24,12,15,13,21,12,12,23,9,22,19,21
12,12,18,15,18,36,8,17,27,12,17,16,15,26,13,17,15,23,14,12,23,10,23,19,24
13,12,19,15,20,37,8,19,27,15,20,17,15,29,14,19,19,26,17,12,24,14,25,20,27
14,14,20,16,22,38,8,19,30,16,21,19,16,34,15,19,20,29,17,13,29,15,26,21,29
15,14,22,17,23,42,11,22,34,17,22,21,17,35,17,22,20,31,19,15,29,17,28,21,32
16,14,22,18,27,46,12,22,34,18,23,23,17,35,17,22,20,31,21,15,29,17,28,22,33
17,15,24,19,28,48,13,23,35,19,25,25,18,36,19,23,21,32,22,16,30,19,29,23,34
18,18,26,22,29,51,13,24,38,19,28,26,18,39,20,24,21,34,25,16,31,20,32,23,35
19,18,28,24,29,53,13,26,39,20,30,27,19,41,21,25,22,38,25,16,35,20,34,24,37
20,21,28,24,29,55,14,27,40,21,31,28,21,42,21,25,25,38,26,16,35,23,36,26,40
21,21,31,24,29,59,14,27,42,21,34,30,21,45,21,28,25,38,30,19,37,25,39,26,40
22,22,32,24,30,60,14,29,43,24,34,31,25,45,22,29,25,42,31,20,38,26,41,26,43
23,24,34,24,32,65,16,29,46,25,35,32,26,47,22,31,30,45,31,21,39,27,42,28,45
24,26,35,26,32,67,16,29,48,25,37,33,28,49,23,33,31,46,32,22,41,28,44,29,46
25,31,36,28,32,69,16,30,53,25,39,34,30,50,23,33,33,46,34,24,41,28,45,31,47
26,31,37,29,32,73,16,32,54,26,39,37,32,50,24,35,36,46,35,25,43,29,45,31,51
27,31,39,30,33,74,17,32,55,26,43,38,33,51,24,37,36,50,35,27,44,30,47,32,52
28,32,41,31,34,76,18,33,57,26,47,42,33,53,24,39,37,50,37,28,45,31,48,33,53
29,32,48,33,35,81,18,34,58,27,47,43,34,60,24,39,38,50,42,29,46,32,50,34,54
30,33,50,34,36,82,19,34,58,27,47,43,34,61,24,40,38,50,43,29,46,34,51,34,55
31,33,51,35,36,85,20,34,59,28,48,46,34,61,27,43,38,51,43,30,49,35,52,34,58
32,33,53,35,38,87,22,38,61,30,48,48,34,63,28,44,40,51,43,30,49,37,54,36,62
