,Celtic scored,Celtic received,Hibernian scored,Hibernian received,Aberdeen scored,Aberdeen received,Rangers scored,Rangers received,Ross County scored,Ross County received,St Johnstone scored,St Johnstone received,Dundee scored,Dundee received,Kilmarnock scored,Kilmarnock received,Motherwell scored,Motherwell received,Partick scored,Partick received,Hamilton scored,Hamilton received,Hearts scored,Hearts received
0,4,1,3,1,2,0,2,1,2,1,2,1,1,2,1,2,1,2,1,3,0,2,1,4
1,1,0,3,2,2,1,2,3,1,2,4,1,0,3,0,1,1,4,0,1,3,0,1,0
2,2,0,1,3,2,1,0,0,0,2,1,0,1,2,0,2,2,0,0,1,3,1,0,0
3,1,1,1,1,4,3,3,1,1,3,1,1,1,1,2,2,2,1,3,4,2,2,1,2
4,4,1,1,1,0,0,4,1,1,1,1,1,1,4,0,2,2,0,1,1,1,4,0,0
5,4,0,2,2,1,1,2,2,0,4,2,3,3,2,1,1,2,2,2,2,1,2,2,1
6,2,0,1,0,1,0,0,2,0,1,2,1,1,1,1,1,0,1,1,1,1,2,1,1
7,2,2,2,2,3,0,4,1,2,0,0,3,2,1,0,2,3,0,0,3,1,4,1,2
8,1,0,0,1,1,0,3,0,1,2,0,3,0,1,2,0,2,1,0,2,1,2,2,1
9,1,1,3,0,0,3,3,0,2,1,0,1,1,2,0,3,1,1,2,1,1,2,1,0
10,3,0,1,0,0,3,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
11,1,1,1,0,2,1,3,1,1,2,0,1,1,3,1,1,0,1,1,0,3,1,1,3
12,4,0,2,1,2,2,3,0,3,2,0,4,1,2,2,1,2,3,0,3,2,2,1,2
13,1,0,1,2,0,2,0,2,0,1,2,1,0,0,0,0,2,0,1,1,2,0,1,1
14,2,0,1,1,3,1,1,2,0,0,0,2,2,1,1,3,2,0,0,2,1,1,0,0
15,5,1,1,0,1,2,2,1,0,2,1,2,2,0,2,1,1,5,0,1,1,1,1,1
16,2,2,2,2,1,0,2,1,1,2,1,0,0,1,5,1,0,1,1,5,0,1,1,0
17,3,1,1,2,3,0,2,1,2,2,0,3,0,2,2,2,2,3,3,2,1,3,2,0
18,0,4,1,4,4,1,1,3,2,3,3,1,3,0,1,0,0,1,0,3,3,2,4,0
19,3,0,2,1,0,3,1,2,1,2,0,0,1,1,2,1,1,1,1,0,0,1,0,0
20,2,0,0,0,1,0,2,0,1,1,1,1,0,2,2,1,0,2,0,1,1,2,0,0
21,0,0,1,1,0,0,0,0,0,2,0,2,2,0,1,1,1,3,2,0,3,1,0,0
22,2,1,1,0,0,2,2,0,0,2,0,2,0,1,2,0,2,0,1,2,0,3,3,0
23,1,0,0,1,3,1,2,1,1,2,1,3,2,1,1,3,1,1,3,1,1,2,1,1
24,3,1,2,1,4,2,2,0,2,4,1,0,2,3,3,2,1,2,0,2,0,1,1,3
25,0,1,2,1,3,0,1,2,4,1,0,1,1,4,1,0,1,1,1,1,0,3,1,0
26,0,0,2,0,0,2,5,3,1,1,0,0,2,1,1,0,0,1,1,2,3,5,1,1
27,2,0,2,2,0,2,2,0,0,2,2,0,0,1,2,2,1,0,1,2,2,1,0,2
28,0,0,3,1,2,0,4,1,4,0,1,4,0,0,1,1,0,2,0,4,1,3,1,1
29,3,2,2,0,0,0,2,3,2,3,4,0,0,4,3,2,0,2,0,0,2,0,0,2
30,0,0,1,1,1,0,0,1,2,2,1,1,0,1,1,0,0,0,0,3,2,2,3,0
31,3,0,2,0,4,1,2,2,0,3,1,4,1,1,2,0,2,2,0,2,0,2,1,1
32,2,1,1,1,0,2,4,0,1,1,0,0,0,4,1,0,0,0,0,1,1,2,2,0
