,Hearts scored,Hearts received,Hibernian scored,Hibernian received,Celtic scored,Celtic received,Kilmarnock scored,Kilmarnock received,St Mirren scored,St Mirren received,Aberdeen scored,Aberdeen received,Rangers scored,Rangers received,Dundee scored,Dundee received,Livingston scored,Livingston received,St Johnstone scored,St Johnstone received,Hamilton scored,Hamilton received,Motherwell scored,Motherwell received
0,4,1,3,0,3,1,2,0,2,1,1,1,1,1,1,2,1,3,0,2,1,4,0,3
1,5,1,4,1,3,2,2,0,2,3,2,1,3,1,1,3,1,3,1,3,2,4,0,4
2,6,1,5,2,4,2,2,1,2,5,3,2,6,4,1,4,3,3,2,3,2,5,3,7
3,10,2,6,4,5,2,4,1,3,9,3,4,6,5,2,7,5,4,4,4,3,7,6,8
4,11,2,9,6,5,2,6,4,3,9,4,5,10,5,2,11,6,4,5,5,3,8,6,9
5,11,2,12,6,6,4,8,5,3,12,5,5,15,6,2,14,6,4,6,10,6,8,6,10
6,13,3,13,6,7,4,11,6,3,13,5,6,15,7,4,14,7,4,7,12,6,10,7,13
7,14,6,19,6,13,4,13,7,4,17,9,7,18,8,5,16,8,5,7,18,6,16,8,14
8,16,7,21,10,17,6,15,8,5,19,10,9,22,9,5,20,12,5,8,18,7,20,8,15
9,19,7,21,10,20,6,16,9,5,21,13,11,22,9,5,23,14,8,10,18,8,21,8,18
10,19,7,21,10,25,6,17,10,5,23,16,11,23,10,5,28,14,9,11,18,8,24,10,18
11,19,12,21,11,30,6,18,12,5,25,18,12,25,10,5,29,14,10,12,18,9,24,11,18
12,19,13,21,12,30,6,19,12,6,26,19,12,32,11,6,30,14,10,16,18,9,28,12,25
13,19,15,23,14,33,6,19,12,8,26,19,15,35,11,8,32,14,13,16,18,9,31,15,25
14,20,17,23,17,35,6,22,12,9,29,24,16,37,12,9,37,16,13,16,20,12,32,15,27
15,22,19,25,19,36,7,24,12,11,31,25,16,37,13,13,37,16,15,18,22,12,36,16,28
16,23,19,26,19,41,8,25,17,12,34,25,18,38,14,14,38,19,16,20,22,12,37,16,29
17,23,24,28,19,41,10,28,18,13,36,27,19,39,14,15,41,24,16,21,24,12,38,18,30
18,23,26,29,20,44,10,29,19,14,36,29,19,41,15,15,44,25,17,22,26,13,39,18,31
19,25,26,30,21,48,13,30,19,14,37,32,23,42,16,15,44,25,17,23,26,13,41,18,32
20,26,26,30,22,48,14,32,20,15,39,34,24,43,16,15,46,26,19,25,26,14,43,20,33
21,27,28,30,23,52,14,34,21,15,43,37,24,44,18,17,47,26,20,26,26,14,46,21,33
22,29,28,33,24,55,14,34,21,16,46,37,24,47,18,17,48,26,23,26,28,14,49,22,33
23,31,29,34,26,57,14,35,23,16,50,39,25,51,18,18,49,26,26,26,30,15,50,25,33
24,31,29,34,28,59,14,37,25,17,52,41,29,55,20,20,51,26,26,27,32,17,51,27,34
25,32,31,36,28,60,14,37,26,19,54,43,31,55,20,22,52,27,28,27,32,17,53,29,35
26,33,32,40,30,64,15,37,27,20,55,45,31,60,20,24,56,28,28,27,34,17,58,30,39
27,34,34,42,31,66,16,37,27,21,55,45,33,64,20,24,60,28,29,28,36,19,58,30,39
28,35,34,43,32,66,16,38,27,21,56,45,33,65,21,24,61,31,30,29,39,19,61,33,39
29,35,35,45,32,67,16,39,28,21,57,46,34,66,22,24,62,32,31,30,39,20,61,33,41
30,37,36,47,33,69,17,44,28,23,58,47,36,67,24,25,64,33,33,30,42,20,66,36,41
31,37,39,47,33,71,17,44,28,23,60,50,37,70,24,25,66,35,33,32,42,20,68,37,44
32,38,41,49,34,71,17,46,28,24,61,52,37,73,24,25,68,35,33,32,44,21,69,37,47
