,Celtic scored,Celtic received,Aberdeen scored,Aberdeen received,Rangers scored,Rangers received,Hibernian scored,Hibernian received,Livingston scored,Livingston received,Motherwell scored,Motherwell received,Hearts scored,Hearts received,Kilmarnock scored,Kilmarnock received,St Mirren scored,St Mirren received,Hamilton scored,Hamilton received,St Johnstone scored,St Johnstone received,Ross County scored,Ross County received
0,1.333333333,0.333333333,2,1,2.333333333,0.666666667,1.333333333,0.666666667,1,0.666666667,1.333333333,2,1,2,2.333333333,0,1,1.333333333,0.333333333,2.666666667,0.666666667,1.666666667,,
1,2.333333333,0.666666667,1.666666667,0.666666667,4,0.333333333,1,2.333333333,1.333333333,0.666666667,1,3.666666667,0.333333333,1.666666667,0.666666667,0.666666667,0.666666667,1,1,1,1.333333333,1.333333333,,
2,2.666666667,1,0.666666667,0.333333333,3.333333333,0.333333333,1.666666667,3,2,1,1.666666667,3,0.666666667,1.666666667,0.666666667,0.666666667,0.666666667,0.666666667,1.333333333,1.333333333,1.333333333,2,,
3,3.333333333,1,1,0.333333333,2.333333333,1,1,3.666666667,2.666666667,1.333333333,2.666666667,2,1,1.666666667,0.333333333,0.666666667,0.666666667,1,1.666666667,1.666666667,1.333333333,1.666666667,0.333333333,2.333333333
4,2,0.333333333,1.333333333,0.333333333,1.333333333,1,0.666666667,2.333333333,2.333333333,1.666666667,3,1,1.666666667,2.666666667,1,0,0.666666667,1.666666667,1,2,1,1.333333333,1,2.666666667
5,2,0.333333333,2,0.333333333,2.333333333,1,0.333333333,2.333333333,1,2,2.333333333,1.333333333,2,2,1.333333333,1,0.666666667,1.333333333,0.666666667,1,0.333333333,2,1.333333333,1.666666667
6,1.666666667,0.666666667,1,2,4,0.333333333,0.666666667,1.666666667,0.666666667,2.333333333,1.666666667,1.333333333,1.333333333,1.333333333,1,1,0.333333333,0.666666667,0.666666667,0.666666667,0.333333333,2,1.333333333,0.666666667
7,1.333333333,1.333333333,1,2,4.666666667,0,1,1.333333333,1,1.333333333,1.333333333,0.666666667,0.666666667,0.666666667,0.666666667,1,0,0.666666667,0.666666667,2,0.666666667,2.333333333,1.333333333,1
8,2.333333333,1,1.333333333,2,3.666666667,0.333333333,1,1,1.333333333,1.333333333,1,1,0.333333333,0.666666667,1,0.333333333,0.666666667,0.666666667,1,2.333333333,0.666666667,1.666666667,0.666666667,2.666666667
9,3.333333333,0.666666667,1.333333333,1.666666667,2.666666667,0.666666667,1.333333333,1.333333333,1,0.666666667,1,1.666666667,0.333333333,0.666666667,1.333333333,0.333333333,0.666666667,1,1,3,1.666666667,2,1.333333333,3.333333333
10,4,0,1.333333333,1.333333333,2.333333333,0.666666667,1.666666667,1.666666667,1,1.333333333,1,2,0.333333333,0.666666667,1.333333333,1,0.666666667,1,1,1.666666667,1.333333333,1.333333333,0.666666667,4
11,2.666666667,0,1.333333333,1.333333333,2,0.333333333,2,1.666666667,1,1.333333333,1.666666667,1.333333333,0,1,0.666666667,1.666666667,0.333333333,1.666666667,1.333333333,2,1.333333333,0.666666667,1.333333333,2.666666667
12,2,0,2.333333333,0.333333333,2,0,2.666666667,1.333333333,1,2,1.333333333,1.333333333,1.666666667,1.666666667,1,2.333333333,1,3,1.333333333,1.666666667,0.666666667,1.333333333,1,3
13,2.666666667,0,2.333333333,0.666666667,1.666666667,0.333333333,3,1,0.333333333,2.666666667,1,2,1.666666667,2.333333333,1.666666667,1.666666667,1.666666667,2.666666667,1.666666667,2.333333333,0.666666667,1.666666667,1.333333333,2.333333333
14,3.333333333,0.333333333,2,1,3.333333333,0.333333333,3,1.333333333,0,2,1.666666667,1.666666667,1.666666667,3.333333333,2.333333333,1.333333333,1.666666667,2.666666667,1,1.666666667,0.666666667,3,1,3
15,3.333333333,0.666666667,1.666666667,1.333333333,3.333333333,1,2,1.666666667,0.333333333,1.666666667,2.666666667,1,0.333333333,3,1.666666667,0.666666667,1,2,0.666666667,1.666666667,0.333333333,1.666666667,1.333333333,2.333333333
16,3,0.666666667,1.333333333,2,3,0.666666667,2,1.333333333,1.333333333,0.333333333,2.666666667,0,0.333333333,2.333333333,0.666666667,1.666666667,0.666666667,1.666666667,0.333333333,1,0,2.333333333,1,2.333333333
17,2.333333333,0.333333333,1,1.666666667,2,0.666666667,1.333333333,1.333333333,2.333333333,1.333333333,1.333333333,0.666666667,0.333333333,1,0,1.333333333,1.333333333,2,0.333333333,1.333333333,0.333333333,1,1,1
18,2.333333333,0.333333333,0.666666667,1.666666667,2.333333333,0,1,1.666666667,3.333333333,1,0.666666667,0.666666667,0.333333333,1.333333333,0,1.666666667,1.333333333,1,0.666666667,1,0.333333333,1,0.333333333,2
19,2,0.666666667,1.333333333,1,2,0,0.666666667,1.666666667,2.666666667,1.666666667,1,1,0.333333333,1.666666667,0,1,1.333333333,1.666666667,0.666666667,1,0.666666667,0,0.666666667,2
20,1.666666667,1.333333333,1.333333333,1.333333333,2,0.333333333,0.666666667,1.666666667,2.333333333,0.666666667,1.333333333,1,0.666666667,1.666666667,0,1,0.666666667,0.666666667,1.333333333,1,0.666666667,0.333333333,0.666666667,2.333333333
21,2,1.333333333,1,1,1.333333333,0.333333333,1.333333333,1,1.333333333,0.666666667,1.333333333,1,0.333333333,1,0.333333333,1.666666667,0.666666667,1,1,1.333333333,0.666666667,0.666666667,0.666666667,1
22,2.333333333,1,0.333333333,0.666666667,1.333333333,1,0.666666667,1,2.333333333,0.666666667,0.666666667,0.666666667,1,0.666666667,0.666666667,2,0.333333333,0.333333333,1.666666667,2.333333333,1,1,0.333333333,1.333333333
