,homeTeam,awayTeam,Home Team Rank,Away Team Rank,Home Team Scored Goals,Home Team Received Goals,Away Team Scored Goals,Away Team received Goals
0,Aberdeen,Rangers,9,3,2.0,1.6666666666666667,1.0,1.0
1,Hibernian,Kilmarnock,2,8,1.0,2.333333333333333,1.0,2.0
2,St Mirren,Livingston,5,10,0.3333333333333333,1.6666666666666667,1.0,1.3333333333333333
3,Celtic,Hamilton,1,12,3.333333333333333,1.0,0.6666666666666666,0.0
4,Ross County,Motherwell,4,11,1.0,2.0,1.6666666666666667,0.6666666666666666
5,Hamilton,Ross County,12,4,0.6666666666666666,0.0,1.0,2.0
6,Livingston,Hibernian,10,2,1.0,1.3333333333333333,1.0,2.333333333333333
7,Rangers,St Mirren,2,7,1.3333333333333333,0.3333333333333333,0.0,2.6666666666666665
8,Kilmarnock,Celtic,8,4,1.0,1.3333333333333333,2.6666666666666665,1.0
9,Motherwell,Livingston,10,11,1.6666666666666667,1.0,1.0,2.333333333333333
10,Rangers,St Johnstone,2,9,1.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
11,Ross County,Kilmarnock,3,8,0.6666666666666666,1.6666666666666667,1.0,1.3333333333333333
12,Hamilton,St Mirren,12,7,0.6666666666666666,0.3333333333333333,0.0,2.6666666666666665
13,Kilmarnock,St Johnstone,8,11,1.0,1.3333333333333333,0.3333333333333333,1.3333333333333333
14,Hibernian,Motherwell,2,9,2.0,1.3333333333333333,1.0,1.3333333333333333
15,Livingston,Rangers,10,1,1.0,2.333333333333333,2.333333333333333,0.0
16,St Johnstone,Aberdeen,11,6,0.3333333333333333,1.3333333333333333,1.3333333333333333,0.3333333333333333
17,Motherwell,Hamilton,9,12,1.0,1.3333333333333333,0.3333333333333333,0.3333333333333333
18,Rangers,Kilmarnock,1,8,2.333333333333333,0.0,1.0,1.3333333333333333
19,St Mirren,Ross County,5,3,0.3333333333333333,1.0,1.3333333333333333,1.3333333333333333
20,Aberdeen,Livingston,8,11,0.3333333333333333,0.0,1.0,2.0
21,St Johnstone,Hibernian,7,2,0.6666666666666666,1.6666666666666667,1.6666666666666667,0.3333333333333333
22,Livingston,Ross County,11,3,1.0,2.0,1.3333333333333333,1.3333333333333333
23,St Johnstone,St Mirren,7,5,0.6666666666666666,1.6666666666666667,0.3333333333333333,1.0
24,Hamilton,Rangers,12,1,0.0,0.6666666666666666,2.0,0.0
25,Celtic,Motherwell,4,10,0.3333333333333333,0.0,0.6666666666666666,1.0
26,Hibernian,Aberdeen,2,7,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333
