,0,1,2,3,4,5,6,7,8,9,10,11,12
0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0
3,Hearts,Rangers,Celtic,Kilmarnock,Inverness C,Hibernian,Aberdeen,Motherwell,Dundee United,Falkirk,Dunfermline,Livingston,
4,Hearts,Celtic,Kilmarnock,Hibernian,Rangers,Inverness C,Aberdeen,Dundee United,Motherwell,Falkirk,Dunfermline,Livingston,
5,Hearts,Celtic,Kilmarnock,Hibernian,Rangers,Inverness C,Aberdeen,Motherwell,Dundee United,Falkirk,Dunfermline,Livingston,
6,Hearts,Celtic,Rangers,Hibernian,Kilmarnock,Motherwell,Aberdeen,Inverness C,Dundee United,Falkirk,Dunfermline,Livingston,
7,Hearts,Celtic,Hibernian,Kilmarnock,Rangers,Aberdeen,Motherwell,Inverness C,Dundee United,Dunfermline,Falkirk,Livingston,
8,Hearts,Celtic,Rangers,Hibernian,Kilmarnock,Aberdeen,Motherwell,Inverness C,Dundee United,Falkirk,Dunfermline,Livingston,
9,Hearts,Celtic,Hibernian,Rangers,Kilmarnock,Motherwell,Aberdeen,Inverness C,Dundee United,Falkirk,Dunfermline,Livingston,
10,Hearts,Celtic,Hibernian,Rangers,Kilmarnock,Motherwell,Aberdeen,Inverness C,Dundee United,Falkirk,Dunfermline,Livingston,
11,Hearts,Celtic,Hibernian,Rangers,Aberdeen,Kilmarnock,Motherwell,Inverness C,Dundee United,Falkirk,Dunfermline,Livingston,
12,Celtic,Hearts,Hibernian,Rangers,Kilmarnock,Motherwell,Aberdeen,Inverness C,Dundee United,Falkirk,Dunfermline,Livingston,
13,Celtic,Hearts,Hibernian,Rangers,Kilmarnock,Motherwell,Aberdeen,Inverness C,Dundee United,Falkirk,Dunfermline,Livingston,
14,Celtic,Hearts,Hibernian,Rangers,Kilmarnock,Motherwell,Aberdeen,Inverness C,Falkirk,Dundee United,Livingston,Dunfermline,
15,Celtic,Hearts,Hibernian,Rangers,Kilmarnock,Aberdeen,Motherwell,Inverness C,Falkirk,Dundee United,Dunfermline,Livingston,
16,Celtic,Hearts,Hibernian,Kilmarnock,Rangers,Inverness C,Aberdeen,Motherwell,Dundee United,Falkirk,Dunfermline,Livingston,
17,Celtic,Hearts,Hibernian,Rangers,Kilmarnock,Inverness C,Motherwell,Aberdeen,Dundee United,Falkirk,Livingston,Dunfermline,
18,Celtic,Hearts,Hibernian,Rangers,Kilmarnock,Inverness C,Aberdeen,Motherwell,Dundee United,Falkirk,Livingston,Dunfermline,
19,Celtic,Hearts,Hibernian,Kilmarnock,Rangers,Inverness C,Motherwell,Aberdeen,Dundee United,Falkirk,Livingston,Dunfermline,
20,Celtic,Hearts,Hibernian,Rangers,Kilmarnock,Motherwell,Inverness C,Aberdeen,Dundee United,Falkirk,Dunfermline,Livingston,
21,Celtic,Hearts,Hibernian,Rangers,Kilmarnock,Inverness C,Motherwell,Aberdeen,Dundee United,Falkirk,Dunfermline,Livingston,
22,Celtic,Hearts,Hibernian,Rangers,Kilmarnock,Inverness C,Motherwell,Aberdeen,Dundee United,Falkirk,Dunfermline,Livingston,
23,Celtic,Hearts,Rangers,Hibernian,Kilmarnock,Inverness C,Motherwell,Aberdeen,Dundee United,Falkirk,Dunfermline,Livingston,
24,Celtic,Hearts,Hibernian,Rangers,Kilmarnock,Inverness C,Aberdeen,Motherwell,Dundee United,Falkirk,Dunfermline,Livingston,
25,Celtic,Hearts,Hibernian,Rangers,Kilmarnock,Inverness C,Aberdeen,Motherwell,Dundee United,Falkirk,Dunfermline,Livingston,
26,Celtic,Hearts,Rangers,Hibernian,Kilmarnock,Inverness C,Aberdeen,Motherwell,Dundee United,Falkirk,Dunfermline,Livingston,
27,Celtic,Hearts,Rangers,Hibernian,Kilmarnock,Inverness C,Aberdeen,Motherwell,Dundee United,Falkirk,Dunfermline,Livingston,
28,Celtic,Hearts,Rangers,Hibernian,Kilmarnock,Inverness C,Motherwell,Aberdeen,Dundee United,Falkirk,Dunfermline,Livingston,
29,Celtic,Hearts,Rangers,Kilmarnock,Hibernian,Aberdeen,Inverness C,Motherwell,Dundee United,Dunfermline,Falkirk,Livingston,
30,Celtic,Hearts,Rangers,Kilmarnock,Hibernian,Inverness C,Aberdeen,Motherwell,Dundee United,Dunfermline,Falkirk,Livingston,
31,Celtic,Hearts,Rangers,Hibernian,Kilmarnock,Aberdeen,Motherwell,Inverness C,Dundee United,Dunfermline,Falkirk,Livingston,
32,Celtic,Hearts,Rangers,Hibernian,Kilmarnock,Aberdeen,Motherwell,Inverness C,Dundee United,Falkirk,Dunfermline,Livingston,
