,Rangers scored,Rangers received,Hearts scored,Hearts received,Inverness C scored,Inverness C received,Celtic scored,Celtic received,Motherwell scored,Motherwell received,Aberdeen scored,Aberdeen received,Dundee United scored,Dundee United received,Dunfermline scored,Dunfermline received,Hibernian scored,Hibernian received,Kilmarnock scored,Kilmarnock received,Falkirk scored,Falkirk received,Livingston scored,Livingston received
0,3,0,4,2,2,0,4,4,4,4,1,1,1,1,1,1,1,1,2,4,0,2,0,3
1,4,0,8,2,2,1,6,4,5,4,2,3,1,3,1,2,1,5,4,5,2,2,0,5
2,6,3,11,2,3,1,9,5,6,8,5,5,1,6,1,3,4,5,8,6,3,5,0,8
3,9,4,13,2,5,3,10,8,10,13,5,7,6,10,2,4,6,5,10,8,3,7,1,9
4,9,7,15,3,6,4,14,8,11,15,8,7,7,11,2,8,9,5,13,8,3,10,1,12
5,10,8,19,4,7,6,16,8,13,16,8,9,8,13,4,11,11,6,16,10,4,11,2,16
6,13,8,20,4,7,7,17,8,18,16,10,9,10,13,4,13,11,7,16,13,4,16,2,18
7,13,9,21,4,8,9,19,9,19,19,10,9,11,15,6,14,14,8,17,14,5,17,2,18
8,18,10,23,6,10,10,24,9,21,21,12,11,11,15,7,19,15,10,17,14,7,19,2,23
9,18,10,24,7,11,11,25,10,22,21,13,12,11,15,7,20,19,12,19,18,8,19,2,24
10,20,10,26,7,12,12,26,10,22,23,13,13,14,16,7,22,20,12,19,19,9,22,3,25
11,22,12,27,7,12,15,31,10,22,28,15,13,14,18,8,24,22,13,19,20,12,22,5,27
12,23,13,27,9,13,16,35,12,25,28,17,17,16,22,8,27,24,13,23,22,13,23,6,28
13,23,13,30,9,15,17,38,12,27,30,17,17,16,25,9,29,26,14,25,24,13,26,7,30
14,23,16,31,10,17,19,41,12,28,31,18,18,17,26,9,30,28,17,27,26,16,28,8,30
15,24,18,32,11,18,20,41,13,29,32,20,19,18,27,10,30,30,18,30,26,17,30,8,33
16,26,20,34,12,20,20,44,14,29,34,21,22,19,27,10,31,30,19,31,26,19,32,9,35
17,29,22,34,12,20,20,47,16,30,34,21,22,19,28,10,31,32,22,33,29,19,33,10,35
18,30,22,34,13,21,21,48,17,31,36,21,22,21,29,11,33,34,23,35,30,20,35,10,35
19,33,25,39,13,23,21,50,18,34,37,22,25,22,31,14,36,34,25,37,31,20,40,11,37
20,36,25,41,16,23,21,53,20,36,38,22,25,22,34,16,37,36,27,39,33,21,42,12,39
21,37,25,45,17,26,21,57,22,36,39,24,26,24,35,17,41,37,29,41,37,22,44,12,42
22,41,26,45,18,30,22,60,23,37,42,25,27,25,36,18,44,40,30,42,37,23,48,13,46
23,44,28,49,19,32,25,63,26,38,43,27,29,28,39,19,45,41,34,44,39,24,48,13,47
24,44,30,50,20,34,27,65,27,38,45,29,29,29,40,21,47,48,34,46,39,25,50,13,54
25,44,31,51,22,37,30,66,27,40,45,31,30,29,42,22,47,48,34,49,42,25,50,13,55
26,46,31,54,22,41,32,74,28,40,48,32,30,31,46,23,55,48,36,52,43,25,51,14,58
27,48,32,57,24,41,33,77,28,41,48,32,33,32,49,23,56,51,37,53,43,26,53,16,61
28,52,32,57,24,41,33,79,29,44,49,32,34,35,50,24,56,52,39,53,47,27,56,17,64
29,53,33,58,25,42,35,81,30,46,51,35,34,36,51,25,57,54,41,55,48,28,58,17,67
30,54,33,60,26,44,35,83,30,48,53,37,36,38,53,25,58,54,43,57,50,29,60,17,69
31,58,34,60,27,44,36,84,30,50,54,38,36,39,57,26,59,56,44,58,52,30,61,18,71
32,59,34,64,27,45,38,88,31,50,55,39,36,39,58,26,63,56,45,59,56,31,61,20,72
