,Celtic scored,Celtic received,Falkirk scored,Falkirk received,Hearts scored,Hearts received,Rangers scored,Rangers received,St Mirren scored,St Mirren received,Aberdeen scored,Aberdeen received,Hibernian scored,Hibernian received,Dundee United scored,Dundee United received,Dunfermline scored,Dunfermline received,Inverness C scored,Inverness C received,Motherwell scored,Motherwell received,Kilmarnock scored,Kilmarnock received
0,4,1,2,1,2,1,2,1,2,1,1,1,1,1,1,2,1,2,1,2,1,2,1,4
1,5,3,3,1,4,2,4,3,4,1,2,2,2,3,3,4,1,3,2,3,1,4,3,5
2,7,3,3,1,4,2,5,4,4,3,4,2,2,3,3,4,2,4,2,3,1,6,3,5
3,8,4,4,3,4,4,7,4,5,4,5,3,5,4,3,4,2,4,3,4,2,9,5,6
4,10,5,4,4,8,5,9,6,6,7,6,3,6,6,6,5,2,5,4,8,3,9,7,8
5,11,5,4,8,8,6,13,6,7,7,6,4,9,6,6,8,5,7,8,9,4,13,9,11
6,12,5,4,10,9,6,14,8,7,8,8,4,11,7,6,8,5,8,8,9,4,14,10,11
7,14,5,5,10,12,7,14,10,8,10,9,7,11,8,7,9,7,9,9,10,5,15,11,12
8,15,5,5,11,16,7,15,10,9,10,9,8,11,9,7,13,7,10,10,10,10,15,11,17
9,19,6,6,12,18,9,15,11,10,11,9,9,13,11,8,17,8,12,11,10,12,16,12,17
10,21,7,8,15,18,11,18,13,12,14,12,10,17,11,9,20,8,16,14,12,13,18,14,17
11,23,8,13,16,19,12,19,14,13,15,14,11,18,13,10,25,9,17,15,13,14,19,15,19
12,25,9,16,16,20,14,20,16,13,15,15,12,20,15,12,26,9,20,16,14,14,19,17,21
13,28,10,17,17,21,15,22,16,14,18,17,13,22,15,13,26,9,22,16,16,15,21,17,22
14,31,10,18,19,21,16,23,16,14,20,19,13,28,16,14,28,11,23,16,19,16,27,19,23
15,33,12,20,23,21,16,26,16,14,21,22,13,30,18,15,28,11,26,16,19,20,29,19,26
16,34,12,21,23,23,18,26,17,16,23,22,14,32,19,16,30,12,31,16,20,21,29,24,27
17,36,13,22,25,27,19,29,17,17,24,24,15,32,22,19,31,13,33,17,23,22,33,25,28
18,37,14,24,26,27,20,30,18,17,24,25,15,33,24,22,33,13,33,20,27,24,36,29,31
19,38,14,24,27,28,20,32,19,18,29,26,17,38,25,22,34,13,33,20,27,26,37,30,33
20,40,16,24,28,31,22,33,21,19,29,29,18,40,28,24,36,13,35,22,28,28,37,31,36
21,41,17,27,29,31,22,34,22,20,30,30,21,42,28,27,37,13,37,23,31,29,38,31,36
22,43,17,32,30,32,22,35,22,21,32,30,21,42,28,28,42,13,38,25,32,29,39,31,38
23,45,18,33,30,33,24,40,22,21,32,31,22,44,28,28,47,13,39,26,33,29,39,31,40
24,50,19,33,31,34,24,41,22,22,37,33,22,44,31,28,48,13,40,29,33,29,41,32,40
25,52,20,33,33,34,24,41,22,22,39,35,22,46,31,28,48,13,40,30,35,29,43,34,40
26,53,20,34,35,35,24,44,23,22,40,38,22,46,32,29,48,13,43,30,36,31,44,35,43
27,55,21,35,37,36,25,46,24,23,41,39,24,46,32,29,48,14,44,30,37,32,44,36,44
28,57,22,36,39,38,25,48,24,23,43,41,25,46,34,29,49,15,46,31,37,32,46,38,44
29,57,23,36,41,38,26,49,24,23,43,42,25,48,34,30,50,15,46,33,40,33,47,41,46
30,57,24,37,41,38,30,52,24,24,44,42,28,49,35,34,50,18,47,34,43,33,48,42,46
31,58,25,39,41,39,30,53,25,24,46,44,29,49,36,35,51,18,49,35,44,35,48,43,48
32,59,25,40,42,40,30,54,25,24,47,46,33,49,37,39,53,19,49,36,45,35,49,43,49
