,0,1,2,3,4,5,6,7,8,9,10,11
0,Falkirk,Rangers,Dundee United,Hibernian,Motherwell,Celtic,Kilmarnock,Aberdeen,Hearts,St Mirren,Inverness C,Gretna
1,Rangers,Hibernian,Motherwell,Celtic,Kilmarnock,Falkirk,Dundee United,Aberdeen,Hearts,St Mirren,Inverness C,Gretna
2,Rangers,Celtic,Hibernian,Kilmarnock,Motherwell,Dundee United,St Mirren,Falkirk,Hearts,Aberdeen,Inverness C,Gretna
3,Rangers,Celtic,Motherwell,Hibernian,Dundee United,Kilmarnock,St Mirren,Falkirk,Aberdeen,Hearts,Inverness C,Gretna
4,Rangers,Celtic,Hibernian,Dundee United,Motherwell,Kilmarnock,St Mirren,Aberdeen,Hearts,Falkirk,Inverness C,Gretna
5,Celtic,Rangers,Dundee United,Hibernian,Motherwell,Kilmarnock,Hearts,St Mirren,Aberdeen,Falkirk,Inverness C,Gretna
6,Rangers,Celtic,Hibernian,Dundee United,Motherwell,Kilmarnock,Hearts,Falkirk,St Mirren,Aberdeen,Inverness C,Gretna
7,Celtic,Rangers,Hibernian,Dundee United,Motherwell,Hearts,Kilmarnock,Aberdeen,Falkirk,St Mirren,Inverness C,Gretna
8,Celtic,Hibernian,Rangers,Dundee United,Hearts,Motherwell,Kilmarnock,Aberdeen,Falkirk,Inverness C,St Mirren,Gretna
9,Celtic,Rangers,Hibernian,Dundee United,Motherwell,Aberdeen,Hearts,Kilmarnock,St Mirren,Falkirk,Inverness C,Gretna
10,Celtic,Rangers,Dundee United,Hibernian,Kilmarnock,Motherwell,Aberdeen,Hearts,St Mirren,Inverness C,Falkirk,Gretna
11,Celtic,Rangers,Hibernian,Dundee United,Aberdeen,Motherwell,Kilmarnock,Hearts,St Mirren,Falkirk,Inverness C,Gretna
12,Celtic,Rangers,Hibernian,Dundee United,Motherwell,Hearts,Aberdeen,Kilmarnock,St Mirren,Falkirk,Inverness C,Gretna
13,Celtic,Rangers,Hibernian,Dundee United,Motherwell,Hearts,Aberdeen,Kilmarnock,St Mirren,Inverness C,Falkirk,Gretna
14,Celtic,Rangers,Hibernian,Dundee United,Motherwell,Aberdeen,Hearts,Kilmarnock,Inverness C,Falkirk,St Mirren,Gretna
15,Rangers,Celtic,Motherwell,Hibernian,Dundee United,Aberdeen,Hearts,Inverness C,Falkirk,Kilmarnock,St Mirren,Gretna
16,Rangers,Celtic,Motherwell,Dundee United,Hibernian,Aberdeen,Inverness C,Hearts,Falkirk,Kilmarnock,St Mirren,Gretna
17,Rangers,Celtic,Motherwell,Dundee United,Hibernian,Aberdeen,Inverness C,Falkirk,Hearts,Kilmarnock,St Mirren,Gretna
18,Rangers,Celtic,Motherwell,Dundee United,Hibernian,Aberdeen,Falkirk,Inverness C,Kilmarnock,Hearts,St Mirren,Gretna
19,Rangers,Celtic,Motherwell,Dundee United,Aberdeen,Hibernian,Falkirk,Inverness C,Kilmarnock,Hearts,St Mirren,Gretna
20,Rangers,Celtic,Motherwell,Dundee United,Aberdeen,Hibernian,Falkirk,Inverness C,Kilmarnock,Hearts,St Mirren,Gretna
21,Rangers,Celtic,Motherwell,Aberdeen,Dundee United,Falkirk,Hibernian,Inverness C,St Mirren,Kilmarnock,Hearts,Gretna
22,Rangers,Celtic,Dundee United,Motherwell,Aberdeen,Falkirk,Hibernian,Inverness C,St Mirren,Hearts,Kilmarnock,Gretna
23,Rangers,Celtic,Dundee United,Motherwell,Hibernian,Aberdeen,Falkirk,Inverness C,Hearts,St Mirren,Kilmarnock,Gretna
24,Rangers,Celtic,Motherwell,Dundee United,Hibernian,Aberdeen,Falkirk,Inverness C,Hearts,St Mirren,Kilmarnock,Gretna
25,Rangers,Celtic,Motherwell,Dundee United,Hibernian,Falkirk,Inverness C,Aberdeen,Hearts,St Mirren,Kilmarnock,Gretna
26,Rangers,Celtic,Motherwell,Hibernian,Dundee United,Falkirk,Hearts,Inverness C,Aberdeen,St Mirren,Kilmarnock,Gretna
27,Rangers,Celtic,Motherwell,Hibernian,Dundee United,Falkirk,Aberdeen,Hearts,Inverness C,St Mirren,Kilmarnock,Gretna
28,Rangers,Celtic,Motherwell,Dundee United,Hibernian,Falkirk,Hearts,Aberdeen,Inverness C,Kilmarnock,St Mirren,Gretna
29,Rangers,Celtic,Hibernian,Motherwell,Dundee United,Falkirk,Hearts,Aberdeen,Inverness C,St Mirren,Kilmarnock,Gretna
30,Rangers,Celtic,Dundee United,Hibernian,Motherwell,Falkirk,Hearts,Aberdeen,Inverness C,Kilmarnock,St Mirren,Gretna
31,Rangers,Celtic,Motherwell,Dundee United,Hibernian,Falkirk,Hearts,Aberdeen,Inverness C,St Mirren,Kilmarnock,Gretna
32,Rangers,Celtic,Motherwell,Dundee United,Hibernian,Aberdeen,Falkirk,Hearts,Inverness C,Kilmarnock,St Mirren,Gretna
