,Falkirk scored,Falkirk received,Rangers scored,Rangers received,Dundee United scored,Dundee United received,Hibernian scored,Hibernian received,Motherwell scored,Motherwell received,Celtic scored,Celtic received,Kilmarnock scored,Kilmarnock received,Aberdeen scored,Aberdeen received,Hearts scored,Hearts received,St Mirren scored,St Mirren received,Inverness C scored,Inverness C received,Gretna scored,Gretna received
0,4,0,3,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,3,0,4
1,5,4,5,0,2,2,5,2,3,1,4,1,2,1,1,2,1,2,0,3,1,5,2,8
2,7,11,12,2,2,2,5,2,4,3,7,2,4,2,2,5,2,3,2,4,2,7,3,9
3,7,12,14,3,5,2,8,5,6,4,12,2,5,4,5,8,2,8,3,4,2,10,4,11
4,7,14,18,3,7,2,9,5,6,6,17,3,5,5,6,8,4,8,4,9,2,11,4,15
5,8,15,20,7,9,2,10,6,8,7,22,3,7,6,7,10,8,10,4,11,2,16,5,17
6,9,15,23,7,11,5,13,8,8,8,24,6,7,6,7,13,9,12,4,11,4,17,8,19
7,11,19,24,8,11,8,17,9,9,9,27,6,8,10,9,13,12,13,5,14,8,19,8,21
8,13,23,24,9,12,8,18,9,9,10,29,7,10,12,13,13,16,15,5,18,10,21,9,23
9,14,24,27,9,15,9,19,11,11,11,29,10,11,13,15,14,17,18,6,18,11,23,9,24
10,15,25,28,11,17,10,19,12,11,14,32,10,14,14,16,15,18,21,7,18,15,23,9,28
11,17,25,30,11,17,12,20,13,12,15,34,11,15,16,18,15,19,22,8,19,15,25,9,30
12,17,29,33,11,19,12,21,13,15,15,38,11,15,18,19,19,23,23,8,22,15,28,9,31
13,18,32,36,12,21,14,23,15,16,15,41,11,15,19,19,22,24,24,8,23,16,28,10,32
14,23,33,38,12,21,15,24,18,19,15,42,12,15,21,22,23,25,25,9,28,17,28,10,35
15,26,33,40,13,21,18,24,20,21,16,43,13,16,23,24,24,26,27,10,29,19,28,11,37
16,27,34,42,14,24,18,25,21,24,16,45,16,19,26,24,27,27,29,10,32,22,30,14,40
17,30,34,43,15,25,20,26,22,24,19,46,17,19,26,25,28,29,32,10,32,25,32,16,41
18,31,34,46,16,25,22,27,24,25,22,48,17,21,27,26,29,29,33,11,32,25,33,17,42
19,33,35,48,17,28,27,28,26,30,25,51,17,22,30,27,29,30,35,11,33,28,34,17,45
20,34,35,49,19,32,28,29,26,30,26,53,18,22,31,28,29,31,39,11,33,28,35,17,45
21,34,35,51,19,32,30,30,28,31,30,57,19,23,32,28,29,32,40,13,34,31,35,17,48
22,34,37,52,19,35,30,30,29,32,33,58,19,23,33,28,32,33,40,16,35,31,36,19,48
23,34,38,56,19,37,31,34,31,35,34,59,19,24,35,28,33,34,40,16,39,32,39,21,52
24,34,40,58,19,38,32,35,32,36,34,64,20,24,36,29,38,36,40,17,40,33,40,21,54
25,38,40,60,19,39,33,38,33,39,35,67,20,24,38,30,41,36,43,17,44,34,41,22,57
26,38,40,64,21,39,33,40,33,39,36,68,20,27,39,31,44,37,43,17,45,34,43,24,61
27,38,42,68,21,40,34,42,33,40,37,70,21,29,43,32,45,37,47,18,46,35,45,28,63
28,38,42,71,22,43,34,42,35,40,37,72,21,30,43,33,48,40,47,18,47,35,48,28,66
29,39,42,72,23,43,34,44,35,41,38,72,21,30,45,36,48,41,48,19,48,35,49,28,69
30,39,42,74,24,45,34,45,37,41,40,75,21,34,46,37,49,41,48,20,49,36,53,28,72
31,39,42,75,24,45,35,45,38,42,40,75,22,34,46,41,52,42,48,22,49,39,57,28,74
32,40,44,78,27,48,38,47,38,43,40,75,23,34,46,43,53,42,48,22,51,41,58,29,76
