,Rangers scored,Rangers received,Kilmarnock scored,Kilmarnock received,Celtic scored,Celtic received,Dundee United scored,Dundee United received,Hibernian scored,Hibernian received,Motherwell scored,Motherwell received,St Johnstone scored,St Johnstone received,St Mirren scored,St Mirren received,Aberdeen scored,Aberdeen received,Hearts scored,Hearts received,Falkirk scored,Falkirk received,Hamilton scored,Hamilton received
0,4,1,3,0,3,1,2,0,2,1,2,2,2,2,1,2,1,3,0,2,1,4,0,3
1,2,1,1,3,5,2,0,0,3,1,3,1,2,5,0,0,3,0,1,2,1,3,0,3
2,4,1,1,2,1,0,2,1,0,1,0,0,2,2,2,1,0,0,2,2,1,2,1,4
3,0,0,0,1,1,1,1,1,0,2,0,0,1,1,1,1,0,0,1,0,0,0,2,0
4,0,0,0,0,2,1,0,1,3,0,1,0,0,3,0,1,1,0,1,2,0,0,0,0
5,0,0,0,0,2,0,3,2,3,1,1,3,2,3,0,2,0,0,2,1,0,0,1,2
6,2,1,1,1,1,2,1,1,1,1,1,0,2,0,2,1,1,1,1,2,0,1,0,2
7,2,1,0,1,0,0,1,1,1,0,0,0,1,2,3,1,1,1,1,1,1,3,1,1
8,1,1,2,1,2,1,2,0,1,1,3,3,1,2,3,3,0,2,0,0,0,0,1,2
9,3,0,0,3,3,0,0,3,2,0,1,0,3,1,0,2,0,2,0,1,1,3,2,0
10,2,1,0,2,3,3,2,0,0,0,2,2,1,2,1,2,2,1,0,0,3,3,2,2
11,3,0,0,3,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,2,2,0,0,2
12,0,1,1,2,3,1,2,2,2,0,2,2,1,1,1,3,1,0,2,1,0,2,1,1
13,3,1,1,0,3,0,3,2,2,0,0,2,0,1,2,3,0,3,1,2,1,3,2,1
14,3,0,1,1,3,2,0,0,1,1,2,3,0,3,1,1,1,2,0,0,1,1,2,1
15,6,1,1,2,1,2,1,0,2,0,1,6,1,0,0,1,0,2,2,1,2,1,0,1
16,4,1,0,0,2,0,0,0,1,4,1,3,3,1,1,0,0,1,1,0,0,1,0,2
17,7,1,1,0,0,1,1,7,1,5,0,1,5,1,0,1,0,1,1,0,1,0,1,0
18,1,1,0,1,1,1,0,1,1,1,1,0,2,1,1,0,1,0,1,1,1,2,0,1
19,1,0,0,3,1,1,1,0,0,1,3,0,1,0,0,1,0,1,1,0,1,1,0,1
20,1,1,0,1,4,1,4,1,5,1,2,0,1,4,0,2,1,0,1,1,1,4,1,5
21,2,0,0,0,1,2,3,3,2,1,0,0,3,3,0,2,3,0,0,3,0,0,0,0
22,3,0,4,4,1,0,4,4,2,1,3,0,1,0,1,2,0,3,0,1,0,3,0,1
23,1,1,1,0,2,0,0,2,2,2,1,1,1,1,1,1,2,2,0,2,0,1,2,0
24,3,0,3,2,4,4,2,1,0,3,0,0,2,3,1,2,4,4,3,2,2,3,0,0
25,1,4,1,1,1,0,0,1,0,1,1,0,4,1,1,1,1,3,2,0,3,1,0,2
26,1,0,0,1,0,1,3,0,1,1,1,0,1,1,0,0,0,1,1,0,0,3,0,0
27,3,1,0,1,2,0,1,0,1,0,2,1,1,2,1,3,1,1,0,1,0,2,1,1
28,2,0,0,2,3,0,2,2,1,2,0,0,0,3,0,0,2,2,2,1,2,2,2,2
29,3,1,1,2,0,4,4,2,2,4,3,1,1,1,4,0,1,3,1,3,1,1,2,1
30,4,1,1,3,3,1,3,0,3,1,0,3,0,1,1,2,2,1,1,4,1,3,1,0
31,1,0,2,0,1,0,1,0,0,1,0,1,0,1,1,1,0,2,1,1,1,0,0,1
32,0,0,0,1,2,1,0,0,1,4,1,2,3,1,1,2,1,3,1,0,2,1,4,1
