,Rangers scored,Rangers received,Kilmarnock scored,Kilmarnock received,Celtic scored,Celtic received,Dundee United scored,Dundee United received,Hibernian scored,Hibernian received,Motherwell scored,Motherwell received,St Johnstone scored,St Johnstone received,St Mirren scored,St Mirren received,Aberdeen scored,Aberdeen received,Hearts scored,Hearts received,Falkirk scored,Falkirk received,Hamilton scored,Hamilton received
0,4,1,3,0,3,1,2,0,2,1,2,2,2,2,1,2,1,3,0,2,1,4,0,3
1,6,2,4,3,8,3,2,0,5,2,5,3,4,7,1,2,4,3,1,4,2,7,0,6
2,10,3,5,5,9,3,4,1,5,3,5,3,6,9,3,3,4,3,3,6,3,9,1,10
3,10,3,5,6,10,4,5,2,5,5,5,3,7,10,4,4,4,3,4,6,3,9,3,10
4,10,3,5,6,12,5,5,3,8,5,6,3,7,13,4,5,5,3,5,8,3,9,3,10
5,10,3,5,6,14,5,8,5,11,6,7,6,9,16,4,7,5,3,7,9,3,9,4,12
6,12,4,6,7,15,7,9,6,12,7,8,6,11,16,6,8,6,4,8,11,3,10,4,14
7,14,5,6,8,15,7,10,7,13,7,8,6,12,18,9,9,7,5,9,12,4,13,5,15
8,15,6,8,9,17,8,12,7,14,8,11,9,13,20,12,12,7,7,9,12,4,13,6,17
9,18,6,8,12,20,8,12,10,16,8,12,9,16,21,12,14,7,9,9,13,5,16,8,17
10,20,7,8,14,23,11,14,10,16,8,14,11,17,23,13,16,9,10,9,13,8,19,10,19
11,23,7,8,17,24,13,16,11,17,9,15,12,19,24,14,17,10,11,10,15,10,19,10,21
12,23,8,9,19,27,14,18,13,19,9,17,14,20,25,15,20,11,11,12,16,10,21,11,22
13,26,9,10,19,30,14,21,15,21,9,17,16,20,26,17,23,11,14,13,18,11,24,13,23
14,29,9,11,20,33,16,21,15,22,10,19,19,20,29,18,24,12,16,13,18,12,25,15,24
15,35,10,12,22,34,18,22,15,24,10,20,25,21,29,18,25,12,18,15,19,14,26,15,25
16,39,11,12,22,36,18,22,15,25,14,21,28,24,30,19,25,12,19,16,19,14,27,15,27
17,46,12,13,22,36,19,23,22,26,19,21,29,29,31,19,26,12,20,17,19,15,27,16,27
18,47,13,13,23,37,20,23,23,27,20,22,29,31,32,20,26,13,20,18,20,16,29,16,28
19,48,13,13,26,38,21,24,23,27,21,25,29,32,32,20,27,13,21,19,20,17,30,16,29
20,49,14,13,27,42,22,28,24,32,22,27,29,33,36,20,29,14,21,20,21,18,34,17,34
21,51,14,13,27,43,24,31,27,34,23,27,29,36,39,20,31,17,21,20,24,18,34,17,34
22,54,14,17,31,44,24,35,31,36,24,30,29,37,39,21,33,17,24,20,25,18,37,17,35
23,55,15,18,31,46,24,35,33,38,26,31,30,38,40,22,34,19,26,20,27,18,38,19,35
24,58,15,21,33,50,28,37,34,38,29,31,30,40,43,23,36,23,30,23,29,20,41,19,35
25,59,19,22,34,51,28,37,35,38,30,32,30,44,44,24,37,24,33,25,29,23,42,19,37
26,60,19,22,35,51,29,40,35,39,31,33,30,45,45,24,37,24,34,26,29,23,45,19,37
27,63,20,22,36,53,29,41,35,40,31,35,31,46,47,25,40,25,35,26,30,23,47,20,38
28,65,20,22,38,56,29,43,37,41,33,35,31,46,50,25,40,27,37,28,31,25,49,22,40
29,68,21,23,40,56,33,47,39,43,37,38,32,47,51,29,40,28,40,29,34,26,50,24,41
30,72,22,24,43,59,34,50,39,46,38,38,35,47,52,30,42,30,41,30,38,27,53,25,41
31,73,22,26,43,60,34,51,39,46,39,38,36,47,53,31,43,30,43,31,39,28,53,25,42
32,73,22,26,44,62,35,51,39,47,43,39,38,50,54,32,45,31,46,32,39,30,54,29,43
