,Game Date,Home Team,Away Team,Home ATT,Away ATT,Home DEF,Away DEF,Home MID,Away MID,Home Win Odds,Draw Odds,Away Win Odds,Winner,Home win Odds not normal,Draw Odds not normal,Away win Odds not normal,Home Team Rank,Away Team Rank,Home Team Scored Goals,Home Team Received Goals,Away Team Scored Goals,Away Team received Goals
0,19/08/17,Juventus,Cagliari,87,75,84,72,84,72,0.8286775502121212,0.12469072550691232,0.04663172428096631,1,1.1483333333333332,7.631666666666668,20.406666666666666,2,18,3.0,0.0,0.0,3.0
1,19/08/17,Verona,Napoli,72,84,71,80,72,82,0.1206250401716478,0.20632426342787105,0.6730506964004811,2,7.876666666666668,4.605,1.4116666666666668,16,3,1.0,3.0,3.0,1.0
2,20/08/17,Atalanta,Roma,78,80,78,81,75,82,0.3025179420030204,0.2802695839781191,0.41721247401886064,2,3.1283333333333334,3.3766666666666665,2.268333333333333,15,5,0.0,1.0,1.0,0.0
3,20/08/17,Bologna,Torino,77,79,74,77,75,77,0.30713176015289434,0.28729681297853993,0.4055714268685657,X,3.0900000000000003,3.3033333333333332,2.34,8,9,1.0,1.0,1.0,1.0
4,20/08/17,Crotone,Milan,70,80,71,79,71,79,0.1645447575596478,0.23798874329295194,0.5974664991474002,2,5.7733333333333325,3.9916666666666663,1.59,19,1,0.0,3.0,3.0,0.0
5,20/08/17,Inter,Fiorentina,83,76,79,77,80,78,0.6071063930076092,0.2339057114507113,0.15898789554167966,1,1.5616666666666668,4.053333333333334,5.963333333333334,6,17,3.0,0.0,0.0,3.0
6,20/08/17,Lazio,Spal,82,75,79,72,80,73,0.7373669066816834,0.17491868768849236,0.08771440562982417,X,1.2916666666666663,5.445,10.858333333333334,13,12,0.0,0.0,0.0,0.0
7,20/08/17,Sampdoria,Benevento,77,71,74,70,76,72,0.5714702435587499,0.2531123202257102,0.17541743621553987,1,1.6616666666666664,3.751666666666667,5.413333333333334,4,14,2.0,1.0,1.0,2.0
8,20/08/17,Sassuolo,Genoa,76,76,76,75,72,75,0.4333672855378972,0.2853617080798691,0.28127100638223385,X,2.188333333333333,3.3233333333333337,3.3716666666666666,11,10,0.0,0.0,0.0,0.0
9,20/08/17,Udinese,Chievo,75,76,74,73,74,76,0.4505582790288528,0.28969364207746445,0.25974807889368284,2,2.11,3.2816666666666667,3.66,20,7,1.0,2.0,2.0,1.0
10,26/08/17,Benevento,Bologna,71,77,70,74,72,75,0.35108360648277204,0.30063628020661554,0.3482801133106124,2,2.691666666666667,3.143333333333333,2.7133333333333334,14,8,1.0,2.0,1.0,1.0
11,26/08/17,Genoa,Juventus,76,87,75,84,75,84,0.1064843951270055,0.20994210202042685,0.6835735028525677,2,8.901666666666666,4.515,1.3866666666666667,12,1,1.0,2.0,3.5,1.0
12,26/08/17,Roma,Inter,80,83,81,79,82,80,0.4172437453949751,0.2735264553144837,0.3092297992905413,2,2.2616666666666667,3.45,3.0516666666666663,10,5,1.0,1.5,3.0,0.5
13,27/08/17,Chievo,Lazio,76,82,73,79,76,80,0.2789697621246764,0.2896446254712839,0.4313856124040398,2,3.391666666666666,3.266666666666666,2.1933333333333334,11,9,1.5,1.5,1.0,0.5
14,27/08/17,Crotone,Verona,70,72,71,71,71,72,0.3862474426339876,0.2994846714292071,0.3142678859368052,X,2.4450000000000003,3.1533333333333338,3.0050000000000003,14,13,0.0,1.5,0.5,1.5
15,27/08/17,Fiorentina,Sampdoria,76,77,77,74,78,76,0.5139934793529296,0.2646898132682766,0.22131670737879372,2,1.835,3.563333333333334,4.261666666666666,18,4,0.5,2.5,2.0,1.0
16,27/08/17,Milan,Cagliari,80,75,79,72,79,72,0.7764483066758062,0.15152731863508145,0.07202437468911238,1,1.2216666666666665,6.260000000000002,13.17,3,19,2.5,0.5,0.5,2.5
17,27/08/17,Napoli,Atalanta,84,78,80,78,82,75,0.6816328398138605,0.2005226766859822,0.11784448350015744,1,1.39,4.7250000000000005,8.040000000000001,2,17,3.0,1.0,0.5,2.0
18,27/08/17,Spal,Udinese,75,75,72,74,73,74,0.3783159455628975,0.3015210420832494,0.32016301235385314,1,2.486666666666667,3.120000000000001,2.938333333333333,7,20,1.5,1.0,1.5,2.5
19,27/08/17,Torino,Sassuolo,79,76,77,76,77,72,0.5428747433229376,0.2582296414351035,0.1988956152419589,1,1.7433333333333334,3.665000000000001,4.758333333333334,6,15,2.0,0.5,0.0,1.5
20,09/09/17,Juventus,Chievo,87,76,84,73,84,76,0.8105393884512679,0.13614754140533755,0.05331307014339443,1,1.18,7.025,17.94,1,11,3.5,1.0,1.5,1.5
21,10/09/17,Atalanta,Sassuolo,78,76,78,76,75,72,0.5968982428201741,0.24321829928156505,0.15988345789826092,1,1.6,3.9266666666666654,5.973333333333334,12,17,1.0,1.6666666666666667,0.3333333333333333,1.6666666666666667
22,10/09/17,Benevento,Torino,71,79,70,77,72,77,0.21718105352811512,0.2573165809561975,0.5255023655156873,2,4.391666666666667,3.706666666666667,1.815,20,4,0.3333333333333333,1.3333333333333333,1.6666666666666667,0.3333333333333333
23,10/09/17,Bologna,Napoli,77,84,74,80,75,82,0.1042349628782504,0.18866803307250601,0.7070970040492437,2,9.146666666666668,5.053333333333334,1.3483333333333334,10,2,0.6666666666666666,1.3333333333333333,3.0,0.6666666666666666
24,10/09/17,Cagliari,Crotone,75,70,72,71,72,71,0.5681698897529082,0.2524362242270879,0.179393886020004,1,1.6749999999999998,3.77,5.305,13,18,0.6666666666666666,1.6666666666666667,0.0,1.3333333333333333
25,10/09/17,Inter,Spal,83,75,79,72,80,73,0.7696468521515303,0.1540532738677332,0.07629987398073644,1,1.2433333333333334,6.211666666666666,12.541666666666664,3,9,2.6666666666666665,0.3333333333333333,1.0,1.3333333333333333
26,10/09/17,Lazio,Milan,82,80,79,79,80,79,0.38887270493346415,0.2810115962994891,0.33011569876704683,1,2.453333333333333,3.395,2.89,6,7,2.0,0.6666666666666666,2.0,1.6666666666666667
