,Milan scored,Milan received,Parma scored,Parma received,Sampdoria scored,Sampdoria received,Chievo scored,Chievo received,Bari scored,Bari received,Genoa scored,Genoa received,Fiorentina scored,Fiorentina received,Napoli scored,Napoli received,Cesena scored,Cesena received,Roma scored,Roma received,Cagliari scored,Cagliari received,Inter scored,Inter received,Palermo scored,Palermo received,Catania scored,Catania received,Juventus scored,Juventus received,Udinese scored,Udinese received,Brescia scored,Brescia received,Lazio scored,Lazio received,Lecce scored,Lecce received,Bologna scored,Bologna received
0,4,0,2,0,2,0,2,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,2,0,2,0,4,0,0
1,0,2,1,2,3,3,3,1,2,2,1,3,0,1,2,2,2,0,1,5,5,1,2,1,2,3,2,1,3,3,1,2,3,2,3,1,1,0,1,3
2,1,1,1,1,1,2,0,1,0,0,1,1,1,2,2,1,1,0,2,2,0,0,2,1,1,2,1,1,4,0,0,4,1,0,2,1,0,1,2,2
3,1,1,1,1,0,0,3,1,0,4,1,1,1,1,1,3,0,2,1,2,0,0,4,0,3,1,2,0,1,3,1,2,2,1,1,1,1,1,2,1
4,1,0,0,2,0,0,0,1,2,1,0,1,2,0,4,1,1,4,1,0,2,4,0,1,2,2,1,1,4,2,0,0,1,2,1,0,2,2,1,1
5,1,0,0,1,1,1,0,0,1,2,2,1,1,2,2,0,0,1,0,2,0,0,0,0,2,1,0,1,0,0,1,0,0,1,1,0,1,0,1,1
6,3,1,1,1,2,1,1,3,0,2,1,2,1,2,1,1,1,1,2,1,0,1,1,0,4,1,1,1,4,0,1,0,0,1,2,0,0,4,1,4
7,2,1,0,0,1,1,2,1,1,2,1,0,2,1,1,2,1,2,0,0,1,2,1,1,1,2,0,1,0,0,2,1,1,2,2,1,2,1,0,0
8,1,2,0,0,1,0,0,0,0,2,0,1,0,0,1,0,0,1,2,0,2,0,1,0,0,1,0,0,2,1,2,0,0,1,1,0,0,2,0,2
9,3,2,0,2,0,0,0,1,2,3,0,1,1,0,2,0,1,3,2,0,1,1,1,1,1,0,0,0,3,1,1,1,1,1,0,2,0,2,2,0
10,3,1,1,0,0,1,0,0,0,0,1,0,2,3,1,0,1,0,3,2,0,1,1,1,1,3,1,0,1,1,0,1,1,1,0,1,1,1,0,1
11,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,2,0,1,1,1,0,1,0,1,3,1,1,3,1,1,4,0,0,1,2,0,0,4,1,0
12,1,0,1,1,3,2,2,1,0,1,0,2,0,1,4,1,1,2,2,0,2,1,1,2,2,1,1,0,2,0,0,2,1,2,1,1,2,3,1,4
13,1,1,2,5,1,1,1,2,1,1,0,0,1,1,1,3,1,1,1,3,3,2,5,2,3,1,1,1,1,1,3,1,0,0,1,1,2,3,2,1
14,3,0,2,1,3,0,2,2,0,3,3,1,1,0,1,0,0,2,2,2,0,1,1,3,0,1,1,3,3,1,1,2,0,3,3,1,1,3,2,0
15,3,0,1,3,0,1,2,3,0,1,0,1,1,2,1,0,2,3,1,0,3,0,3,2,3,1,0,3,2,1,2,1,1,0,1,2,3,2,0,3
16,0,1,0,0,0,1,1,1,1,1,1,0,1,2,1,0,1,0,1,0,0,1,2,1,1,1,1,0,1,1,2,3,0,1,3,2,0,1,0,0
17,1,0,4,1,0,3,0,2,1,0,0,0,1,1,1,3,2,1,4,2,0,1,3,1,3,0,2,4,1,4,2,0,1,2,0,0,0,1,1,1
18,4,4,1,2,2,1,0,0,0,2,0,0,3,2,3,0,0,0,1,2,2,1,2,1,0,0,1,2,0,3,4,4,2,3,1,2,2,1,2,0
19,1,1,0,2,0,1,1,1,1,2,2,4,0,0,0,0,0,1,1,0,3,1,4,1,1,3,1,1,2,1,4,2,2,0,1,0,1,1,1,4
20,2,0,2,0,0,0,0,0,0,2,0,0,1,1,2,0,0,2,3,0,0,3,1,3,1,0,0,2,0,0,3,1,0,1,1,3,1,1,3,1
21,2,0,1,3,0,4,3,0,1,2,3,1,0,2,4,0,1,1,1,0,2,1,3,2,2,3,0,2,1,2,2,1,0,3,2,0,1,1,0,1
22,0,0,0,1,0,1,2,0,0,3,0,1,1,0,0,2,1,1,1,1,1,0,3,0,2,1,1,1,1,2,1,1,1,1,0,0,1,0,1,1
23,1,1,1,1,0,2,1,1,0,2,1,1,1,1,2,0,0,2,3,5,1,3,5,3,4,2,0,1,3,1,2,0,2,0,1,1,2,4,1,0
24,4,0,0,4,3,1,1,4,0,0,0,0,4,2,2,0,0,3,0,2,4,1,0,1,2,4,3,2,1,0,3,0,0,2,2,0,2,3,1,3
25,2,1,2,2,0,0,1,2,0,1,4,3,0,0,1,0,2,2,3,4,0,1,1,0,0,1,0,1,0,2,0,0,0,0,1,0,2,0,1,0
26,3,0,2,2,0,2,0,1,1,1,1,2,1,1,0,3,1,0,2,2,1,0,2,0,0,7,2,1,0,2,7,0,2,2,0,1,2,2,2,0
27,1,0,0,0,2,3,0,0,0,1,2,5,3,0,0,0,3,2,2,1,2,2,5,2,0,2,0,3,0,1,1,0,0,0,2,0,1,2,2,2
28,1,1,1,3,0,1,0,1,1,1,1,0,1,0,3,1,2,2,2,0,0,4,1,1,0,1,1,0,2,2,4,0,1,1,0,2,0,1,1,0
29,0,1,1,0,0,1,2,1,1,2,1,1,2,2,2,1,0,1,2,2,1,2,1,0,1,0,0,2,2,1,2,0,1,2,1,0,0,1,1,1
30,3,0,1,2,0,0,0,0,2,1,0,1,2,2,4,3,2,2,0,2,1,0,0,3,0,4,4,0,2,0,0,2,3,1,3,4,2,0,1,3
31,2,1,0,2,1,2,0,2,1,1,2,3,1,2,2,0,2,2,2,1,1,1,2,0,2,2,1,1,3,2,1,2,1,1,2,0,2,1,0,2
32,3,0,2,0,0,3,2,0,0,1,3,0,0,0,1,2,1,0,2,3,3,3,0,2,3,2,1,4,0,0,2,1,0,3,4,1,3,3,0,2
33,1,0,2,0,1,0,0,1,0,1,4,2,2,1,1,2,2,0,1,0,1,2,2,1,2,1,2,2,2,2,0,2,0,1,1,2,2,4,0,2
34,1,0,3,1,3,3,1,0,2,3,0,1,5,2,1,0,1,2,3,2,0,2,2,1,1,3,2,0,1,0,2,5,3,3,0,1,0,1,0,1
35,0,0,0,0,1,2,2,2,1,2,2,1,1,3,1,2,2,0,0,0,0,2,3,1,2,1,2,1,2,2,2,1,1,2,1,2,2,1,0,0
