,homeTeam,awayTeam,Home Team Rank,Away Team Rank,Home Team Scored Goals,Home Team Received Goals,Away Team Scored Goals,Away Team received Goals
0,Milan,Lazio,3,13,2.0,0.0,0.0,0.0
1,Cesena,Napoli,17,1,1.0,4.0,6.0,1.0
2,Catania,Siena,5,9,3.0,3.0,0.0,0.0
3,Chievo,Novara,11,7,0.0,0.0,2.0,2.0
4,Fiorentina,Bologna,10,15,0.0,0.0,0.0,2.0
5,Genoa,Atalanta,19,20,1.0,6.0,4.0,1.0
6,Juventus,Parma,12,6,0.0,0.0,3.0,3.0
7,Lecce,Udinese,18,14,1.0,4.0,0.0,0.0
8,Palermo,Inter,8,2,2.0,2.0,4.0,1.0
9,Roma,Cagliari,4,16,2.0,0.0,0.0,2.0
10,Cagliari,Novara,16,7,0.0,2.0,2.0,2.0
11,Inter,Roma,7,8,3.5,2.5,1.5,1.0
12,Atalanta,Palermo,20,6,3.0,1.5,3.0,2.5
13,Bologna,Lecce,17,19,0.0,2.0,0.5,3.0
14,Catania,Cesena,11,18,1.5,1.5,1.0,3.5
15,Lazio,Genoa,13,16,1.0,1.0,1.5,4.0
16,Napoli,Milan,1,3,4.5,1.0,2.0,1.0
17,Parma,Chievo,15,12,2.0,3.5,1.0,1.0
18,Siena,Juventus,14,2,0.0,0.0,2.0,0.5
19,Udinese,Fiorentina,5,4,1.0,0.0,1.0,0.0
20,Novara,Inter,10,7,2.0,2.0,3.5,2.5
21,Cesena,Lazio,19,16,0.6666666666666666,2.6666666666666665,1.0,1.3333333333333333
22,Chievo,Napoli,15,1,1.0,1.3333333333333333,4.0,1.0
23,Fiorentina,Parma,10,11,0.6666666666666666,0.6666666666666666,2.0,2.6666666666666665
24,Genoa,Catania,12,5,1.6666666666666667,3.0,1.3333333333333333,1.0
25,Juventus,Bologna,2,20,1.6666666666666667,0.3333333333333333,0.0,2.0
26,Lecce,Atalanta,13,18,1.0,2.0,2.333333333333333,1.0
27,Milan,Udinese,9,3,1.6666666666666667,1.6666666666666667,1.3333333333333333,0.0
28,Palermo,Cagliari,8,4,2.0,2.0,1.3333333333333333,1.3333333333333333
29,Roma,Siena,7,17,1.0,0.6666666666666666,0.0,0.3333333333333333
30,Bologna,Inter,20,6,0.0,2.0,2.333333333333333,1.6666666666666667
31,Milan,Cesena,10,20,1.3333333333333333,2.0,0.6666666666666666,2.0
32,Napoli,Fiorentina,1,4,2.0,1.0,1.6666666666666667,0.6666666666666666
33,Atalanta,Novara,14,8,1.6666666666666667,1.0,2.0,1.6666666666666667
34,Cagliari,Udinese,7,3,2.0,1.6666666666666667,1.6666666666666667,0.3333333333333333
35,Catania,Juventus,13,2,0.3333333333333333,1.0,2.0,0.6666666666666666
36,Chievo,Genoa,12,6,1.3333333333333333,1.3333333333333333,2.333333333333333,1.0
37,Lazio,Palermo,11,5,1.6666666666666667,1.6666666666666667,2.333333333333333,2.0
38,Parma,Roma,16,9,1.0,2.6666666666666665,0.6666666666666666,1.0
39,Siena,Lecce,17,18,0.3333333333333333,0.6666666666666666,1.0,1.3333333333333333
40,Inter,Napoli,15,1,1.3333333333333333,2.333333333333333,2.0,1.0
41,Roma,Atalanta,5,9,0.6666666666666666,0.3333333333333333,1.6666666666666667,0.6666666666666666
42,Cesena,Chievo,20,8,0.3333333333333333,1.3333333333333333,1.3333333333333333,1.0
43,Fiorentina,Lazio,4,14,1.0,0.6666666666666666,1.0,1.0
44,Juventus,Milan,2,7,1.0,0.6666666666666666,1.0,1.3333333333333333
45,Lecce,Cagliari,18,11,1.0,1.6666666666666667,1.3333333333333333,1.3333333333333333
46,Novara,Catania,16,15,1.6666666666666667,1.6666666666666667,0.6666666666666666,1.3333333333333333
47,Palermo,Siena,6,13,1.0,1.0,1.3333333333333333,0.6666666666666666
48,Parma,Genoa,17,12,0.6666666666666666,1.6666666666666667,2.0,1.0
49,Udinese,Bologna,3,19,1.0,0.3333333333333333,0.6666666666666666,2.0
50,Catania,Inter,15,10,0.6666666666666666,1.3333333333333333,1.3333333333333333,1.3333333333333333
51,Milan,Palermo,10,5,0.6666666666666666,1.0,1.6666666666666667,0.6666666666666666
52,Napoli,Parma,1,15,1.0,0.3333333333333333,1.0,1.6666666666666667
53,Atalanta,Udinese,11,3,1.6666666666666667,1.6666666666666667,1.0,0.3333333333333333
54,Cagliari,Siena,6,17,1.3333333333333333,1.0,1.3333333333333333,1.0
55,Cesena,Fiorentina,19,9,0.3333333333333333,1.0,1.3333333333333333,0.6666666666666666
56,Chievo,Juventus,8,2,1.0,0.3333333333333333,1.3333333333333333,0.6666666666666666
57,Genoa,Lecce,14,18,1.6666666666666667,1.6666666666666667,0.3333333333333333,2.333333333333333
58,Lazio,Roma,7,4,1.3333333333333333,0.6666666666666666,1.6666666666666667,0.6666666666666666
59,Novara,Bologna,16,20,2.333333333333333,2.0,0.6666666666666666,2.0
60,Fiorentina,Catania,9,13,1.3333333333333333,0.6666666666666666,1.3333333333333333,2.333333333333333
61,Juventus,Genoa,2,14,1.0,0.3333333333333333,0.6666666666666666,1.6666666666666667
62,Bologna,Lazio,18,4,1.0,1.6666666666666667,1.3333333333333333,0.6666666666666666
63,Cagliari,Napoli,7,1,0.6666666666666666,0.0,1.3333333333333333,0.6666666666666666
64,Inter,Chievo,16,9,1.3333333333333333,2.0,0.6666666666666666,0.3333333333333333
65,Lecce,Milan,19,6,0.0,1.6666666666666667,1.3333333333333333,0.6666666666666666
66,Parma,Atalanta,11,13,1.6666666666666667,1.0,1.0,1.3333333333333333
67,Roma,Palermo,5,8,1.6666666666666667,1.0,0.6666666666666666,1.0
68,Siena,Cesena,15,20,1.0,0.6666666666666666,0.0,0.3333333333333333
69,Udinese,Novara,3,17,0.6666666666666666,0.0,1.3333333333333333,2.333333333333333
70,Juventus,Fiorentina,2,12,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666
71,Atalanta,Inter,8,14,1.0,1.3333333333333333,0.6666666666666666,1.6666666666666667
