,Napoli scored,Napoli received,Inter scored,Inter received,Milan scored,Milan received,Roma scored,Roma received,Catania scored,Catania received,Parma scored,Parma received,Novara scored,Novara received,Palermo scored,Palermo received,Siena scored,Siena received,Fiorentina scored,Fiorentina received,Chievo scored,Chievo received,Juventus scored,Juventus received,Lazio scored,Lazio received,Udinese scored,Udinese received,Bologna scored,Bologna received,Cagliari scored,Cagliari received,Cesena scored,Cesena received,Lecce scored,Lecce received,Genoa scored,Genoa received,Atalanta scored,Atalanta received
0,6,1,4,1,2,0,2,0,3,3,3,3,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,4,1,4,1,6,4,1
1,9,2,7,5,4,2,3,2,3,3,4,7,4,4,6,5,0,0,2,0,2,2,4,1,2,2,2,0,0,4,2,3,2,7,1,6,3,8,6,3
2,12,3,7,5,5,5,3,2,4,3,6,8,5,6,6,6,0,1,2,2,3,4,5,1,3,4,4,0,0,6,4,4,2,8,3,6,5,9,7,3
3,12,4,8,8,6,6,4,3,4,6,6,11,8,7,9,8,1,2,5,2,4,4,6,2,5,5,5,1,1,7,6,7,3,10,4,8,8,9,9,4
4,12,4,11,9,7,6,5,3,5,7,6,12,9,9,9,8,4,2,5,2,6,5,7,3,5,5,5,1,2,10,6,7,3,11,4,11,9,11,11,5
5,15,4,11,12,7,8,8,4,8,10,9,13,12,12,11,8,4,4,6,4,6,5,9,3,7,6,7,1,2,12,8,7,3,11,4,13,10,14,12,8
6,16,6,12,14,10,8,9,6,10,11,11,14,12,14,11,11,4,4,6,4,6,5,9,3,9,7,7,1,4,12,8,7,3,11,4,13,10,14,12,8
7,16,6,13,14,14,11,10,6,12,13,12,16,12,17,11,12,6,4,8,6,6,6,11,5,11,7,10,1,4,14,8,7,3,13,7,17,12,16,14,9
8,18,6,14,15,18,12,11,8,13,14,13,20,13,18,13,12,7,5,9,8,6,7,13,6,12,8,10,3,5,14,9,8,4,14,7,19,14,17,15,10
9,19,8,15,17,21,14,13,11,15,15,15,20,14,19,13,13,11,6,10,8,7,11,15,7,15,8,11,3,8,15,9,11,4,16,8,20,14,18,16,13
10,22,11,16,17,25,14,15,11,15,19,15,21,14,21,16,14,12,8,10,9,8,11,18,10,16,8,13,4,9,18,9,12,4,17,9,20,14,19,17,13
11,22,11,18,18,25,14,17,12,16,21,17,21,14,22,16,17,14,10,10,9,10,12,21,10,16,8,13,6,9,19,10,14,5,17,10,22,15,19,19,15
12,23,12,19,18,29,14,17,14,17,21,18,23,16,23,18,17,14,11,10,11,10,16,22,10,16,9,15,6,10,20,11,15,7,17,10,23,15,21,20,16
13,27,14,19,19,31,14,17,17,17,22,18,23,16,26,18,17,14,12,13,11,10,16,24,10,19,9,16,6,11,20,12,15,7,19,12,27,15,23,20,16
14,28,15,21,19,33,16,18,18,18,23,18,23,17,27,18,18,14,14,13,13,11,18,25,11,22,11,18,7,13,22,12,15,8,19,14,30,17,23,21,17
15,29,18,22,19,35,16,21,19,20,23,21,26,17,29,18,20,14,16,15,15,13,18,27,11,24,13,20,9,14,24,12,17,8,20,17,33,19,24,23,19
16,32,19,27,19,37,16,23,19,20,25,21,31,17,32,19,23,18,16,18,15,13,20,28,11,24,17,24,10,16,24,15,17,9,24,17,34,19,27,23,21
17,33,20,28,19,37,17,24,20,21,26,24,32,18,35,19,24,19,19,18,16,14,20,29,12,26,17,26,13,17,25,16,18,12,25,18,34,22,29,23,23
18,34,21,30,20,40,17,29,21,22,28,24,32,18,38,24,27,20,20,18,16,16,22,31,12,27,19,28,14,17,25,16,18,13,30,20,36,25,34,23,25
19,36,24,30,21,43,17,30,22,23,29,25,33,18,40,26,27,21,22,20,17,16,25,33,13,30,19,29,16,18,26,16,21,13,31,21,36,28,36,24,25
20,36,24,34,25,43,19,32,26,24,29,25,33,19,42,30,31,21,23,20,19,18,26,33,13,32,19,31,17,20,26,20,23,13,31,22,38,28,37,25,25
21,36,24,34,29,43,19,36,26,24,29,27,34,19,42,32,32,21,23,23,21,19,28,33,13,34,22,33,20,20,26,20,23,13,31,22,38,31,39,26,27
22,38,24,34,30,45,20,36,27,28,29,29,36,20,42,33,34,22,23,25,23,19,30,34,14,37,24,34,22,21,27,22,24,15,34,22,38,31,43,26,27
23,41,24,34,33,48,21,37,27,29,32,29,37,20,42,38,35,23,27,25,26,20,30,37,15,38,29,34,22,24,27,22,24,16,37,26,39,31,44,26,27
24,42,24,34,34,49,22,38,31,32,33,31,39,21,45,39,39,27,28,25,27,21,30,38,16,39,29,37,23,25,30,23,26,16,38,28,40,33,46,30,28
25,44,25,36,36,53,22,39,33,34,35,32,41,21,46,39,43,30,28,27,27,22,31,39,17,41,30,37,23,26,30,23,29,16,40,30,42,35,48,30,28
