,Napoli scored,Napoli received,Roma scored,Roma received,Inter scored,Inter received,Torino scored,Torino received,Fiorentina scored,Fiorentina received,Cagliari scored,Cagliari received,Verona scored,Verona received,Lazio scored,Lazio received,Juventus scored,Juventus received,Chievo scored,Chievo received,Parma scored,Parma received,Milan scored,Milan received,Atalanta scored,Atalanta received,Catania scored,Catania received,Sampdoria scored,Sampdoria received,Livorno scored,Livorno received,Sassuolo scored,Sassuolo received,Bologna scored,Bologna received,Udinese scored,Udinese received,Genoa scored,Genoa received
0,3,0,2,0,2,0,2,0,2,1,2,1,2,1,2,1,1,0,0,0,0,0,1,2,1,2,1,2,0,1,0,2,0,2,0,3,1,2,0,2
1,7,2,5,0,5,0,2,2,7,3,3,4,2,4,3,5,5,1,2,4,1,3,4,3,3,2,1,5,2,3,4,3,1,6,2,5,4,3,2,7
2,9,2,8,1,6,1,4,4,8,4,4,5,4,4,6,5,6,2,2,7,2,6,6,5,3,4,1,7,2,6,6,3,1,8,3,6,5,4,5,7
3,11,3,10,1,13,1,6,5,10,4,6,7,5,6,6,7,8,3,4,8,2,6,7,7,3,6,1,7,4,8,6,3,1,15,4,8,6,6,5,7
4,12,4,12,1,15,2,8,7,11,6,7,8,7,8,9,8,10,4,5,10,6,9,10,10,6,10,2,10,4,10,7,4,2,16,7,11,7,6,5,8
5,14,4,17,1,16,3,8,8,13,8,8,9,9,9,11,10,11,4,5,12,8,11,11,10,8,10,4,10,4,11,8,6,4,18,7,16,7,8,5,10
6,18,4,20,1,16,6,10,10,13,8,8,11,13,10,11,10,14,6,5,13,11,12,13,13,9,10,5,11,6,13,8,10,5,21,8,20,9,8,6,11
7,18,6,22,1,19,9,13,13,17,10,10,12,16,12,12,12,16,10,6,15,13,15,14,13,11,11,6,13,8,14,9,12,7,22,9,22,9,9,8,12
8,20,6,23,1,23,11,13,15,19,11,10,14,18,16,14,12,18,10,7,17,16,17,16,16,11,12,6,13,9,14,9,13,7,22,10,22,9,10,8,14
9,22,7,24,1,24,12,16,18,20,13,10,17,20,16,15,13,22,10,7,18,16,18,17,17,12,13,6,17,9,16,12,16,8,24,13,22,11,11,9,14
10,24,8,25,2,27,12,17,19,22,13,11,19,22,17,15,15,23,10,7,18,16,19,17,19,12,14,7,19,12,20,13,16,12,27,13,22,11,14,11,14
11,24,11,26,3,29,12,18,21,24,14,13,20,22,19,16,16,26,10,7,18,17,20,17,19,14,15,8,19,13,22,13,18,13,28,14,24,11,15,13,14
12,24,12,26,3,30,13,22,22,24,15,13,20,22,20,17,17,28,10,8,18,18,20,18,20,14,17,9,23,14,23,13,20,15,28,15,25,12,15,14,15
13,28,14,27,4,31,14,23,23,28,18,15,22,25,24,19,21,29,10,11,18,19,21,21,21,15,18,10,26,15,24,13,23,17,30,16,26,12,16,15,16
14,31,17,29,5,34,17,24,23,29,20,17,23,27,25,19,22,31,10,12,18,22,24,23,23,16,20,10,28,17,24,15,25,17,31,16,28,15,19,16,18
15,35,19,31,7,36,21,26,23,32,20,17,23,27,25,21,22,35,10,12,19,22,24,25,25,17,21,10,28,18,24,15,27,17,35,16,31,15,21,17,19
16,36,20,35,7,37,21,30,24,33,20,18,24,31,26,22,26,39,11,13,23,23,25,25,26,18,25,10,32,19,25,16,29,17,36,17,31,17,22,17,20
17,38,20,35,10,37,22,31,27,34,20,18,24,34,27,23,26,42,11,13,23,26,26,28,26,18,28,12,32,19,27,16,30,17,38,17,33,18,25,19,20
18,41,20,39,10,38,23,31,27,34,20,19,28,34,30,23,26,46,12,14,24,29,26,31,30,20,29,13,34,22,27,16,33,21,41,17,33,18,28,19,24
19,43,22,42,10,38,24,33,27,37,20,19,29,34,31,26,28,50,14,15,26,31,27,32,30,21,29,13,37,24,31,16,36,21,43,19,35,20,31,20,24
20,44,23,45,11,38,24,34,27,40,23,20,31,35,34,27,29,51,15,16,27,32,27,34,31,21,30,13,37,25,32,19,37,22,46,20,36,20,32,23,27
21,44,26,49,13,39,27,35,28,40,24,21,31,37,35,29,29,54,16,16,29,34,31,35,32,24,30,16,40,26,32,22,40,23,48,20,38,22,32,23,28
22,47,27,49,13,40,27,36,30,42,24,21,32,39,37,29,29,56,18,16,32,34,31,36,35,24,32,16,40,27,32,22,41,23,49,22,39,25,32,24,28
23,49,27,52,13,42,28,39,31,43,26,22,34,40,40,30,32,59,19,17,35,38,31,37,35,24,36,19,41,27,35,24,42,23,51,22,40,28,35,27,31
24,50,28,53,13,43,29,39,32,45,28,23,35,43,42,33,34,60,19,19,35,40,33,39,35,25,37,19,43,27,37,26,45,25,54,22,41,29,36,28,32
25,51,29,53,13,43,29,39,34,45,29,26,35,43,42,34,34,62,19,20,37,41,33,39,37,27,38,19,45,29,37,27,46,25,55,22,41,29,39,30,32
26,52,29,53,14,44,29,39,35,45,30,27,36,43,44,34,35,63,19,22,38,43,33,39,38,28,38,20,46,33,39,29,50,25,55,22,41,30,39,31,34
27,53,29,56,16,46,29,39,36,48,31,27,38,43,46,36,35,64,19,23,41,47,35,41,42,31,38,21,49,33,42,31,51,28,56,23,43,32,42,31,35
28,53,30,58,16,47,31,42,37,49,31,27,39,43,51,37,36,65,19,23,43,48,36,42,43,33,39,21,50,38,42,32,54,28,57,24,43,33,42,32,36
29,57,32,60,17,47,31,43,39,49,33,28,39,43,52,37,38,67,20,26,43,49,38,44,43,35,39,23,54,40,43,32,56,29,59,24,46,33,42,34,36
30,59,32,62,17,49,33,45,40,49,33,29,41,46,52,40,40,67,22,26,46,51,41,47,43,37,39,23,55,40,43,34,58,29,61,24,48,34,42,34,39
31,59,33,65,18,51,35,47,41,51,34,30,44,47,52,42,40,69,22,26,47,52,41,49,44,37,41,24,57,40,45,34,60,31,61,26,50,35,44,35,41
32,63,35,68,19,55,35,49,42,56,37,31,45,50,57,44,44,71,22,30,49,53,42,50,44,38,44,24,58,40,49,36,64,32,62,27,51,35,46,36,43
33,64,36,69,19,57,35,52,45,56,38,33,46,52,58,47,47,72,22,30,50,53,44,53,44,39,46,26,59,41,51,36,67,33,62,27,52,36,47,37,45
34,64,36,71,19,57,35,54,45,59,38,34,46,56,58,49,47,75,23,31,52,53,45,53,46,40,47,26,63,43,52,36,69,34,65,27,55,36,49,38,46
35,67,36,72,23,57,36,55,45,62,42,34,49,59,61,52,50,76,23,31,53,55,45,54,46,40,48,30,64,43,54,39,74,38,68,27,55,41,52,38,46
36,72,38,72,24,61,37,56,46,63,42,34,50,61,63,53,54,77,23,32,53,56,46,55,48,42,49,32,65,45,59,39,75,42,70,28,57,43,54,40,50
37,77,39,72,25,62,39,58,48,65,44,34,53,62,68,54,54,80,23,34,54,58,46,57,49,43,51,34,66,48,62,39,77,43,72,28,58,46,57,41,50
