,Roma scored,Roma received,Udinese scored,Udinese received,Napoli scored,Napoli received,Cesena scored,Cesena received,Juventus scored,Juventus received,Milan scored,Milan received,Cagliari scored,Cagliari received,Sampdoria scored,Sampdoria received,Sassuolo scored,Sassuolo received,Palermo scored,Palermo received,Atalanta scored,Atalanta received,Torino scored,Torino received,Inter scored,Inter received,Verona scored,Verona received,Genoa scored,Genoa received,Lazio scored,Lazio received,Fiorentina scored,Fiorentina received,Chievo scored,Chievo received,Empoli scored,Empoli received,Parma scored,Parma received
0,2,0,2,0,2,1,1,0,1,0,3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,2,1,3,0,2,0,1,0,2,0,1
1,1,0,0,2,0,1,0,3,2,0,5,4,1,2,2,0,0,7,1,2,2,1,0,2,7,0,2,1,0,0,3,0,0,0,1,0,0,1,4,5
2,2,0,1,0,0,1,2,2,1,0,0,1,0,2,0,0,0,0,1,1,0,1,0,1,1,1,1,0,1,0,0,1,1,0,2,3,2,2,3,2
3,2,1,1,0,3,3,0,3,3,0,2,2,1,2,2,1,0,0,3,3,0,2,2,1,2,0,2,2,2,2,0,1,0,0,1,2,2,2,1,2
4,2,0,4,2,1,0,1,1,3,0,1,1,4,1,1,0,0,1,0,4,0,3,1,1,1,4,0,2,0,1,4,0,1,1,1,1,1,1,2,4
5,2,3,1,1,2,1,1,1,3,2,2,0,0,1,1,0,2,3,0,3,0,1,1,2,0,3,1,0,2,1,3,2,3,0,0,2,3,0,1,2
6,3,0,0,1,2,2,1,2,1,1,3,1,2,2,2,2,1,1,2,1,1,0,1,0,2,2,1,3,1,1,2,0,0,2,0,3,1,1,0,1
7,0,0,2,0,6,2,0,1,2,0,1,1,4,0,0,0,3,1,0,2,0,2,1,2,1,0,2,6,2,1,2,1,1,1,1,2,0,4,1,3
8,2,0,0,3,1,1,0,2,0,1,1,1,1,1,0,1,3,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,3,0,0,1,1,3,0,1
9,0,2,2,4,2,0,1,1,2,0,0,2,2,4,3,1,0,0,2,0,0,0,0,0,0,2,1,1,4,2,4,2,1,3,0,0,0,2,2,0
10,3,0,1,1,1,0,1,2,7,0,2,2,1,1,2,2,0,0,1,1,0,0,0,3,2,2,2,2,1,1,1,2,0,1,2,1,2,1,0,7
11,2,1,1,1,3,3,1,1,3,0,1,1,3,3,1,1,1,0,1,1,1,2,0,1,1,1,1,2,1,1,0,3,2,1,1,1,2,0,0,2
12,4,2,0,2,1,1,0,3,2,1,2,0,0,4,1,1,2,1,2,1,0,0,1,2,2,4,1,2,3,0,0,0,4,0,0,0,0,0,1,2
13,2,2,2,1,2,2,2,3,0,0,0,1,0,2,3,1,2,2,2,2,3,2,2,2,1,2,1,3,1,0,2,1,0,0,2,0,2,2,1,2
14,1,0,1,2,0,2,1,4,1,1,2,0,0,0,1,1,1,2,2,1,0,3,0,0,2,0,2,1,0,1,3,0,4,1,0,2,0,0,0,0
15,0,0,2,2,2,0,1,1,3,1,0,0,1,3,2,2,1,1,3,3,3,3,2,1,2,2,0,1,1,2,2,2,1,1,1,0,1,1,0,2
16,1,0,0,1,4,1,1,4,1,1,1,2,0,5,0,3,2,1,5,0,2,2,0,0,1,1,0,0,2,2,3,0,0,1,0,0,0,0,1,0
17,2,2,1,1,1,3,1,2,3,1,1,1,2,1,1,0,1,1,3,4,1,1,1,1,3,1,3,1,1,3,2,2,4,3,1,1,0,1,1,3
18,1,1,2,2,1,0,2,3,4,0,0,1,2,2,2,0,3,3,1,1,1,0,3,2,0,0,0,4,3,3,0,1,2,1,1,2,0,0,0,2
19,1,1,2,1,2,1,2,1,2,0,1,3,2,1,1,1,1,2,1,1,0,1,1,0,0,1,1,0,1,2,3,1,1,1,0,2,1,2,1,2
20,1,1,0,0,2,1,2,1,0,0,3,1,1,2,1,5,3,1,2,1,2,1,5,1,1,3,1,2,1,1,1,2,1,1,1,2,1,1,1,3
21,2,1,1,3,3,1,0,2,3,1,1,3,1,2,1,1,1,1,0,3,2,3,3,1,3,0,1,3,1,0,0,1,3,2,1,0,2,0,0,1
22,0,0,0,1,1,3,2,2,2,2,1,1,1,1,1,2,1,3,3,1,1,4,1,1,4,1,2,5,5,2,1,0,3,1,2,1,1,1,0,0
23,1,1,0,1,2,0,0,2,2,1,2,0,1,2,1,1,0,2,1,2,1,2,1,1,2,1,1,1,1,1,2,1,1,1,0,3,3,0,1,0
24,1,1,0,1,0,1,1,0,1,1,0,0,1,2,2,1,0,3,0,0,1,2,1,0,0,1,2,1,2,0,3,0,1,0,0,0,0,0,0,2
25,0,0,3,2,2,2,0,0,1,0,2,2,0,2,2,0,0,1,0,0,0,0,2,3,2,2,2,2,1,1,4,0,0,4,0,0,1,1,0,0
26,0,2,0,0,0,2,1,1,1,0,1,2,1,1,2,0,4,1,0,1,0,0,0,2,1,1,2,0,0,2,2,0,2,1,2,0,1,1,1,4
27,1,0,2,2,1,1,0,1,1,0,3,1,1,3,1,0,1,3,0,1,1,1,2,0,0,1,0,2,0,1,2,0,2,2,1,0,3,1,0,2
28,1,0,1,1,0,1,3,3,2,0,2,1,1,3,0,2,1,0,1,2,1,2,2,1,1,1,3,3,1,1,3,1,2,0,0,1,0,2,1,1
29,1,1,1,3,3,0,0,1,0,1,1,1,0,2,1,1,1,2,3,1,2,1,1,1,3,0,0,3,2,0,4,0,0,3,1,0,0,4,1,0
30,1,1,1,1,3,0,0,0,2,0,0,0,0,3,0,0,1,1,2,1,1,1,1,1,0,0,1,0,1,2,0,2,0,1,1,1,2,2,2,2
31,1,2,2,1,4,2,1,3,1,2,1,2,3,1,2,4,2,3,0,1,2,2,2,1,2,1,3,2,3,1,1,1,1,3,1,1,2,2,1,0
