,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,Milan,Juventus,Napoli,Sampdoria,Roma,Inter,Chievo,Bologna,Torino,Genoa,Sassuolo,Spal,Lazio,Benevento,Atalanta,Verona,Fiorentina,Cagliari,Crotone,Udinese
1,Juventus,Napoli,Milan,Sampdoria,Inter,Torino,Spal,Bologna,Lazio,Roma,Chievo,Genoa,Verona,Crotone,Sassuolo,Benevento,Atalanta,Fiorentina,Cagliari,Udinese
2,Juventus,Napoli,Inter,Torino,Sampdoria,Lazio,Milan,Roma,Spal,Bologna,Fiorentina,Atalanta,Cagliari,Chievo,Udinese,Genoa,Sassuolo,Crotone,Verona,Benevento
3,Napoli,Juventus,Inter,Lazio,Milan,Torino,Sampdoria,Roma,Fiorentina,Cagliari,Atalanta,Bologna,Spal,Chievo,Udinese,Genoa,Sassuolo,Crotone,Verona,Benevento
4,Napoli,Juventus,Inter,Milan,Torino,Roma,Lazio,Sampdoria,Atalanta,Fiorentina,Cagliari,Bologna,Chievo,Sassuolo,Spal,Udinese,Genoa,Verona,Crotone,Benevento
5,Napoli,Juventus,Inter,Roma,Lazio,Sampdoria,Milan,Torino,Atalanta,Bologna,Chievo,Fiorentina,Cagliari,Spal,Sassuolo,Crotone,Udinese,Genoa,Verona,Benevento
6,Napoli,Juventus,Inter,Roma,Lazio,Torino,Milan,Sampdoria,Bologna,Chievo,Atalanta,Fiorentina,Cagliari,Udinese,Spal,Crotone,Sassuolo,Verona,Genoa,Benevento
7,Napoli,Inter,Juventus,Lazio,Roma,Sampdoria,Bologna,Torino,Milan,Chievo,Fiorentina,Atalanta,Cagliari,Crotone,Verona,Udinese,Genoa,Spal,Sassuolo,Benevento
8,Napoli,Inter,Juventus,Lazio,Roma,Sampdoria,Chievo,Bologna,Fiorentina,Torino,Milan,Atalanta,Sassuolo,Genoa,Cagliari,Crotone,Verona,Udinese,Spal,Benevento
9,Napoli,Inter,Juventus,Lazio,Roma,Sampdoria,Fiorentina,Milan,Atalanta,Chievo,Bologna,Torino,Cagliari,Udinese,Sassuolo,Genoa,Crotone,Verona,Spal,Benevento
10,Napoli,Inter,Juventus,Lazio,Roma,Sampdoria,Fiorentina,Milan,Torino,Atalanta,Chievo,Bologna,Udinese,Cagliari,Crotone,Spal,Sassuolo,Genoa,Verona,Benevento
11,Napoli,Juventus,Lazio,Inter,Roma,Sampdoria,Milan,Torino,Fiorentina,Atalanta,Chievo,Bologna,Cagliari,Crotone,Udinese,Spal,Sassuolo,Genoa,Verona,Benevento
12,Napoli,Inter,Juventus,Roma,Lazio,Sampdoria,Milan,Torino,Fiorentina,Bologna,Chievo,Atalanta,Cagliari,Crotone,Udinese,Sassuolo,Spal,Genoa,Verona,Benevento
13,Napoli,Inter,Juventus,Roma,Lazio,Sampdoria,Milan,Bologna,Chievo,Atalanta,Torino,Fiorentina,Cagliari,Crotone,Udinese,Sassuolo,Genoa,Spal,Verona,Benevento
14,Inter,Napoli,Juventus,Roma,Lazio,Sampdoria,Fiorentina,Milan,Bologna,Atalanta,Torino,Chievo,Cagliari,Udinese,Genoa,Crotone,Sassuolo,Spal,Verona,Benevento
15,Inter,Napoli,Juventus,Roma,Lazio,Sampdoria,Milan,Atalanta,Torino,Fiorentina,Bologna,Chievo,Udinese,Cagliari,Sassuolo,Genoa,Crotone,Spal,Verona,Benevento
16,Napoli,Juventus,Inter,Roma,Lazio,Sampdoria,Atalanta,Milan,Fiorentina,Torino,Bologna,Chievo,Udinese,Cagliari,Sassuolo,Crotone,Genoa,Spal,Verona,Benevento
17,Napoli,Juventus,Inter,Roma,Lazio,Sampdoria,Atalanta,Fiorentina,Torino,Milan,Bologna,Udinese,Chievo,Sassuolo,Genoa,Cagliari,Spal,Crotone,Verona,Benevento
18,Napoli,Juventus,Inter,Roma,Lazio,Sampdoria,Fiorentina,Atalanta,Udinese,Torino,Milan,Bologna,Sassuolo,Chievo,Cagliari,Genoa,Spal,Crotone,Verona,Benevento
19,Napoli,Juventus,Lazio,Inter,Roma,Sampdoria,Atalanta,Fiorentina,Torino,Milan,Udinese,Bologna,Chievo,Genoa,Sassuolo,Cagliari,Spal,Crotone,Verona,Benevento
20,Napoli,Juventus,Lazio,Inter,Roma,Sampdoria,Milan,Atalanta,Torino,Udinese,Fiorentina,Bologna,Sassuolo,Chievo,Genoa,Cagliari,Crotone,Spal,Verona,Benevento
21,Napoli,Juventus,Lazio,Inter,Roma,Sampdoria,Milan,Atalanta,Torino,Udinese,Fiorentina,Bologna,Sassuolo,Chievo,Genoa,Cagliari,Crotone,Spal,Verona,Benevento
22,Napoli,Juventus,Lazio,Inter,Roma,Sampdoria,Atalanta,Milan,Torino,Udinese,Fiorentina,Bologna,Genoa,Cagliari,Sassuolo,Chievo,Crotone,Spal,Verona,Benevento
23,Napoli,Juventus,Inter,Roma,Lazio,Sampdoria,Milan,Atalanta,Torino,Udinese,Fiorentina,Genoa,Bologna,Cagliari,Sassuolo,Chievo,Crotone,Spal,Verona,Benevento
24,Napoli,Juventus,Roma,Lazio,Inter,Sampdoria,Milan,Atalanta,Torino,Udinese,Fiorentina,Genoa,Bologna,Cagliari,Chievo,Sassuolo,Crotone,Spal,Verona,Benevento
25,Napoli,Juventus,Lazio,Inter,Roma,Sampdoria,Milan,Atalanta,Torino,Fiorentina,Bologna,Udinese,Genoa,Cagliari,Chievo,Sassuolo,Crotone,Spal,Verona,Benevento
26,Juventus,Napoli,Roma,Inter,Lazio,Sampdoria,Milan,Torino,Atalanta,Fiorentina,Genoa,Bologna,Udinese,Chievo,Cagliari,Sassuolo,Spal,Crotone,Verona,Benevento
27,Juventus,Napoli,Roma,Inter,Lazio,Milan,Sampdoria,Atalanta,Fiorentina,Torino,Genoa,Bologna,Udinese,Cagliari,Chievo,Sassuolo,Spal,Crotone,Verona,Benevento
28,Juventus,Napoli,Roma,Inter,Lazio,Milan,Sampdoria,Atalanta,Fiorentina,Torino,Bologna,Genoa,Udinese,Cagliari,Sassuolo,Chievo,Spal,Crotone,Verona,Benevento
29,Juventus,Napoli,Roma,Inter,Lazio,Milan,Atalanta,Fiorentina,Sampdoria,Torino,Bologna,Genoa,Udinese,Cagliari,Sassuolo,Chievo,Spal,Crotone,Verona,Benevento
30,Juventus,Napoli,Roma,Lazio,Inter,Milan,Fiorentina,Atalanta,Sampdoria,Torino,Genoa,Bologna,Udinese,Sassuolo,Cagliari,Chievo,Spal,Crotone,Verona,Benevento
31,Juventus,Napoli,Roma,Lazio,Inter,Milan,Fiorentina,Atalanta,Sampdoria,Torino,Bologna,Genoa,Udinese,Cagliari,Sassuolo,Chievo,Spal,Crotone,Verona,Benevento
32,Juventus,Napoli,Roma,Lazio,Inter,Milan,Atalanta,Fiorentina,Sampdoria,Torino,Bologna,Genoa,Sassuolo,Udinese,Cagliari,Chievo,Spal,Crotone,Verona,Benevento
33,Juventus,Napoli,Roma,Lazio,Inter,Atalanta,Milan,Fiorentina,Sampdoria,Torino,Genoa,Bologna,Sassuolo,Cagliari,Udinese,Crotone,Chievo,Spal,Verona,Benevento
34,Juventus,Napoli,Roma,Lazio,Inter,Atalanta,Milan,Fiorentina,Sampdoria,Torino,Genoa,Bologna,Sassuolo,Crotone,Udinese,Cagliari,Spal,Chievo,Verona,Benevento
