,Atalanta scored,Atalanta received,Empoli scored,Empoli received,Juventus scored,Juventus received,Milan scored,Milan received,Napoli scored,Napoli received,Roma scored,Roma received,Sassuolo scored,Sassuolo received,Spal scored,Spal received,Udinese scored,Udinese received,Sampdoria scored,Sampdoria received,Parma scored,Parma received,Fiorentina scored,Fiorentina received,Genoa scored,Genoa received,Lazio scored,Lazio received,Bologna scored,Bologna received,Inter scored,Inter received,Torino scored,Torino received,Frosinone scored,Frosinone received,Cagliari scored,Cagliari received,Chievo scored,Chievo received
0,4,0,2,0,3,2,2,1,2,1,1,0,1,0,1,0,2,2,1,1,2,2,1,1,1,2,1,2,0,1,0,1,0,1,0,4,0,2,2,3
1,7,3,3,2,5,2,4,4,5,3,4,3,3,2,2,0,3,2,1,2,2,3,7,2,3,3,1,4,0,1,2,3,2,3,0,4,2,4,3,9
2,7,4,3,2,7,3,6,5,5,6,5,5,8,5,2,1,3,3,4,2,3,5,8,2,6,8,2,4,0,4,5,3,3,3,0,5,3,4,3,9
3,7,6,3,3,9,4,7,6,6,6,7,7,9,7,4,1,4,4,9,2,4,5,8,3,7,8,3,4,0,5,5,4,4,4,0,10,4,5,5,11
4,9,8,4,6,11,4,9,8,9,7,7,9,12,8,4,4,6,4,9,3,6,5,11,3,8,12,7,5,2,5,6,4,5,7,0,12,4,7,5,13
5,9,8,5,7,13,4,10,9,12,7,11,9,14,8,4,6,7,6,9,3,6,8,12,5,10,12,9,6,2,7,8,5,5,7,0,16,4,7,5,15
6,9,10,5,8,16,5,14,10,13,10,14,10,15,12,5,8,8,8,11,4,7,8,14,5,12,13,10,9,4,8,10,5,6,7,1,18,4,9,5,16
7,9,11,5,10,18,5,17,11,15,10,16,10,15,14,6,10,8,10,12,4,10,9,14,6,13,16,11,9,4,10,12,6,9,9,3,21,6,9,6,19
8,14,12,8,13,19,6,17,12,18,10,16,12,15,14,8,10,8,13,12,4,10,11,15,7,14,17,13,9,6,12,13,6,11,11,6,24,7,10,7,24
9,17,12,9,15,21,7,20,14,19,11,17,13,17,16,8,13,10,15,14,7,10,14,16,8,16,19,13,12,8,14,16,6,12,12,9,24,9,11,8,26
10,19,13,10,20,24,8,21,14,24,12,18,14,19,16,9,17,10,16,15,11,10,14,17,9,16,24,17,13,9,16,21,6,16,13,9,24,10,14,8,28
11,23,14,12,21,26,8,21,16,26,13,22,15,20,17,11,19,11,18,16,15,12,15,18,10,17,26,18,14,11,18,22,10,17,15,10,25,12,16,10,30
12,25,17,15,23,28,8,22,17,26,13,22,16,21,19,11,21,12,18,17,16,14,16,18,10,18,27,19,15,11,18,25,10,17,15,10,28,12,16,10,30
13,26,19,17,25,31,8,24,18,28,14,24,18,21,19,13,23,12,18,21,17,15,18,18,13,19,29,20,16,12,22,27,12,19,16,11,29,13,17,11,31
14,29,20,19,26,32,8,24,18,32,14,26,20,24,22,14,24,13,21,23,19,16,19,21,16,20,30,22,18,13,24,27,13,19,16,11,33,15,19,12,32
15,30,20,20,29,33,8,24,18,33,14,29,22,26,22,14,24,13,22,25,19,16,21,24,17,22,33,22,19,13,24,28,13,19,17,11,35,15,20,12,32
16,31,23,22,33,34,8,24,19,34,14,29,23,27,23,14,25,14,23,29,21,16,21,25,17,25,34,25,20,13,24,29,14,20,18,12,36,16,23,13,33
17,33,25,22,36,36,10,24,19,34,15,32,24,28,26,14,25,14,23,31,21,17,21,25,18,25,35,27,20,13,26,30,14,23,18,12,36,17,23,13,35
18,39,27,22,37,38,11,26,20,37,17,34,24,30,32,15,27,16,23,32,23,17,23,25,18,25,35,28,21,15,29,31,14,24,19,12,37,17,25,14,35
19,44,27,24,39,41,11,28,20,39,18,37,26,30,32,16,28,17,25,35,26,19,24,28,21,25,37,29,23,16,30,31,14,26,22,12,42,19,27,14,38
20,47,30,25,42,43,12,28,20,39,18,40,29,33,32,19,30,17,29,39,26,21,27,32,24,28,38,30,25,16,34,31,15,27,22,16,42,19,30,17,42
21,48,30,27,44,46,15,29,21,42,18,41,30,34,33,19,30,18,30,39,29,24,30,33,25,29,39,31,25,17,34,31,16,27,22,16,43,19,31,19,44
22,50,31,27,45,49,15,32,21,42,18,44,30,34,36,20,32,18,31,39,30,24,31,33,25,30,40,32,25,18,35,32,16,28,22,17,43,19,34,19,47
23,51,34,30,45,52,15,35,22,42,18,46,31,34,39,21,36,19,31,40,32,25,33,37,26,32,41,33,27,19,37,34,17,28,22,17,46,21,35,19,48
24,51,36,30,48,53,15,38,22,46,18,49,33,35,40,22,37,19,33,41,32,25,37,40,29,32,41,35,27,19,38,37,20,30,22,19,49,21,36,19,48
25,54,37,33,51,55,16,39,22,47,20,49,36,35,41,23,39,21,34,43,33,28,40,41,32,32,41,38,27,20,40,38,22,33,22,19,49,23,37,19,51
26,56,38,34,53,59,17,41,23,48,21,51,37,36,42,23,41,22,38,44,35,29,40,42,33,32,42,39,28,22,40,40,22,35,23,20,51,23,39,20,53
27,57,39,36,54,59,19,43,26,52,23,52,39,39,47,25,42,24,42,49,38,30,44,43,35,34,42,43,29,25,42,43,24,37,26,21,53,25,40,21,54
28,60,40,36,55,60,19,43,27,56,24,53,43,40,49,26,42,26,42,50,38,31,47,44,36,34,44,44,29,27,43,43,25,38,27,21,54,28,40,21,57
29,64,41,38,56,62,19,44,28,57,26,55,45,44,49,27,42,27,43,51,40,33,50,46,38,34,48,44,30,28,47,47,25,40,28,24,56,28,42,21,61
30,64,41,40,59,64,20,45,30,58,27,56,45,46,51,28,44,30,45,51,41,33,50,46,39,35,49,46,32,31,47,47,25,40,28,25,56,30,43,21,64
31,64,41,40,59,65,22,46,30,61,28,57,45,46,51,30,45,30,46,53,41,33,50,46,39,35,51,46,33,31,47,50,26,41,29,26,59,31,44,22,67
32,66,42,42,63,67,23,47,31,62,30,58,46,47,52,34,47,31,47,53,44,34,51,47,41,35,52,47,35,34,47,51,27,42,29,26,60,32,44,24,68
33,68,42,43,66,68,24,47,33,64,30,61,46,48,52,35,48,31,49,54,46,35,52,47,42,36,53,49,36,37,48,52,28,44,29,26,62,32,47,25,69
34,71,43,44,66,69,25,49,34,66,31,62,47,50,54,39,48,31,49,57,49,38,55,47,43,37,54,50,39,38,50,52,28,45,30,28,64,33,49,25,73
35,73,44,46,67,69,27,50,34,68,32,64,47,52,57,40,50,34,50,58,51,39,59,47,44,38,56,52,40,42,51,54,28,48,32,29,67,34,51,25,75
36,74,45,50,68,70,28,52,34,72,33,64,47,52,57,42,53,37,52,58,51,40,59,47,45,39,57,55,43,45,54,55,32,49,36,29,69,35,52,25,75
37,77,46,51,70,70,30,55,36,74,36,66,48,53,60,44,56,39,53,60,51,41,61,47,45,39,57,56,46,48,56,57,33,52,37,29,69,36,54,25,75
