,Inter scored,Inter received,Lazio scored,Lazio received,Napoli scored,Napoli received,Atalanta scored,Atalanta received,Torino scored,Torino received,Brescia scored,Brescia received,Juventus scored,Juventus received,Udinese scored,Udinese received,Roma scored,Roma received,Genoa scored,Genoa received,Bologna scored,Bologna received,Verona scored,Verona received,Spal scored,Spal received,Sassuolo scored,Sassuolo received,Milan scored,Milan received,Sampdoria scored,Sampdoria received,Lecce scored,Lecce received,Fiorentina scored,Fiorentina received,Parma scored,Parma received,Cagliari scored,Cagliari received
0,4,0,3,0,4,3,3,2,2,1,1,0,1,0,1,0,3,3,3,3,1,1,1,1,2,3,1,2,0,1,0,3,0,4,3,4,0,1,0,1
1,2,1,1,1,3,4,2,3,3,2,0,1,4,3,1,3,1,1,2,1,1,0,1,0,0,1,4,1,1,0,1,4,0,1,1,2,3,1,1,2
2,1,0,1,2,2,0,2,1,1,2,3,4,0,0,0,1,4,2,1,2,4,3,0,1,2,1,2,4,1,0,0,2,2,1,0,0,1,3,3,1
3,2,0,2,0,4,1,2,2,0,1,1,0,2,1,0,1,2,1,1,3,1,2,1,2,0,3,3,0,0,2,1,0,1,4,2,2,0,2,3,1
4,1,0,0,1,0,1,2,0,2,1,1,2,2,1,0,0,0,2,0,0,0,0,0,0,1,3,0,1,1,2,1,2,3,1,2,1,1,0,1,0
5,3,1,4,0,2,1,4,1,2,3,1,2,2,0,1,0,1,0,0,4,0,1,1,1,0,2,1,4,1,3,1,3,0,1,3,1,3,2,1,1
6,1,2,2,2,0,0,3,1,0,0,0,2,2,1,0,1,1,1,1,2,2,2,2,0,1,0,2,0,2,1,0,2,1,3,1,0,0,1,1,1
7,4,3,3,3,2,0,3,3,0,1,0,0,2,1,1,0,0,0,1,5,1,2,0,2,0,2,3,4,2,2,0,0,2,2,0,0,5,1,2,0
8,2,2,2,1,1,1,7,1,1,1,1,3,1,1,1,7,2,1,3,1,2,1,0,1,1,1,1,0,1,2,1,2,1,1,1,2,2,2,1,1
9,2,1,4,0,2,2,2,2,0,4,1,2,2,1,0,4,4,0,1,2,2,3,1,0,0,1,1,2,1,0,1,1,1,1,2,1,0,1,3,2
10,2,1,2,1,1,2,0,2,0,1,1,2,1,0,3,1,2,1,1,3,1,2,2,1,0,1,2,2,1,2,1,0,2,2,1,1,1,1,2,0
11,2,1,4,2,0,0,0,0,4,0,0,4,1,0,0,0,0,2,0,0,1,3,1,2,0,0,3,1,0,1,0,0,2,4,2,5,2,0,5,2
12,3,0,2,1,1,1,1,3,0,3,0,3,3,1,1,2,3,0,1,1,2,2,1,0,1,1,1,2,1,1,2,1,2,2,0,1,2,2,2,2
13,2,1,3,0,1,2,3,0,1,0,0,3,2,2,0,3,3,1,0,1,2,1,1,3,1,2,2,2,1,0,3,4,1,0,0,1,0,1,4,3
14,0,0,3,1,1,1,3,2,2,1,1,0,1,3,1,1,0,0,2,2,2,3,2,3,0,1,2,2,3,2,0,1,2,2,1,2,1,0,2,2
15,1,1,2,1,1,2,1,2,3,3,3,0,3,1,1,3,3,1,0,1,2,1,3,3,1,3,0,0,0,0,1,0,0,3,1,1,2,1,1,2
16,4,0,0,0,2,1,5,0,1,2,1,1,2,1,2,1,4,1,0,4,3,2,0,0,2,1,1,2,0,5,1,2,2,3,1,4,1,1,1,2
