,Genoa scored,Genoa received,Verona scored,Verona received,Juventus scored,Juventus received,Milan scored,Milan received,Napoli scored,Napoli received,Fiorentina scored,Fiorentina received,Cagliari scored,Cagliari received,Sassuolo scored,Sassuolo received,Atalanta scored,Atalanta received,Benevento scored,Benevento received,Inter scored,Inter received,Lazio scored,Lazio received,Spezia Calcio scored,Spezia Calcio received,Udinese scored,Udinese received,Torino scored,Torino received,Bologna scored,Bologna received,Parma scored,Parma received,Crotone scored,Crotone received,Roma scored,Roma received,Sampdoria scored,Sampdoria received
0,4,1,3,0,3,0,2,0,2,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,4,0,3,0,3
1,4,1,3,0,3,0,2,0,2,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,4,0,3,0,3
2,4,1,3,0,3,0,2,0,2,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,4,0,3,0,3
3,4,1,3,0,3,0,2,0,2,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,4,0,3,0,3
4,4,1,3,0,3,0,2,0,2,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,4,0,3,0,3
5,4,1,3,0,3,0,2,0,2,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,4,0,3,0,3
6,4,1,3,0,3,0,2,0,2,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,4,0,3,0,3
7,4,1,3,0,3,0,2,0,2,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,4,0,3,0,3
8,4,1,3,0,3,0,2,0,2,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,4,0,3,0,3
9,4,1,3,0,3,0,2,0,2,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,4,0,3,0,3
10,4,1,3,0,3,0,2,0,2,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,4,0,3,0,3
11,4,1,3,0,3,0,2,0,2,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,4,0,3,0,3
12,4,1,3,0,3,0,2,0,2,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,4,0,3,0,3
13,4,1,3,0,3,0,2,0,2,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,4,0,3,0,3
14,4,1,3,0,3,0,2,0,2,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,4,0,3,0,3
15,4,1,3,0,3,0,2,0,2,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,4,0,3,0,3
16,4,1,3,0,3,0,2,0,2,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,4,0,3,0,3
17,4,1,3,0,3,0,2,0,2,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,4,0,3,0,3
18,4,1,3,0,3,0,2,0,2,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,4,0,3,0,3
19,4,1,3,0,3,0,2,0,2,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,4,0,3,0,3
