,Roma scored,Roma received,Inter scored,Inter received,Siena scored,Siena received,Livorno scored,Livorno received,Juventus scored,Juventus received,Udinese scored,Udinese received,Ascoli scored,Ascoli received,Parma scored,Parma received,Palermo scored,Palermo received,Cagliari scored,Cagliari received,Sampdoria scored,Sampdoria received,Lecce scored,Lecce received,Chievo scored,Chievo received,Empoli scored,Empoli received,Messina scored,Messina received,Reggina scored,Reggina received,Treviso scored,Treviso received,Fiorentina scored,Fiorentina received,Lazio scored,Lazio received,Milan scored,Milan received
0,3,0,3,0,2,1,2,1,1,0,1,0,1,1,1,1,1,1,1,2,1,2,1,2,0,1,0,1,0,1,0,3,0,3,2,1,1,0,1,1
1,0,1,2,3,1,3,1,0,4,0,1,0,0,0,0,1,3,2,1,1,3,2,0,0,1,0,0,4,2,2,2,3,0,1,2,2,1,1,3,1
2,0,0,3,0,1,2,0,0,2,1,2,4,1,2,1,0,2,1,1,1,2,1,0,3,3,1,0,1,1,1,1,3,1,3,4,2,3,1,1,2
3,4,1,1,0,1,1,0,0,1,0,0,1,1,1,1,4,1,0,1,3,2,0,1,3,0,1,3,1,0,0,0,1,0,2,3,1,0,2,2,0
4,0,0,1,0,4,2,2,0,2,1,0,2,0,2,1,2,2,4,0,0,1,2,0,1,2,1,1,0,2,4,2,0,0,2,0,1,4,2,2,0
5,2,3,0,2,3,2,2,3,2,0,3,0,3,1,1,3,2,2,0,3,4,1,3,0,0,0,2,2,1,4,1,2,0,0,3,2,0,3,2,1
6,0,1,5,0,2,3,0,5,1,0,3,2,2,1,1,1,2,2,0,2,1,2,0,2,2,2,1,0,0,1,2,0,1,1,0,1,1,0,2,0
7,1,1,1,0,3,3,1,0,3,0,0,1,1,1,1,4,1,2,1,2,3,3,0,3,2,1,2,1,1,1,0,1,1,2,4,1,1,1,2,1
8,3,2,2,3,0,2,1,1,2,0,1,1,1,1,1,1,3,0,1,1,0,2,0,3,2,2,1,3,1,1,1,2,2,1,2,0,2,2,3,1
9,2,1,2,2,1,0,2,0,1,3,0,0,1,2,0,2,0,0,1,2,2,2,0,2,2,2,2,2,2,0,1,0,0,1,2,1,0,1,3,1
10,2,0,0,0,0,1,0,3,3,0,1,5,0,2,2,0,0,2,0,0,2,0,0,2,1,0,3,0,0,2,0,3,0,0,2,0,0,0,5,1
11,1,4,2,0,0,3,2,0,4,1,1,0,1,1,0,2,2,2,1,3,2,0,3,0,1,1,0,2,0,1,3,1,2,2,3,1,0,2,1,3
12,1,1,2,1,0,0,0,0,3,1,2,1,1,1,1,2,1,1,2,0,0,2,1,2,0,0,2,3,1,2,0,0,1,3,1,1,3,2,2,1
13,2,2,1,0,2,3,2,0,2,1,0,2,0,1,1,2,2,2,2,2,2,0,2,2,2,1,0,2,0,0,2,1,0,0,1,2,3,2,1,2
14,1,2,3,2,1,0,2,1,4,0,1,2,1,1,1,1,2,1,0,4,1,1,2,1,0,2,0,1,2,0,1,1,0,1,1,0,1,2,2,3
15,1,1,4,0,2,2,2,0,1,1,0,2,1,2,2,2,0,2,2,1,1,1,1,2,2,0,1,1,0,4,0,4,2,1,1,1,1,1,4,0
16,4,0,4,1,0,2,0,3,2,0,2,0,1,0,1,0,0,1,0,1,0,2,0,0,0,4,1,4,1,1,1,1,0,1,1,0,0,0,3,0
17,1,0,0,0,0,0,2,0,2,1,1,2,1,4,3,4,1,2,2,1,0,2,1,3,3,1,1,3,3,1,1,1,0,1,1,1,4,1,4,3
18,1,0,3,2,2,2,2,2,1,0,2,2,3,1,1,1,0,0,2,3,3,0,0,3,1,2,1,3,0,0,0,1,2,2,2,1,1,1,0,1
19,3,1,1,0,0,1,0,0,1,1,1,1,0,1,2,4,4,2,1,0,3,1,0,0,1,1,1,1,1,1,1,3,0,1,1,3,1,1,1,0
20,4,1,3,0,0,3,1,1,2,1,1,4,2,0,2,1,0,3,1,1,1,2,0,2,1,2,1,2,0,2,2,1,1,1,2,0,1,1,3,0
21,3,0,2,0,3,1,0,3,3,1,0,0,1,3,2,1,1,3,0,1,1,1,0,2,4,0,1,2,1,0,0,4,0,1,0,0,1,0,1,1
22,3,0,1,0,1,1,2,2,1,0,0,1,1,1,0,3,2,2,4,1,1,1,0,1,0,1,1,4,2,2,2,2,1,1,1,0,0,0,0,0
23,4,3,1,2,0,0,0,0,1,1,1,2,0,0,1,1,3,1,3,4,1,1,1,2,1,1,2,1,0,0,2,1,0,5,2,1,1,3,5,0
24,2,0,1,2,0,2,2,0,2,1,1,1,0,0,0,0,1,0,0,0,4,2,0,0,2,1,0,1,2,4,1,4,1,2,0,2,1,1,4,1
25,1,0,0,0,2,1,0,0,2,2,1,2,2,1,1,0,0,0,0,1,1,2,0,0,0,0,0,1,2,2,0,0,0,1,1,2,2,1,1,0
26,2,0,3,1,1,0,1,1,3,1,1,3,1,0,2,4,0,2,2,2,0,1,1,3,2,2,1,1,0,1,1,1,1,1,4,2,0,2,2,0
27,1,1,1,1,1,2,0,1,1,0,1,1,1,1,1,0,0,2,1,0,0,1,2,0,2,2,0,3,0,1,1,0,0,1,2,1,2,2,3,0
28,2,3,1,0,1,0,1,2,0,0,0,2,3,2,2,1,2,0,0,0,0,1,1,2,1,2,2,1,2,1,1,3,0,1,0,0,3,1,0,0
29,2,1,3,1,1,4,1,3,3,1,0,4,1,3,2,1,2,0,2,1,0,2,1,2,4,1,2,0,1,2,0,2,1,2,3,1,1,3,4,0
30,1,1,0,1,1,2,1,2,1,1,1,1,2,2,1,0,1,0,0,2,0,2,2,1,2,2,2,1,1,1,2,0,0,1,1,3,2,0,3,1
31,1,1,3,0,1,1,1,2,0,0,2,0,1,1,0,2,1,1,1,1,1,1,1,0,2,1,3,3,0,3,1,1,0,0,1,1,3,3,0,1
32,3,1,2,1,2,3,0,2,1,1,2,0,1,2,4,0,1,1,1,1,1,2,1,3,1,4,2,1,3,1,0,4,1,3,1,1,3,2,4,1
33,3,3,0,1,1,2,1,3,1,1,2,1,0,2,2,1,3,3,1,1,1,2,1,2,2,0,2,1,0,2,2,0,1,3,3,1,3,1,1,0
34,0,0,4,0,1,1,3,1,1,1,1,1,2,2,1,1,1,3,2,2,0,0,1,1,1,1,1,2,1,3,0,4,1,1,2,1,1,1,3,1
35,4,4,0,1,0,3,0,2,3,0,1,1,2,2,1,3,1,0,3,1,1,1,0,1,4,4,1,0,0,3,3,0,2,2,0,1,1,0,2,0
36,1,0,1,1,1,1,0,0,2,1,2,0,1,4,2,3,1,2,0,2,0,0,0,0,0,0,3,0,0,3,2,5,0,1,5,2,4,1,3,2
37,1,2,2,2,0,0,0,0,2,0,1,2,2,1,0,1,1,0,2,2,1,3,3,1,0,2,1,2,0,1,0,2,2,1,2,0,1,0,2,1
