,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0
3,Juventus,Palermo,Inter,Sampdoria,Livorno,Roma,Chievo,Udinese,Siena,Parma,Ascoli,Messina,Empoli,Cagliari,Lecce,Reggina,Treviso,Fiorentina,Milan,Lazio,
4,Juventus,Inter,Livorno,Palermo,Sampdoria,Chievo,Roma,Siena,Empoli,Udinese,Parma,Messina,Cagliari,Ascoli,Reggina,Lecce,Treviso,Milan,Fiorentina,Lazio,
5,Juventus,Sampdoria,Inter,Livorno,Palermo,Chievo,Siena,Udinese,Roma,Empoli,Ascoli,Lecce,Parma,Messina,Reggina,Cagliari,Treviso,Milan,Fiorentina,Lazio,
6,Juventus,Inter,Sampdoria,Palermo,Udinese,Chievo,Livorno,Siena,Empoli,Ascoli,Roma,Reggina,Parma,Lecce,Messina,Cagliari,Treviso,Milan,Fiorentina,Lazio,
7,Juventus,Inter,Chievo,Livorno,Sampdoria,Empoli,Palermo,Udinese,Siena,Ascoli,Roma,Reggina,Parma,Messina,Lecce,Cagliari,Treviso,Milan,Fiorentina,Lazio,
8,Juventus,Inter,Palermo,Chievo,Livorno,Sampdoria,Udinese,Empoli,Roma,Ascoli,Siena,Reggina,Parma,Messina,Treviso,Cagliari,Lecce,Milan,Fiorentina,Lazio,
9,Juventus,Inter,Livorno,Palermo,Chievo,Roma,Sampdoria,Udinese,Siena,Empoli,Ascoli,Reggina,Messina,Parma,Treviso,Cagliari,Lecce,Milan,Fiorentina,Lazio,
10,Juventus,Inter,Chievo,Roma,Livorno,Sampdoria,Empoli,Palermo,Siena,Udinese,Ascoli,Reggina,Parma,Messina,Treviso,Cagliari,Lecce,Milan,Fiorentina,Lazio,
11,Juventus,Inter,Livorno,Sampdoria,Chievo,Roma,Palermo,Empoli,Udinese,Siena,Ascoli,Reggina,Parma,Messina,Treviso,Lecce,Cagliari,Milan,Fiorentina,Lazio,
12,Juventus,Inter,Livorno,Chievo,Sampdoria,Udinese,Roma,Palermo,Empoli,Siena,Ascoli,Reggina,Parma,Messina,Cagliari,Treviso,Lecce,Milan,Fiorentina,Lazio,
13,Juventus,Inter,Livorno,Chievo,Sampdoria,Roma,Udinese,Palermo,Empoli,Reggina,Siena,Ascoli,Messina,Cagliari,Parma,Treviso,Lecce,Milan,Fiorentina,Lazio,
14,Juventus,Inter,Livorno,Sampdoria,Chievo,Palermo,Roma,Udinese,Siena,Reggina,Empoli,Ascoli,Messina,Lecce,Parma,Cagliari,Treviso,Fiorentina,Milan,Lazio,
15,Juventus,Inter,Livorno,Chievo,Sampdoria,Palermo,Roma,Udinese,Siena,Empoli,Reggina,Ascoli,Messina,Cagliari,Parma,Treviso,Lecce,Milan,Fiorentina,Lazio,
16,Juventus,Inter,Livorno,Chievo,Sampdoria,Roma,Udinese,Palermo,Siena,Empoli,Reggina,Ascoli,Parma,Messina,Cagliari,Lecce,Treviso,Milan,Fiorentina,Lazio,
17,Juventus,Inter,Livorno,Chievo,Roma,Sampdoria,Udinese,Palermo,Siena,Reggina,Empoli,Ascoli,Messina,Cagliari,Parma,Lecce,Treviso,Milan,Fiorentina,Lazio,
18,Juventus,Inter,Livorno,Roma,Chievo,Sampdoria,Udinese,Palermo,Siena,Ascoli,Reggina,Empoli,Messina,Parma,Cagliari,Treviso,Lecce,Milan,Fiorentina,Lazio,
19,Juventus,Inter,Livorno,Roma,Sampdoria,Chievo,Palermo,Udinese,Siena,Ascoli,Reggina,Empoli,Messina,Cagliari,Parma,Milan,Lecce,Treviso,Fiorentina,Lazio,
20,Juventus,Inter,Livorno,Roma,Sampdoria,Chievo,Palermo,Udinese,Ascoli,Reggina,Siena,Cagliari,Empoli,Messina,Parma,Milan,Fiorentina,Treviso,Lecce,Lazio,
21,Juventus,Inter,Roma,Livorno,Chievo,Sampdoria,Palermo,Udinese,Siena,Ascoli,Reggina,Messina,Parma,Cagliari,Empoli,Milan,Fiorentina,Treviso,Lecce,Lazio,
22,Juventus,Inter,Roma,Livorno,Chievo,Sampdoria,Palermo,Udinese,Siena,Ascoli,Reggina,Messina,Cagliari,Parma,Empoli,Milan,Fiorentina,Treviso,Lecce,Lazio,
23,Juventus,Inter,Roma,Livorno,Chievo,Sampdoria,Palermo,Siena,Udinese,Reggina,Ascoli,Messina,Cagliari,Parma,Empoli,Milan,Fiorentina,Treviso,Lecce,Lazio,
24,Juventus,Inter,Roma,Livorno,Chievo,Sampdoria,Palermo,Udinese,Ascoli,Siena,Reggina,Milan,Cagliari,Messina,Parma,Empoli,Fiorentina,Treviso,Lecce,Lazio,
25,Juventus,Inter,Roma,Livorno,Chievo,Sampdoria,Palermo,Ascoli,Siena,Milan,Udinese,Reggina,Parma,Messina,Cagliari,Empoli,Fiorentina,Lecce,Treviso,Lazio,
26,Juventus,Inter,Roma,Livorno,Chievo,Sampdoria,Palermo,Ascoli,Siena,Milan,Reggina,Udinese,Parma,Cagliari,Messina,Fiorentina,Empoli,Treviso,Lecce,Lazio,
27,Juventus,Inter,Roma,Livorno,Chievo,Sampdoria,Palermo,Milan,Ascoli,Siena,Reggina,Parma,Udinese,Cagliari,Fiorentina,Messina,Empoli,Lecce,Treviso,Lazio,
28,Juventus,Inter,Roma,Livorno,Chievo,Sampdoria,Palermo,Ascoli,Siena,Milan,Parma,Reggina,Cagliari,Udinese,Fiorentina,Messina,Empoli,Lecce,Treviso,Lazio,
29,Juventus,Inter,Roma,Chievo,Livorno,Palermo,Milan,Sampdoria,Ascoli,Siena,Parma,Cagliari,Reggina,Fiorentina,Empoli,Udinese,Messina,Lecce,Treviso,Lazio,
30,Juventus,Inter,Roma,Chievo,Livorno,Palermo,Milan,Parma,Sampdoria,Ascoli,Siena,Reggina,Empoli,Cagliari,Fiorentina,Udinese,Messina,Lecce,Lazio,Treviso,
31,Juventus,Inter,Roma,Chievo,Palermo,Livorno,Milan,Sampdoria,Ascoli,Parma,Siena,Reggina,Empoli,Cagliari,Udinese,Fiorentina,Messina,Lecce,Lazio,Treviso,
32,Juventus,Inter,Roma,Chievo,Palermo,Livorno,Milan,Parma,Sampdoria,Ascoli,Siena,Empoli,Udinese,Reggina,Cagliari,Fiorentina,Messina,Lecce,Lazio,Treviso,
33,Juventus,Inter,Roma,Chievo,Milan,Palermo,Livorno,Parma,Empoli,Sampdoria,Ascoli,Udinese,Reggina,Siena,Fiorentina,Cagliari,Messina,Lecce,Lazio,Treviso,
34,Juventus,Inter,Roma,Chievo,Milan,Livorno,Palermo,Parma,Sampdoria,Ascoli,Udinese,Empoli,Fiorentina,Reggina,Siena,Cagliari,Messina,Lecce,Lazio,Treviso,
35,Juventus,Inter,Roma,Chievo,Milan,Palermo,Livorno,Parma,Empoli,Reggina,Sampdoria,Ascoli,Udinese,Fiorentina,Cagliari,Siena,Messina,Lazio,Lecce,Treviso,
36,Juventus,Inter,Roma,Milan,Chievo,Palermo,Livorno,Empoli,Parma,Udinese,Fiorentina,Sampdoria,Reggina,Ascoli,Cagliari,Siena,Messina,Lazio,Lecce,Treviso,
37,Juventus,Inter,Roma,Milan,Chievo,Palermo,Livorno,Empoli,Parma,Fiorentina,Ascoli,Udinese,Sampdoria,Reggina,Cagliari,Siena,Lazio,Messina,Lecce,Treviso,
