,Roma scored,Roma received,Inter scored,Inter received,Siena scored,Siena received,Livorno scored,Livorno received,Juventus scored,Juventus received,Udinese scored,Udinese received,Ascoli scored,Ascoli received,Parma scored,Parma received,Palermo scored,Palermo received,Cagliari scored,Cagliari received,Sampdoria scored,Sampdoria received,Lecce scored,Lecce received,Chievo scored,Chievo received,Empoli scored,Empoli received,Messina scored,Messina received,Reggina scored,Reggina received,Treviso scored,Treviso received,Fiorentina scored,Fiorentina received,Lazio scored,Lazio received,Milan scored,Milan received
0,3,0,3,0,2,1,2,1,1,0,1,0,1,1,1,1,1,1,1,2,1,2,1,2,0,1,0,1,0,1,0,3,0,3,2,1,1,0,1,1
1,3,1,5,3,3,4,3,1,5,0,2,0,1,1,1,2,4,3,2,3,4,4,1,2,1,1,0,5,2,3,2,6,0,4,4,3,2,1,4,2
2,3,1,8,3,4,6,3,1,7,1,4,4,2,3,2,2,6,4,3,4,6,5,1,5,4,2,0,6,3,4,3,9,1,7,8,5,5,2,5,4
3,7,2,9,3,5,7,3,1,8,1,4,5,3,4,3,6,7,4,4,7,8,5,2,8,4,3,3,7,3,4,3,10,1,9,11,6,5,4,7,4
4,7,2,10,3,9,9,5,1,10,2,4,7,3,6,4,8,9,8,4,7,9,7,2,9,6,4,4,7,5,8,5,10,1,11,11,7,9,6,9,4
5,9,5,10,5,12,11,7,4,12,2,7,7,6,7,5,11,11,10,4,10,13,8,5,9,6,4,6,9,6,12,6,12,1,11,14,9,9,9,11,5
6,9,6,15,5,14,14,7,9,13,2,10,9,8,8,6,12,13,12,4,12,14,10,5,11,8,6,7,9,6,13,8,12,2,12,14,10,10,9,13,5
7,10,7,16,5,17,17,8,9,16,2,10,10,9,9,7,16,14,14,5,14,17,13,5,14,10,7,9,10,7,14,8,13,3,14,18,11,11,10,15,6
8,13,9,18,8,17,19,9,10,18,2,11,11,10,10,8,17,17,14,6,15,17,15,5,17,12,9,10,13,8,15,9,15,5,15,20,11,13,12,18,7
9,15,10,20,10,18,19,11,10,19,5,11,11,11,12,8,19,17,14,7,17,19,17,5,19,14,11,12,15,10,15,10,15,5,16,22,12,13,13,21,8
10,17,10,20,10,18,20,11,13,22,5,12,16,11,14,10,19,17,16,7,17,21,17,5,21,15,11,15,15,10,17,10,18,5,16,24,12,13,13,26,9
11,18,14,22,10,18,23,13,13,26,6,13,16,12,15,10,21,19,18,8,20,23,17,8,21,16,12,15,17,10,18,13,19,7,18,27,13,13,15,27,12
12,19,15,24,11,18,23,13,13,29,7,15,17,13,16,11,23,20,19,10,20,23,19,9,23,16,12,17,20,11,20,13,19,8,21,28,14,16,17,29,13
13,21,17,25,11,20,26,15,13,31,8,15,19,13,17,12,25,22,21,12,22,25,19,11,25,18,13,17,22,11,20,15,20,8,21,29,16,19,19,30,15
14,22,19,28,13,21,26,17,14,35,8,16,21,14,18,13,26,24,22,12,26,26,20,13,26,18,15,17,23,13,20,16,21,8,22,30,16,20,21,32,18
15,23,20,32,13,23,28,19,14,36,9,16,23,15,20,15,28,24,24,14,27,27,21,14,28,20,15,18,24,13,24,16,25,10,23,31,17,21,22,36,18
16,27,20,36,14,23,30,19,17,38,9,18,23,16,20,16,28,24,25,14,28,27,23,14,28,20,19,19,28,14,25,17,26,10,24,32,17,21,22,39,18
17,28,20,36,14,23,30,21,17,40,10,19,25,17,24,19,32,25,27,16,29,27,25,15,31,23,20,20,31,17,26,18,27,10,25,33,18,25,23,43,21
18,29,20,39,16,25,32,23,19,41,10,21,27,20,25,20,33,25,27,18,32,30,25,15,34,24,22,21,34,17,26,18,28,12,27,35,19,26,24,43,22
19,32,21,40,16,25,33,23,19,42,11,22,28,20,26,22,37,29,29,19,32,33,26,15,34,25,23,22,35,18,27,19,31,12,28,36,22,27,25,44,22
20,36,22,43,16,25,36,24,20,44,12,23,32,22,26,24,38,29,32,20,33,34,28,15,36,26,25,23,37,18,29,21,32,13,29,38,22,28,26,47,22
21,39,22,45,16,28,37,24,23,47,13,23,32,23,29,26,39,30,35,20,34,35,29,15,38,30,25,24,39,19,29,21,36,13,30,38,22,29,26,48,23
22,42,22,46,16,29,38,26,25,48,13,23,33,24,30,26,42,32,37,24,35,36,30,15,39,30,26,25,43,21,31,23,38,14,31,39,22,29,26,48,23
23,46,25,47,18,29,38,26,25,49,14,24,35,24,30,27,43,35,38,27,39,37,31,16,41,31,27,27,44,21,31,25,39,14,36,41,23,30,29,53,23
24,48,25,48,20,29,40,28,25,51,15,25,36,24,30,27,43,36,38,27,39,41,33,16,41,33,28,27,45,23,35,26,43,15,38,41,25,31,30,57,24
