,Juventus scored,Juventus received,Milan scored,Milan received,Fiorentina scored,Fiorentina received,Roma scored,Roma received,Cagliari scored,Cagliari received,Sampdoria scored,Sampdoria received,Catania scored,Catania received,Lazio scored,Lazio received,Parma scored,Parma received,Torino scored,Torino received,Atalanta scored,Atalanta received,Inter scored,Inter received,Reggina scored,Reggina received,Udinese scored,Udinese received,Siena scored,Siena received,Empoli scored,Empoli received,Napoli scored,Napoli received,Palermo scored,Palermo received,Genoa scored,Genoa received,Livorno scored,Livorno received
0,5,1,3,0,3,1,2,0,2,0,2,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,1,3,0,2,0,2,0,3,1,5
1,3,2,1,1,1,1,3,0,2,3,0,0,0,0,0,0,0,2,2,2,2,0,2,0,2,2,0,5,0,3,0,2,5,0,4,2,0,0,2,4
2,0,1,1,1,2,2,2,0,1,1,0,2,0,2,0,0,1,1,1,1,2,2,2,0,0,2,1,0,1,1,0,0,2,0,1,1,1,1,1,1
3,2,2,1,1,1,0,2,2,0,1,0,0,0,1,1,2,1,1,1,1,2,1,2,2,0,2,2,0,1,1,0,0,0,0,1,0,0,0,2,2
4,4,0,1,2,2,2,2,2,1,3,0,3,1,0,3,1,2,0,0,2,1,1,3,0,0,4,2,3,1,1,0,1,1,0,2,1,3,2,0,1
5,1,0,1,1,3,0,1,4,1,0,3,0,1,1,1,1,1,2,0,1,0,3,4,1,1,1,2,1,0,1,3,1,1,2,1,3,2,1,0,3
6,1,1,5,1,1,1,3,0,0,2,0,1,1,0,1,5,0,3,1,0,0,0,2,1,1,1,0,0,3,0,0,3,1,2,1,1,2,0,0,1
7,1,0,0,1,3,0,4,4,1,1,3,0,1,1,1,0,0,3,2,2,2,2,1,0,0,1,1,1,0,3,1,0,4,4,1,1,0,1,0,1
8,1,3,0,1,0,0,1,0,0,2,0,2,2,0,0,1,3,2,2,0,1,0,0,0,0,0,1,0,0,0,0,1,3,1,0,0,0,0,2,3
9,3,0,5,0,1,0,3,2,2,2,0,5,1,1,2,3,1,1,1,2,2,2,4,1,1,3,2,1,1,1,0,3,0,1,1,1,1,4,3,1
10,1,1,0,0,1,0,2,2,0,3,3,0,1,2,0,1,2,2,0,0,2,1,1,1,1,1,0,0,2,2,2,2,1,1,3,3,3,3,0,0
11,2,2,1,2,1,2,2,0,0,2,3,0,1,1,0,3,2,2,1,1,2,1,3,0,2,0,2,1,2,3,0,3,1,2,2,1,0,2,3,2
12,5,0,2,1,0,0,1,0,1,2,1,3,0,2,1,0,0,1,0,0,1,2,2,1,0,0,2,0,0,2,0,0,2,0,0,5,0,1,3,1
13,0,0,0,0,0,2,2,1,0,0,3,0,3,1,1,1,1,0,1,1,5,1,2,0,0,3,1,2,1,1,0,1,1,5,1,3,1,1,0,0
14,1,0,1,0,0,2,1,1,1,4,2,3,0,2,2,0,0,1,0,4,0,1,4,0,0,1,3,2,3,1,4,1,1,0,2,0,1,3,1,1
