,Lazio scored,Lazio received,Torino scored,Torino received,Udinese scored,Udinese received,Bologna scored,Bologna received,Chievo scored,Chievo received,Atalanta scored,Atalanta received,Catania scored,Catania received,Roma scored,Roma received,Inter scored,Inter received,Sampdoria scored,Sampdoria received,Napoli scored,Napoli received,Juventus scored,Juventus received,Fiorentina scored,Fiorentina received,Reggina scored,Reggina received,Siena scored,Siena received,Palermo scored,Palermo received,Cagliari scored,Cagliari received,Lecce scored,Lecce received,Milan scored,Milan received,Genoa scored,Genoa received
0,4,1,3,0,3,1,2,1,2,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1,3,1,4,0,3,1,2,0,1
1,2,0,1,1,0,1,0,1,0,2,1,0,1,2,1,3,2,1,0,2,2,1,1,0,1,2,1,1,2,0,3,1,0,2,2,0,0,2,2,0
2,1,4,1,3,0,0,0,1,1,1,0,1,1,0,3,0,3,1,1,1,0,0,1,0,1,0,0,3,1,1,2,1,0,1,1,1,4,1,1,2
3,3,0,1,1,3,0,0,3,1,1,1,0,1,1,1,3,1,0,0,0,2,1,1,1,0,3,1,2,0,0,1,2,0,1,0,1,2,1,3,1
4,3,1,1,3,2,1,0,1,0,1,0,2,1,0,2,0,0,1,0,0,1,0,0,0,1,0,0,1,1,2,1,0,0,2,2,0,1,0,0,1
5,1,1,0,2,2,0,1,2,0,2,4,2,1,1,0,1,2,1,2,4,2,3,1,2,2,0,1,1,1,0,2,1,0,0,1,1,0,0,3,2
6,1,3,0,1,2,2,3,1,1,1,1,1,2,0,0,4,4,0,0,3,2,1,1,2,3,0,0,3,0,1,0,2,1,0,2,2,3,0,1,0
7,0,1,0,1,3,1,0,2,0,2,0,1,1,1,1,3,0,0,2,0,1,0,1,0,3,1,2,0,1,1,1,3,2,0,0,2,1,0,0,0
8,2,1,2,1,2,0,1,2,1,2,1,2,0,2,2,0,0,0,0,2,3,0,2,1,0,0,0,3,1,2,1,1,1,2,1,1,2,1,2,1
9,1,0,0,1,2,2,1,5,0,3,0,0,0,1,0,2,3,2,1,0,0,1,2,0,0,1,2,3,1,0,3,0,5,1,0,0,1,0,2,2
10,3,0,1,0,0,1,1,1,0,2,1,2,2,1,1,1,1,0,0,2,2,0,2,0,2,1,0,4,0,3,0,1,1,2,1,1,1,1,4,0
11,0,1,2,3,0,1,1,1,0,1,3,1,3,2,1,0,2,0,3,2,1,3,4,1,0,1,1,0,1,1,0,2,1,0,2,3,1,0,1,4
12,1,1,2,2,2,4,1,1,0,2,1,3,0,3,3,0,1,0,3,0,2,2,0,1,4,2,3,1,2,0,1,1,2,2,0,3,2,2,1,1
13,0,2,0,1,0,1,1,1,1,0,2,0,1,1,1,0,2,1,0,1,1,2,4,0,0,1,0,4,1,0,3,1,1,0,1,1,1,3,1,1
14,0,3,1,4,0,3,2,2,0,1,3,0,0,1,1,0,3,0,0,1,2,0,2,1,4,1,2,2,0,2,0,1,1,0,1,2,1,0,1,0
15,3,3,2,5,3,3,5,2,2,4,1,1,0,2,3,2,4,2,2,0,3,0,4,2,2,0,0,2,0,2,2,0,2,3,0,3,2,4,1,1
16,1,0,1,0,1,5,0,0,0,1,1,3,3,2,2,3,2,1,0,1,0,1,3,1,1,0,1,1,1,2,0,1,1,1,0,0,5,1,1,0
17,3,2,0,3,1,1,1,1,1,1,2,3,0,1,2,2,1,1,1,1,1,0,1,0,1,2,2,3,0,1,3,2,1,1,2,1,2,2,3,0
