,Genoa scored,Genoa received,Milan scored,Milan received,Sampdoria scored,Sampdoria received,Palermo scored,Palermo received,Juventus scored,Juventus received,Lazio scored,Lazio received,Parma scored,Parma received,Fiorentina scored,Fiorentina received,Bari scored,Bari received,Bologna scored,Bologna received,Inter scored,Inter received,Livorno scored,Livorno received,Udinese scored,Udinese received,Cagliari scored,Cagliari received,Roma scored,Roma received,Siena scored,Siena received,Catania scored,Catania received,Napoli scored,Napoli received,Atalanta scored,Atalanta received,Chievo scored,Chievo received
0,3,2,2,1,2,1,2,1,1,0,1,0,2,2,1,1,1,1,1,1,1,1,0,0,2,2,0,0,2,3,1,2,1,2,1,2,0,1,0,1
1,4,2,2,5,5,2,2,2,4,1,3,1,4,3,2,1,1,1,1,1,5,1,1,3,3,5,1,3,3,6,4,3,2,4,4,3,0,2,1,3
2,8,3,2,5,6,2,3,3,6,1,3,3,4,5,3,1,2,2,1,3,7,1,1,3,7,7,1,4,5,7,5,5,4,8,5,7,0,3,3,3
3,9,6,3,5,10,3,3,4,8,1,4,4,5,5,4,4,6,3,1,4,9,2,1,5,7,7,2,6,8,8,6,9,5,9,5,7,1,7,6,4
4,11,8,3,6,10,5,6,7,10,3,5,6,7,6,6,4,6,4,3,4,12,3,1,7,8,7,3,6,11,11,6,9,5,9,6,10,1,7,6,4
5,11,10,3,6,11,5,7,8,11,4,6,7,7,8,7,4,6,4,4,5,12,4,1,8,10,7,5,6,12,12,7,11,6,10,8,11,2,8,7,5
6,14,11,4,7,12,6,9,8,11,6,6,7,8,9,7,4,6,4,5,8,14,5,1,8,11,9,6,8,14,13,7,11,6,10,9,13,3,9,9,6
7,14,16,6,8,13,7,11,9,12,7,7,8,9,9,8,5,8,5,6,10,19,5,2,10,12,12,7,10,15,15,7,12,8,11,11,14,6,10,10,8
8,16,19,8,9,17,8,12,9,13,7,7,10,10,12,8,6,10,5,7,14,21,6,3,10,12,13,10,12,15,16,7,13,9,13,12,14,9,11,11,10
9,18,20,10,11,18,13,15,14,18,8,7,11,12,12,9,8,10,7,9,15,26,9,4,10,14,14,11,12,16,18,8,15,10,15,14,16,9,12,13,11
10,18,20,12,11,18,13,15,14,20,11,8,12,12,14,12,9,10,7,10,17,28,9,4,12,15,15,14,12,18,19,9,16,11,18,17,18,9,15,14,12
11,22,22,14,12,18,15,16,17,25,13,9,14,14,14,13,9,11,7,13,18,29,10,4,13,15,16,16,12,19,20,11,20,11,18,17,18,11,20,14,14
12,23,24,18,15,20,16,17,18,26,13,9,14,17,16,15,12,12,10,14,21,32,11,6,14,15,17,19,16,22,21,11,22,12,19,17,18,13,20,15,16
13,26,24,20,15,20,19,17,19,26,15,9,14,18,17,15,13,14,11,14,21,33,11,6,16,17,17,21,16,24,22,12,24,12,21,18,19,14,22,16,16
14,28,26,23,15,20,22,19,20,28,16,9,15,20,19,17,13,16,14,16,22,34,13,6,18,18,19,22,18,25,22,15,26,14,24,21,21,14,24,18,16
15,28,27,23,17,20,22,21,20,29,19,10,15,22,20,18,15,19,15,17,24,35,14,7,18,19,21,25,21,25,22,17,27,14,25,24,24,15,25,20,17
16,29,28,25,18,21,25,22,20,30,21,10,16,22,22,19,17,20,16,19,26,36,14,10,19,21,22,26,23,27,22,17,28,16,26,26,24,17,27,20,19
17,31,33,30,20,22,26,23,21,32,22,14,17,23,24,24,18,22,16,19,27,37,14,11,23,21,24,28,25,29,24,18,33,17,26,28,24,17,29,20,20
18,33,33,33,20,22,27,24,21,32,25,15,18,24,26,26,19,23,18,19,28,41,17,13,24,22,25,29,25,30,24,21,37,17,28,29,24,17,30,20,21
19,33,36,37,20,23,28,24,21,32,26,15,21,24,26,27,21,25,20,21,29,43,19,13,27,22,25,32,25,33,24,21,41,18,29,29,24,20,30,21,21
20,35,36,37,22,26,30,27,21,33,28,16,22,24,29,27,24,26,22,23,30,45,19,13,29,24,28,33,26,35,25,22,42,21,29,31,24,20,32,22,22
21,35,36,38,23,28,30,29,25,34,29,17,23,25,30,29,26,30,24,24,31,46,20,14,30,25,29,35,28,37,26,23,44,22,30,31,24,20,34,23,23
22,36,36,38,23,30,31,31,26,35,30,17,24,26,32,29,27,30,25,24,31,49,20,15,31,28,30,35,31,38,26,24,46,23,30,32,27,21,34,23,24
23,38,39,41,25,32,31,32,30,38,32,19,24,26,34,29,29,31,28,25,31,49,20,15,32,30,33,38,32,42,27,25,46,23,30,32,27,21,34,23,25
24,41,39,43,25,32,31,35,31,40,33,20,27,26,36,31,30,31,30,26,33,49,20,16,34,30,36,40,32,43,27,25,46,23,31,32,27,21,35,24,25
25,44,43,46,26,32,32,37,31,40,35,21,28,27,36,32,31,31,34,30,36,52,22,17,36,32,39,41,34,45,29,27,47,27,31,34,29,22,38,26,26
26,44,43,46,26,34,33,38,31,42,36,22,30,28,37,33,33,32,34,32,37,52,22,17,37,32,39,43,36,45,29,28,48,29,33,35,31,22,38,26,27
27,49,46,47,26,35,34,40,34,45,39,22,32,29,37,36,34,34,34,33,38,53,25,20,40,35,41,46,41,48,32,31,51,32,34,36,34,22,39,26,28
28,49,49,48,27,36,34,41,35,45,40,24,32,30,38,39,34,35,35,33,39,54,26,20,43,37,45,46,43,52,34,32,51,33,35,37,35,25,39,27,29
29,51,51,48,28,37,36,43,37,46,43,26,32,31,38,39,35,37,36,33,41,57,26,20,46,37,45,47,46,54,34,32,53,34,35,40,36,28,40,27,29
30,51,51,49,29,38,37,46,38,48,44,27,33,31,38,43,36,38,37,34,44,58,28,21,47,38,49,48,47,56,35,32,53,34,36,41,36,29,42,27,29
31,52,52,52,31,40,38,46,40,48,47,28,34,32,39,44,37,38,38,34,47,61,28,22,48,41,49,50,50,57,35,32,55,36,36,42,37,31,42,28,31
32,52,53,54,33,41,38,49,41,49,47,31,36,35,41,46,39,40,41,36,50,63,30,22,50,43,49,50,51,59,36,35,57,38,38,44,40,32,44,29,34
33,55,55,55,35,43,39,51,43,49,49,32,38,37,44,47,41,41,43,37,51,65,30,22,52,44,50,52,53,61,37,37,59,40,40,46,41,34,45,31,34
34,56,57,56,38,45,40,54,44,52,49,34,39,38,46,47,43,41,46,39,52,68,31,25,53,48,51,52,53,62,39,38,63,41,43,46,41,35,48,33,34
35,56,60,57,38,47,40,56,45,53,50,34,41,39,48,47,44,44,46,40,53,70,31,25,55,50,53,54,55,64,40,39,65,42,44,48,42,36,49,34,36
36,57,60,57,39,48,41,57,46,55,53,36,42,42,50,48,45,47,49,41,54,74,34,26,57,53,56,55,57,66,41,40,66,43,45,50,42,36,51,37,40
37,57,61,60,39,49,41,59,47,55,56,39,43,46,51,48,47,49,49,42,55,75,34,27,61,54,59,56,58,68,41,40,67,44,45,50,43,37,53,37,42
