,Fenerbahce scored,Fenerbahce received,Kayserispor scored,Kayserispor received,Trabzonspor scored,Trabzonspor received,Karabukspor scored,Karabukspor received,Sivasspor scored,Sivasspor received,Besiktas scored,Besiktas received,Bursaspor scored,Bursaspor received,Eskisehirspor scored,Eskisehirspor received,Gaziantepspor scored,Gaziantepspor received,Genclerbirligi scored,Genclerbirligi received,Kasimpasa scored,Kasimpasa received,Galatasaray scored,Galatasaray received,Manisaspor scored,Manisaspor received,Bucaspor scored,Bucaspor received,Konyaspor scored,Konyaspor received,Buyuksehyr scored,Buyuksehyr received,Ankaragucu scored,Ankaragucu received,Antalyaspor scored,Antalyaspor received
0,4,0,2,0,2,0,2,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,1,2,1,2,0,1,0,1,0,2,0,2,0,4
1,2,3,1,0,3,2,0,1,1,1,0,2,2,0,1,2,0,0,0,0,0,0,0,2,0,3,0,0,2,1,2,0,3,0,1,1
2,4,2,1,1,0,0,1,4,0,2,4,1,2,0,1,3,2,2,1,3,1,3,3,1,2,4,3,1,2,2,3,1,1,1,0,0
3,0,2,2,0,6,1,2,1,1,6,4,0,2,1,1,2,0,1,2,1,1,2,1,0,1,2,1,1,1,1,1,2,0,4,2,1
4,1,1,1,2,1,3,3,0,1,1,1,1,3,0,1,1,0,3,0,3,0,3,1,0,3,1,0,1,0,1,1,0,3,0,2,1
5,6,2,0,0,0,0,2,2,0,3,2,1,1,0,0,1,1,0,1,0,2,6,3,1,3,0,0,1,2,2,1,3,0,1,1,2
6,3,0,2,0,1,0,2,1,1,1,0,1,0,0,0,0,1,1,0,3,1,3,1,2,0,2,0,0,1,4,0,0,4,1,3,1
7,4,1,4,1,7,0,2,2,1,4,2,3,2,2,1,0,2,0,2,3,0,7,2,4,3,2,0,2,1,4,0,1,4,2,3,2
8,0,0,1,0,3,1,1,2,1,1,0,1,5,1,2,1,0,1,1,3,1,2,0,0,2,1,1,1,0,1,1,0,1,5,1,0
9,1,1,2,1,2,1,0,0,1,2,2,1,1,1,0,0,0,0,2,0,1,2,2,1,0,2,0,2,1,2,2,0,0,0,1,2
10,4,2,1,1,2,0,3,0,0,4,1,1,2,2,2,4,2,0,1,1,1,1,0,2,0,1,0,3,1,0,4,0,0,2,2,2
11,1,2,1,0,2,0,1,2,0,2,2,0,0,2,0,0,2,1,0,2,2,0,0,2,2,0,0,0,0,1,2,1,0,0,0,0
12,5,2,0,0,0,0,1,5,5,1,2,2,2,0,0,0,1,0,1,1,1,1,0,0,0,2,2,5,2,2,2,2,2,2,0,1
13,1,0,0,2,3,1,5,1,1,1,2,1,2,0,2,1,1,3,1,1,2,2,1,2,1,2,1,0,2,2,0,1,1,5,0,1
14,2,1,2,2,2,0,1,2,1,1,1,0,0,1,2,2,0,2,1,2,0,3,3,0,2,0,0,2,2,1,0,1,1,1,1,0
15,1,2,0,2,3,1,2,0,1,0,0,2,2,1,2,0,2,0,2,0,1,2,0,2,1,1,1,1,0,1,1,3,2,1,0,2
16,1,0,2,0,3,0,0,3,0,1,1,1,5,1,2,0,1,1,1,5,0,2,1,0,1,0,0,2,0,1,0,1,2,2,2,2
17,1,0,3,2,1,1,2,4,0,1,5,1,0,0,1,0,1,0,0,1,0,1,1,0,4,2,1,5,0,0,2,3,1,1,0,1
18,2,0,0,0,0,2,0,0,1,1,1,2,2,0,1,0,1,1,1,1,0,4,0,2,3,1,4,0,0,1,2,1,1,3,1,1
19,3,1,2,1,0,0,1,1,1,2,1,1,2,1,2,4,2,0,1,0,1,3,4,2,1,3,0,1,0,2,3,1,1,2,0,0
20,2,0,0,2,3,2,1,3,2,3,0,1,1,1,1,1,1,0,1,0,3,1,0,1,4,1,3,2,2,3,0,1,1,0,1,4
21,4,2,2,0,2,1,3,2,1,2,2,4,1,4,2,1,4,1,2,3,2,1,1,0,1,2,0,1,0,0,0,0,1,2,0,2
22,2,0,3,3,3,3,2,1,4,2,2,0,2,0,1,2,2,1,4,2,0,2,1,3,2,4,0,2,1,2,3,1,2,4,0,2
23,4,2,1,2,2,1,0,0,1,3,1,2,1,1,1,0,3,1,2,4,2,3,0,0,2,1,0,1,0,2,1,1,2,0,3,2
24,2,0,0,1,1,0,1,1,1,0,0,0,1,1,2,0,1,2,0,0,0,1,2,3,0,0,2,1,0,2,0,2,3,2,0,0
25,2,1,2,4,2,1,0,1,4,0,4,2,0,0,1,0,4,1,1,2,1,0,1,2,0,1,0,4,0,0,1,4,0,0,0,0
26,0,0,1,3,1,0,3,2,1,0,0,1,0,0,2,2,2,3,3,0,3,1,0,3,0,3,1,2,0,1,2,1,2,2,3,0
27,3,1,1,4,1,0,1,2,2,1,1,0,2,3,1,3,3,2,4,1,0,1,0,1,0,0,2,1,0,0,1,2,2,3,3,2
28,1,0,1,3,1,0,0,2,1,1,2,2,0,1,2,2,0,1,2,2,1,1,3,2,2,3,3,5,3,1,2,0,5,3,2,2
29,5,3,1,1,0,0,2,1,1,2,1,1,2,1,0,0,2,1,1,1,1,1,1,1,1,2,3,5,1,1,1,4,4,1,1,2
30,2,0,1,0,3,0,0,0,1,1,2,0,0,1,1,3,0,3,1,1,2,2,0,2,3,1,3,3,2,2,0,2,0,0,3,3
