,homeTeam,awayTeam,Home Team Rank,Away Team Rank,Home Team Scored Goals,Home Team Received Goals,Away Team Scored Goals,Away Team received Goals
0,Balikesirspor,Akhisar Belediyespor,18,3,,,,
1,Rizespor,Genclerbirligi,7,8,,,,
2,Bursaspor,Galatasaray,16,1,,,,
3,Buyuksehyr,Kasimpasa,9,10,,,,
4,Eskisehirspor,Konyaspor,4,14,,,,
5,Mersin Idman Yurdu,Besiktas,15,5,,,,
6,Erciyesspor,Trabzonspor,11,12,,,,
7,Fenerbahce,Karabukspor,2,13,,,,
8,Sivasspor,Gaziantepspor,17,6,,,,
9,Galatasaray,Eskisehirspor,1,4,,,,
10,Genclerbirligi,Bursaspor,8,16,,,,
11,Karabukspor,Buyuksehyr,15,12,,,,
12,Konyaspor,Balikesirspor,7,18,,,,
13,Gaziantepspor,Erciyesspor,6,11,,,,
14,Kasimpasa,Mersin Idman Yurdu,9,16,,,,
15,Trabzonspor,Fenerbahce,13,3,,,,
16,Akhisar Belediyespor,Sivasspor,2,17,,,,
17,Besiktas,Rizespor,4,10,,,,
18,Eskisehirspor,Genclerbirligi,5,14,,,,
19,Balikesirspor,Galatasaray,18,1,,,,
20,Erciyesspor,Akhisar Belediyespor,11,2,,,,
21,Mersin Idman Yurdu,Rizespor,6,16,,,,
22,Fenerbahce,Gaziantepspor,2,10,,,,
23,Kasimpasa,Karabukspor,4,18,,,,
24,Sivasspor,Konyaspor,17,7,,,,
25,Bursaspor,Besiktas,13,3,,,,
26,Buyuksehyr,Trabzonspor,11,12,,,,
27,Galatasaray,Sivasspor,8,17,,,,
28,Besiktas,Eskisehirspor,3,9,,,,
29,Trabzonspor,Kasimpasa,12,4,,,,
30,Akhisar Belediyespor,Fenerbahce,1,2,,,,
31,Genclerbirligi,Balikesirspor,3,15,2.0,1.0,1.0,1.6666666666666667
32,Konyaspor,Erciyesspor,9,14,1.0,0.3333333333333333,1.3333333333333333,1.6666666666666667
33,Rizespor,Bursaspor,16,8,0.3333333333333333,1.3333333333333333,1.0,0.6666666666666666
34,Gaziantepspor,Buyuksehyr,11,12,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333
35,Karabukspor,Mersin Idman Yurdu,18,4,0.3333333333333333,1.3333333333333333,2.0,0.6666666666666666
36,Mersin Idman Yurdu,Bursaspor,4,8,2.0,0.6666666666666666,1.0,0.6666666666666666
37,Erciyesspor,Galatasaray,14,5,1.3333333333333333,1.6666666666666667,0.6666666666666666,1.0
38,Fenerbahce,Konyaspor,6,9,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333
39,Kasimpasa,Gaziantepspor,7,11,1.6666666666666667,1.3333333333333333,0.6666666666666666,1.0
40,Sivasspor,Genclerbirligi,17,3,1.0,1.3333333333333333,2.0,1.0
41,Balikesirspor,Besiktas,18,1,1.0,1.3333333333333333,1.0,0.3333333333333333
42,Buyuksehyr,Akhisar Belediyespor,7,5,1.6666666666666667,0.3333333333333333,1.3333333333333333,1.6666666666666667
43,Eskisehirspor,Rizespor,12,11,0.6666666666666666,1.6666666666666667,0.6666666666666666,1.3333333333333333
44,Karabukspor,Trabzonspor,15,16,1.3333333333333333,1.3333333333333333,0.6666666666666666,1.6666666666666667
45,Galatasaray,Fenerbahce,3,4,1.3333333333333333,1.3333333333333333,1.0,1.0
46,Gaziantepspor,Karabukspor,13,15,0.6666666666666666,1.6666666666666667,1.3333333333333333,1.3333333333333333
47,Konyaspor,Buyuksehyr,10,7,0.6666666666666666,1.0,1.6666666666666667,0.3333333333333333
48,Akhisar Belediyespor,Kasimpasa,5,6,1.3333333333333333,1.6666666666666667,2.333333333333333,1.3333333333333333
49,Besiktas,Sivasspor,1,14,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666
50,Bursaspor,Eskisehirspor,9,12,0.6666666666666666,1.0,0.6666666666666666,1.6666666666666667
51,Trabzonspor,Mersin Idman Yurdu,10,4,1.3333333333333333,1.6666666666666667,1.6666666666666667,1.3333333333333333
52,Genclerbirligi,Erciyesspor,8,17,1.0,0.6666666666666666,0.6666666666666666,1.0
53,Rizespor,Balikesirspor,13,18,1.3333333333333333,1.3333333333333333,1.0,2.0
54,Karabukspor,Akhisar Belediyespor,16,3,1.0,1.0,1.3333333333333333,1.3333333333333333
55,Kasimpasa,Konyaspor,6,12,1.6666666666666667,1.6666666666666667,0.6666666666666666,1.0
56,Balikesirspor,Bursaspor,18,11,1.0,2.0,1.3333333333333333,1.3333333333333333
57,Fenerbahce,Genclerbirligi,5,8,1.0,1.6666666666666667,1.0,0.6666666666666666
58,Sivasspor,Rizespor,15,13,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.3333333333333333
59,Buyuksehyr,Galatasaray,7,2,1.3333333333333333,0.0,2.0,1.0
