,Galatasaray scored,Galatasaray received,Fenerbahce scored,Fenerbahce received,Akhisar Belediyespor scored,Akhisar Belediyespor received,Eskisehirspor scored,Eskisehirspor received,Besiktas scored,Besiktas received,Gaziantepspor scored,Gaziantepspor received,Rizespor scored,Rizespor received,Genclerbirligi scored,Genclerbirligi received,Buyuksehyr scored,Buyuksehyr received,Kasimpasa scored,Kasimpasa received,Erciyesspor scored,Erciyesspor received,Trabzonspor scored,Trabzonspor received,Karabukspor scored,Karabukspor received,Konyaspor scored,Konyaspor received,Mersin Idman Yurdu scored,Mersin Idman Yurdu received,Bursaspor scored,Bursaspor received,Sivasspor scored,Sivasspor received,Balikesirspor scored,Balikesirspor received
0,2,0,3,2,2,1,2,1,1,0,2,1,1,1,1,1,1,1,1,1,0,0,0,0,2,3,1,2,0,1,0,2,1,2,1,2
1,2,0,3,2,4,3,2,1,2,1,4,3,2,2,2,3,1,1,3,3,2,2,0,0,2,3,3,2,2,3,2,3,3,4,1,4
2,2,2,4,2,6,4,2,3,3,1,4,4,2,4,4,3,2,2,5,4,3,4,1,1,3,5,3,2,4,3,2,4,3,4,3,4
3,4,3,4,4,8,4,3,4,4,2,4,4,2,5,7,4,2,2,6,5,4,5,2,2,3,7,4,3,6,3,3,4,4,6,4,7
4,6,4,6,5,8,8,4,6,5,2,6,8,4,6,7,5,6,2,10,7,5,7,2,5,6,7,5,5,8,4,4,6,5,6,4,8
5,8,5,7,7,10,8,6,8,8,4,7,8,6,8,7,5,6,2,10,9,5,7,5,6,6,8,5,5,9,7,6,8,7,9,6,10
6,8,9,9,8,11,10,8,12,10,7,11,12,7,8,8,7,10,2,12,9,8,9,9,10,8,9,5,7,13,9,11,8,7,10,6,15
7,10,10,11,8,12,11,10,14,10,9,12,12,8,9,9,7,10,3,13,11,9,10,10,11,8,10,6,7,13,10,14,8,7,13,8,17
8,12,11,13,9,12,12,11,15,12,10,13,12,9,11,11,9,11,5,15,13,10,11,13,13,9,12,8,10,15,11,15,9,8,14,9,19
9,12,14,14,10,13,13,13,16,14,10,13,14,9,13,13,11,13,5,15,15,11,13,16,13,11,14,10,10,16,12,16,10,11,15,10,22
10,13,14,16,12,13,13,15,18,16,11,13,15,10,16,14,15,13,5,18,16,15,13,20,14,12,16,10,10,18,12,16,10,11,17,10,26
11,15,15,17,12,14,15,15,19,19,11,13,17,10,19,16,15,14,5,19,21,16,14,20,17,15,16,12,10,18,14,21,11,12,18,10,27
12,20,15,21,13,15,16,15,20,20,11,13,18,12,22,17,16,15,5,20,21,17,15,23,19,18,18,12,15,19,15,23,14,13,22,10,28
13,23,17,22,13,16,19,16,21,23,12,14,18,12,23,22,16,17,5,23,26,17,16,26,22,19,19,12,20,21,18,26,17,13,24,15,31
14,24,18,23,13,16,23,20,22,25,13,15,20,16,23,23,17,20,6,23,26,18,19,27,26,19,20,13,22,21,19,28,18,13,24,16,31
15,26,18,25,13,17,26,21,25,25,15,18,21,17,24,24,18,20,8,28,28,20,24,29,28,19,22,14,23,22,20,31,19,15,24,18,33
16,28,18,28,13,19,28,23,27,27,15,19,21,17,26,24,20,22,10,28,31,22,25,32,29,20,24,16,26,24,22,34,21,16,27,18,34
17,30,20,30,14,21,30,23,28,29,16,20,24,19,26,24,22,23,10,28,32,23,27,34,30,21,26,17,26,25,24,36,23,19,28,20,36
18,32,21,30,14,21,32,24,30,31,17,21,24,20,28,25,25,25,12,30,38,23,28,34,30,23,28,18,26,31,26,39,24,21,28,20,37
19,35,22,35,14,22,32,26,31,34,19,21,29,20,32,26,27,27,15,30,38,23,29,37,32,23,28,18,27,35,26,41,27,22,28,21,40
20,38,24,36,16,24,33,27,31,34,20,21,30,21,33,27,27,28,15,31,39,26,29,38,33,24,30,18,30,37,27,42,28,24,31,21,41
21,41,25,37,17,24,35,27,34,36,22,21,32,24,33,27,27,30,15,33,39,27,32,41,35,26,33,19,31,38,29,44,29,24,31,23,43
22,41,26,38,17,26,37,27,34,37,22,21,32,26,35,31,29,30,15,35,41,29,36,46,36,26,33,19,31,39,34,44,29,24,32,25,45
23,43,28,39,19,31,38,29,34,42,23,23,32,28,36,33,30,32,17,36,43,30,41,46,38,27,38,21,32,39,36,48,31,25,34,27,49
24,46,30,40,19,31,40,30,38,42,24,24,32,31,36,34,33,35,18,38,46,30,44,48,38,27,39,22,32,39,37,49,35,29,35,31,50
25,50,32,45,20,34,40,31,41,42,24,24,35,32,41,39,35,35,18,40,51,30,47,48,39,29,43,23,32,42,38,52,35,32,36,32,53
26,51,34,46,20,35,41,32,41,47,25,25,36,33,44,40,37,38,19,41,56,30,48,50,40,31,44,24,33,43,39,52,36,33,37,33,54
27,52,34,47,21,36,43,33,42,49,26,25,37,34,47,41,38,39,23,44,57,31,49,51,41,32,46,26,34,45,40,56,37,34,39,34,55
28,54,34,51,24,36,45,34,43,51,26,25,40,34,49,44,38,40,24,49,60,33,52,51,43,34,46,27,37,48,41,59,42,37,41,37,59
29,55,34,54,26,36,45,38,44,52,27,26,41,34,51,44,38,42,25,50,64,35,54,53,43,35,53,27,38,50,43,66,43,39,44,38,61
30,56,34,55,27,37,46,40,46,53,28,27,43,36,52,44,39,44,26,52,67,36,55,54,43,37,55,28,38,50,44,66,44,40,46,41,63
31,57,34,56,27,38,49,42,46,53,29,27,45,39,53,44,40,45,26,53,68,36,56,54,45,39,59,29,38,50,45,68,44,41,47,45,65
32,59,34,58,29,38,50,44,49,53,31,30,47,40,54,45,42,47,28,56,71,39,59,57,47,41,60,30,39,52,46,69,44,42,49,47,68
33,60,35,60,29,41,51,45,52,55,32,31,48,41,55,46,44,49,30,56,73,43,62,58,48,44,64,30,39,54,48,69,44,43,50,48,69
