,Besiktas scored,Besiktas received,Kasimpasa scored,Kasimpasa received,Fenerbahce scored,Fenerbahce received,Antalyaspor scored,Antalyaspor received,Rizespor scored,Rizespor received,Trabzonspor scored,Trabzonspor received,Galatasaray scored,Galatasaray received,Sivasspor scored,Sivasspor received,Akhisar Belediyespor scored,Akhisar Belediyespor received,Kayserispor scored,Kayserispor received,Osmanlispor scored,Osmanlispor received,Konyaspor scored,Konyaspor received,Genclerbirligi scored,Genclerbirligi received,Buyuksehyr scored,Buyuksehyr received,Bursaspor scored,Bursaspor received,Eskisehirspor scored,Eskisehirspor received,Mersin Idman Yurdu scored,Mersin Idman Yurdu received,Gaziantepspor scored,Gaziantepspor received
0,5,2,3,0,2,0,3,2,3,2,1,0,2,2,2,2,1,1,1,1,1,1,1,1,2,3,2,3,0,1,0,2,2,5,0,3
1,6,4,4,0,3,1,6,3,4,3,3,1,3,4,4,6,3,1,2,2,3,2,2,2,3,6,2,4,0,2,4,4,2,7,1,3
2,10,4,4,1,5,2,7,5,5,4,5,3,7,5,5,7,5,3,4,3,4,3,3,6,4,6,4,5,1,4,5,5,3,9,1,7
3,12,4,4,2,6,2,9,5,6,5,6,3,8,6,6,8,5,3,4,4,5,5,5,7,6,9,4,7,4,6,5,7,4,10,1,7
4,13,5,7,2,8,3,10,10,11,6,6,4,9,6,6,8,5,5,4,5,9,5,5,7,7,10,6,7,5,8,5,10,4,14,2,7
5,16,7,8,3,10,6,11,11,12,7,7,7,11,7,7,9,6,5,4,6,12,6,7,7,7,11,7,7,7,8,5,12,4,16,3,9
6,18,8,8,3,12,8,11,11,14,10,8,9,13,7,9,11,8,7,4,8,13,8,9,8,9,11,7,9,10,10,6,14,6,18,5,10
7,19,8,10,4,13,8,13,11,14,11,10,12,17,8,10,13,9,7,4,9,13,11,11,9,10,15,10,9,10,12,6,15,9,20,6,12
8,24,9,10,5,14,9,14,16,14,13,12,12,18,9,10,15,11,7,7,10,13,12,11,13,11,15,14,9,11,12,7,18,9,21,7,12
9,27,12,13,8,15,9,15,18,14,13,14,14,22,9,10,16,13,8,7,10,13,13,11,13,11,15,15,10,12,12,7,22,10,22,9,14
10,28,12,15,9,16,9,16,19,18,16,14,15,25,13,13,16,14,10,8,11,15,13,11,14,12,16,16,10,12,13,7,24,11,23,9,17
11,30,12,15,9,19,10,19,22,19,16,15,15,28,16,13,18,17,11,8,11,15,14,14,16,12,17,17,10,13,16,9,27,12,26,9,18
12,30,14,17,11,21,10,20,23,19,16,15,17,30,18,15,20,19,11,10,12,16,15,14,16,14,19,19,12,14,18,12,29,14,29,11,20
13,32,15,18,11,23,12,22,26,19,19,18,18,33,18,15,21,20,11,11,14,16,16,17,18,14,21,21,12,14,21,13,32,17,29,13,22
14,34,16,20,12,24,12,25,28,22,19,18,21,34,20,16,21,22,14,14,16,20,16,18,20,14,22,21,13,14,25,14,34,19,32,15,23
