,Besiktas scored,Besiktas received,Akhisar Belediyespor scored,Akhisar Belediyespor received,Genclerbirligi scored,Genclerbirligi received,Trabzonspor scored,Trabzonspor received,Galatasaray scored,Galatasaray received,Buyuksehyr scored,Buyuksehyr received,Bursaspor scored,Bursaspor received,Rizespor scored,Rizespor received,Antalyaspor scored,Antalyaspor received,Konyaspor scored,Konyaspor received,Osmanlispor scored,Osmanlispor received,Adanaspor scored,Adanaspor received,Fenerbahce scored,Fenerbahce received,Gaziantepspor scored,Gaziantepspor received,Alanyaspor scored,Alanyaspor received,Kasimpasa scored,Kasimpasa received,Karabukspor scored,Karabukspor received,Kayserispor scored,Kayserispor received
0,4,1,2,0,2,0,2,0,1,0,1,0,2,1,1,1,0,0,1,1,0,0,1,2,0,1,0,2,1,4,0,2,0,1,0,2
1,2,2,1,3,2,2,0,1,3,1,2,0,0,2,0,3,1,2,2,2,2,2,1,1,3,3,1,0,2,1,1,1,3,0,3,3
2,3,1,0,1,0,0,0,2,1,1,3,1,1,0,1,0,1,3,3,1,2,0,0,0,0,1,0,0,0,0,1,3,1,3,1,1
3,2,0,0,2,1,1,0,3,2,0,1,0,3,1,0,2,2,3,1,1,1,0,0,1,5,1,0,1,3,0,1,5,3,2,1,3
4,2,2,0,0,2,0,1,0,2,2,2,2,1,0,1,2,0,0,0,1,2,2,3,2,2,1,1,2,2,3,0,1,0,2,2,1
5,1,0,0,0,0,0,0,4,3,1,5,0,2,3,0,1,1,3,1,0,1,1,0,1,1,1,3,2,0,5,3,1,4,0,1,3
6,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,2,1,1,0,0,1,1,0,0,2,1,0,1
7,3,0,1,0,1,2,1,0,0,1,2,0,2,0,2,1,0,3,0,1,1,2,0,1,1,0,1,2,0,2,2,1,0,2,2,1
8,1,1,1,5,1,1,2,2,1,0,5,1,2,0,2,2,1,0,0,2,1,3,0,1,5,0,3,1,1,2,2,1,0,5,0,1
9,2,1,1,3,0,1,1,2,1,2,2,1,0,0,2,2,1,0,2,1,1,1,2,2,3,1,3,4,4,3,1,2,0,0,1,1
10,2,1,0,0,2,0,0,1,0,2,2,1,0,0,1,2,1,0,3,0,2,0,1,2,2,0,0,3,0,2,2,2,2,2,0,2
11,1,1,1,0,0,0,0,0,3,1,1,1,1,3,1,5,1,0,1,1,1,1,0,1,5,1,0,2,3,0,0,1,2,0,0,3
12,0,0,2,1,2,0,1,0,2,1,2,2,2,1,1,2,2,2,3,2,2,1,0,2,0,0,1,2,2,3,1,2,1,2,0,1
13,2,1,1,2,0,0,4,1,3,1,0,0,1,2,0,1,1,0,1,0,2,1,1,4,0,1,1,3,2,0,1,0,0,2,0,1
14,1,2,0,0,0,3,0,1,2,2,1,0,2,1,2,1,1,2,1,1,2,2,2,1,3,0,1,2,0,0,2,1,1,1,1,2
15,1,0,1,0,3,1,0,3,5,1,1,1,1,3,0,1,2,1,0,1,1,0,1,1,3,0,0,1,1,5,1,2,0,2,2,0
16,2,0,0,1,0,3,2,1,1,0,5,0,1,2,3,2,3,0,0,1,0,2,2,2,2,2,0,3,2,3,3,0,1,0,0,5
