,Galatasaray scored,Galatasaray received,Kasimpasa scored,Kasimpasa received,Yeni Malatyaspor scored,Yeni Malatyaspor received,Besiktas scored,Besiktas received,Trabzonspor scored,Trabzonspor received,Akhisar Belediyespor scored,Akhisar Belediyespor received,Buyuksehyr scored,Buyuksehyr received,Fenerbahce scored,Fenerbahce received,Goztep scored,Goztep received,Genclerbirligi scored,Genclerbirligi received,Karabukspor scored,Karabukspor received,Konyaspor scored,Konyaspor received,Bursaspor scored,Bursaspor received,Sivasspor scored,Sivasspor received,Alanyaspor scored,Alanyaspor received,Osmanlispor scored,Osmanlispor received,Antalyaspor scored,Antalyaspor received,Kayserispor scored,Kayserispor received
0,4,1,3,1,3,1,2,0,2,1,1,0,1,0,2,2,2,2,1,1,1,1,1,2,0,1,0,1,1,3,1,3,0,2,1,4
1,3,1,2,2,0,2,2,2,2,2,2,2,1,3,2,2,0,1,0,3,3,1,3,0,3,2,2,0,2,3,1,3,2,2,1,0
2,3,0,1,2,1,1,2,1,2,3,2,1,2,1,2,1,3,2,1,2,1,1,1,2,1,2,0,3,1,1,2,2,1,1,2,2
3,1,1,3,2,2,3,1,0,3,1,0,3,3,2,2,3,2,0,1,3,0,1,0,2,3,0,0,2,2,0,0,2,1,1,2,0
4,2,0,0,2,2,4,2,0,2,2,2,1,2,2,4,1,3,2,2,3,1,2,0,2,4,2,4,2,1,4,2,4,0,2,2,0
5,2,1,1,1,4,2,1,2,3,4,0,2,0,1,2,1,3,2,1,0,2,4,2,0,1,2,2,3,4,3,0,3,3,0,1,1
6,3,2,0,3,1,1,2,2,2,2,1,0,2,1,0,1,1,2,1,4,2,3,1,1,1,3,3,1,4,1,3,0,1,3,3,1
7,2,0,2,3,1,3,1,2,1,6,6,1,2,1,3,1,3,1,2,1,1,0,0,2,3,1,3,2,1,2,1,3,1,3,0,1
8,0,0,1,2,1,0,1,1,0,1,3,3,1,1,0,0,3,3,3,3,0,3,1,2,0,0,0,0,3,3,3,0,2,1,2,1
9,1,2,3,1,1,0,2,1,2,1,1,2,2,1,3,3,1,3,0,1,0,1,1,0,4,0,1,0,1,2,0,1,0,4,3,3
10,5,1,2,2,0,2,3,1,0,0,0,4,2,0,1,1,1,3,1,5,1,2,1,2,2,2,2,1,4,0,1,1,2,1,0,0
11,1,5,2,0,0,1,0,0,4,3,0,0,5,1,4,1,0,0,1,2,0,2,1,1,0,0,1,4,1,0,3,4,1,1,2,1
12,2,0,2,1,0,0,0,0,2,1,0,2,1,1,1,0,2,0,0,2,1,2,1,2,2,1,1,2,0,2,2,0,0,1,1,1
13,0,3,2,4,0,0,3,0,3,0,0,0,1,0,4,2,1,0,4,0,0,1,0,3,3,0,0,4,1,2,0,1,0,3,2,1
14,4,2,0,3,2,3,1,1,3,0,2,4,0,1,1,0,3,2,1,1,0,2,2,0,0,1,1,0,0,3,3,0,1,1,1,1
15,1,2,0,0,2,1,5,1,1,0,0,2,4,1,2,0,1,0,0,0,0,2,0,1,0,1,1,1,1,1,1,5,1,4,2,0
16,3,1,1,2,1,0,1,2,1,1,2,3,2,1,1,1,1,3,1,1,1,1,1,1,1,1,2,1,1,3,3,2,3,1,0,1
17,3,1,3,2,0,0,2,1,2,2,1,1,3,0,2,1,1,2,2,0,0,2,2,2,0,3,1,1,2,3,0,0,1,2,1,3
18,2,0,1,2,1,0,2,1,1,1,1,1,5,0,1,1,1,1,2,1,0,5,1,2,1,3,0,1,3,1,0,2,1,1,1,1
19,1,2,2,0,1,3,2,2,0,0,0,2,1,1,2,2,0,0,2,2,1,0,1,1,2,2,2,1,0,1,0,1,3,1,1,0
20,3,0,1,1,1,1,5,0,0,0,1,0,0,2,2,0,3,3,0,0,0,5,2,1,0,1,1,1,1,2,3,3,0,3,1,1
21,1,2,2,1,0,0,1,1,0,1,3,0,1,0,3,0,0,3,3,0,0,3,1,1,0,0,3,2,0,3,2,3,2,1,1,2
22,5,0,2,3,3,1,3,1,2,1,3,0,1,1,1,3,1,0,1,1,1,3,0,3,0,5,0,1,1,2,0,0,0,0,3,2
23,7,0,1,1,1,0,2,0,0,2,3,2,2,0,2,3,0,2,0,1,0,7,0,1,1,0,4,1,1,0,1,1,1,4,0,1
24,2,1,2,2,0,2,1,0,3,1,1,3,1,4,2,0,2,1,0,1,2,3,1,2,1,2,2,2,4,1,2,1,1,2,3,2
25,0,0,2,3,1,4,0,1,4,1,1,1,1,0,0,0,1,1,1,1,0,4,2,0,1,0,0,1,1,1,4,0,3,2,0,2
26,2,1,2,0,4,1,1,0,1,2,1,2,2,1,5,0,0,2,1,4,0,1,0,0,0,2,1,0,0,1,0,0,2,0,0,5
27,0,1,1,0,0,1,5,1,4,0,1,3,1,0,2,0,1,5,1,0,1,2,5,0,0,1,0,5,3,1,0,2,2,1,0,4
28,2,0,2,0,1,1,3,0,3,3,0,3,0,2,2,1,2,1,2,3,0,2,0,0,1,2,1,2,1,1,3,3,0,0,3,2
29,3,2,0,2,1,3,3,1,0,2,1,1,3,1,4,1,1,1,0,3,1,4,2,0,4,1,2,0,2,3,3,0,1,4,1,3
30,2,0,1,4,0,0,0,2,2,1,0,0,4,1,4,1,5,0,0,1,0,5,1,2,2,1,1,0,2,1,1,4,1,2,1,2
31,2,1,5,2,0,0,2,0,2,5,1,2,1,1,2,1,0,0,0,1,0,1,1,0,1,2,1,1,1,1,1,1,1,0,0,2
32,2,0,3,1,0,2,3,2,3,1,2,1,2,0,7,0,1,1,1,3,0,7,1,1,1,3,2,2,2,2,2,3,0,2,1,2
33,1,0,2,3,3,2,5,1,3,0,2,1,3,2,3,2,0,1,1,0,0,3,2,3,0,1,1,5,3,2,1,2,2,3,2,3
