,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,Galatasaray,Yeni Malatyaspor,Buyuksehyr,Kayserispor,Konyaspor,Kasimpasa,Besiktas,Fenerbahce,Sivasspor,Erzurum BB,Rizespor,Akhisar Belediyespor,Bursaspor,Alanyaspor,Goztep,Ankaragucu,Antalyaspor,Trabzonspor
1,Besiktas,Galatasaray,Yeni Malatyaspor,Kasimpasa,Kayserispor,Konyaspor,Buyuksehyr,Ankaragucu,Trabzonspor,Fenerbahce,Sivasspor,Rizespor,Akhisar Belediyespor,Bursaspor,Antalyaspor,Erzurum BB,Goztep,Alanyaspor
2,Galatasaray,Kasimpasa,Yeni Malatyaspor,Buyuksehyr,Besiktas,Kayserispor,Konyaspor,Ankaragucu,Trabzonspor,Antalyaspor,Fenerbahce,Goztep,Sivasspor,Rizespor,Bursaspor,Akhisar Belediyespor,Erzurum BB,Alanyaspor
3,Kasimpasa,Galatasaray,Buyuksehyr,Kayserispor,Konyaspor,Trabzonspor,Besiktas,Yeni Malatyaspor,Antalyaspor,Ankaragucu,Sivasspor,Bursaspor,Fenerbahce,Goztep,Alanyaspor,Rizespor,Akhisar Belediyespor,Erzurum BB
4,Galatasaray,Buyuksehyr,Kasimpasa,Besiktas,Konyaspor,Kayserispor,Trabzonspor,Yeni Malatyaspor,Ankaragucu,Antalyaspor,Fenerbahce,Goztep,Alanyaspor,Sivasspor,Bursaspor,Rizespor,Erzurum BB,Akhisar Belediyespor
5,Buyuksehyr,Galatasaray,Kasimpasa,Besiktas,Konyaspor,Yeni Malatyaspor,Ankaragucu,Antalyaspor,Goztep,Alanyaspor,Kayserispor,Trabzonspor,Fenerbahce,Akhisar Belediyespor,Bursaspor,Sivasspor,Rizespor,Erzurum BB
6,Galatasaray,Buyuksehyr,Besiktas,Antalyaspor,Goztep,Kasimpasa,Alanyaspor,Konyaspor,Yeni Malatyaspor,Trabzonspor,Ankaragucu,Sivasspor,Kayserispor,Fenerbahce,Rizespor,Akhisar Belediyespor,Bursaspor,Erzurum BB
7,Galatasaray,Buyuksehyr,Besiktas,Kasimpasa,Trabzonspor,Antalyaspor,Konyaspor,Yeni Malatyaspor,Goztep,Alanyaspor,Ankaragucu,Sivasspor,Kayserispor,Bursaspor,Fenerbahce,Rizespor,Akhisar Belediyespor,Erzurum BB
8,Galatasaray,Buyuksehyr,Kasimpasa,Antalyaspor,Besiktas,Goztep,Trabzonspor,Konyaspor,Ankaragucu,Yeni Malatyaspor,Alanyaspor,Sivasspor,Bursaspor,Kayserispor,Fenerbahce,Rizespor,Erzurum BB,Akhisar Belediyespor
9,Buyuksehyr,Kasimpasa,Galatasaray,Besiktas,Antalyaspor,Ankaragucu,Trabzonspor,Yeni Malatyaspor,Goztep,Konyaspor,Bursaspor,Kayserispor,Alanyaspor,Sivasspor,Fenerbahce,Rizespor,Akhisar Belediyespor,Erzurum BB
