,Fenerbahce scored,Fenerbahce received,Genclerbirligi scored,Genclerbirligi received,Kayserispor scored,Kayserispor received,Manisaspor scored,Manisaspor received,Ankaraspor scored,Ankaraspor received,Denizlispor scored,Denizlispor received,Galatasaray scored,Galatasaray received,Gaziantepspor scored,Gaziantepspor received,Konyaspor scored,Konyaspor received,Sakaryaspor scored,Sakaryaspor received,Antalyaspor scored,Antalyaspor received,Bursaspor scored,Bursaspor received,Rizespor scored,Rizespor received,Ankaragucu scored,Ankaragucu received,Sivasspor scored,Sivasspor received,Besiktas scored,Besiktas received,Trabzonspor scored,Trabzonspor received,Erciyesspor scored,Erciyesspor received
0,6,0,2,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,6
1,2,0,0,2,0,4,1,1,1,1,0,1,4,0,1,2,1,0,0,0,0,0,1,2,1,1,1,1,1,1,2,1,1,1,2,1
2,2,1,0,0,2,1,2,2,2,2,0,2,2,2,2,1,0,0,2,0,0,0,0,0,1,2,1,2,0,2,2,0,1,2,2,2
3,1,2,2,1,4,0,1,0,1,2,0,1,2,2,2,2,1,3,2,1,1,2,2,1,1,2,0,1,2,1,3,1,1,0,0,4
4,4,2,0,0,0,0,5,1,2,1,1,1,1,1,2,2,2,0,1,3,2,4,3,1,1,2,2,2,0,2,2,3,3,2,1,5
5,1,1,0,5,1,2,5,0,0,0,0,0,1,0,1,1,1,1,0,0,3,2,2,3,2,1,0,0,1,1,0,1,1,1,1,1
6,1,0,0,2,2,0,2,0,1,1,2,1,1,3,2,0,0,1,0,2,1,1,1,3,0,2,1,2,3,1,2,1,3,1,1,2
7,0,1,3,1,0,1,1,0,2,0,1,3,3,3,0,2,3,3,0,1,1,0,1,0,2,0,2,2,0,2,1,1,2,2,1,1
8,2,2,0,1,1,1,3,2,2,2,2,0,1,1,1,0,1,0,0,1,2,3,0,1,0,2,1,1,1,1,1,0,3,1,1,3
9,4,1,3,0,1,4,2,3,0,0,2,1,2,1,0,0,0,2,1,2,0,0,0,0,0,1,2,0,3,2,1,0,0,3,1,2
10,3,2,0,1,2,0,2,3,2,2,1,1,1,0,1,0,2,2,0,0,1,1,0,2,1,0,4,1,0,1,0,0,0,1,1,4
11,4,1,1,2,1,1,0,4,1,1,2,0,1,2,1,4,2,1,1,0,4,4,4,0,2,1,2,1,0,2,4,4,0,1,1,2
12,0,0,2,0,1,1,1,3,3,1,0,0,4,0,1,2,1,1,0,4,0,0,2,1,0,2,2,0,1,0,0,1,0,0,0,2
13,0,0,4,1,2,2,2,2,2,0,0,1,1,0,0,2,1,4,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
14,2,1,1,0,2,1,0,1,1,1,1,1,3,1,1,2,1,0,0,2,0,1,1,3,0,1,1,0,1,3,3,1,1,2,2,0
15,2,1,1,1,1,0,4,1,0,0,0,1,1,2,1,4,2,0,1,1,3,1,2,1,0,2,1,2,2,1,0,0,1,2,1,3
16,1,0,1,0,1,2,0,0,0,3,0,0,3,1,1,0,0,1,1,3,0,1,1,3,3,1,0,1,0,0,2,1,3,0,0,0
17,1,1,0,1,0,0,1,3,0,2,0,2,2,0,2,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,3,1,0,0,1,1
