,Antalyaspor scored,Antalyaspor received,Fenerbahce scored,Fenerbahce received,Galatasaray scored,Galatasaray received,Bursaspor scored,Bursaspor received,Trabzonspor scored,Trabzonspor received,Diyarbakirspor scored,Diyarbakirspor received,Besiktas scored,Besiktas received,Buyuksehyr scored,Buyuksehyr received,Eskisehirspor scored,Eskisehirspor received,Genclerbirligi scored,Genclerbirligi received,Kayserispor scored,Kayserispor received,Manisaspor scored,Manisaspor received,Ankaragucu scored,Ankaragucu received,Gaziantepspor scored,Gaziantepspor received,Sivasspor scored,Sivasspor received,Denizlispor scored,Denizlispor received,Ankaraspor scored,Ankaraspor received,Kasimpasa scored,Kasimpasa received
0,3,0,2,0,3,2,2,1,2,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,2,2,2,3,1,2,0,2,0,3,1,2
1,0,2,3,0,4,1,2,3,1,2,2,1,2,0,3,1,3,2,3,0,1,1,1,1,1,1,1,1,0,3,1,4,0,3,1,3
2,2,0,3,1,4,1,1,0,0,1,1,3,0,0,0,0,0,0,0,0,1,4,1,0,0,1,3,0,1,1,1,1,0,3,0,2
3,1,2,2,1,3,0,1,1,1,1,2,0,0,0,2,2,2,1,4,0,3,0,1,2,2,2,0,0,0,2,0,3,0,3,0,4
4,1,0,1,0,3,0,0,1,6,1,0,0,0,3,1,6,2,2,2,2,3,0,3,1,0,1,1,0,1,3,0,0,0,3,0,1
5,1,3,1,0,3,1,3,1,3,1,0,0,0,1,0,1,3,2,2,1,1,0,0,0,1,2,2,3,1,3,3,0,0,3,1,3
6,1,2,2,1,1,1,4,0,2,2,0,4,3,0,1,0,1,1,2,2,0,0,1,1,3,1,1,3,0,1,1,1,0,3,0,0
7,0,2,3,0,0,3,2,0,0,0,1,3,1,0,3,1,0,1,0,3,1,0,0,2,3,0,0,0,2,0,0,1,0,3,3,0
8,4,1,1,2,4,3,3,2,3,4,1,4,2,1,1,0,3,0,2,0,3,0,0,1,0,3,2,1,0,2,2,3,0,3,1,2
9,2,1,3,1,1,3,6,0,2,1,1,0,1,0,0,6,0,1,0,1,1,2,1,2,3,0,0,3,3,0,1,3,0,3,3,1
10,1,1,1,1,2,0,1,1,3,0,1,2,1,0,1,0,1,1,0,2,1,1,2,0,0,1,2,1,0,2,0,1,0,3,1,1
11,0,1,3,0,2,1,1,2,0,2,1,2,2,0,1,0,2,0,2,1,4,2,0,3,2,2,3,0,2,4,0,2,0,3,2,2
12,1,1,0,3,1,1,1,0,1,3,0,2,3,0,1,3,0,0,3,1,2,0,1,1,0,0,0,1,3,0,1,1,0,3,3,1
13,2,0,1,3,0,1,1,0,2,1,3,0,1,0,1,1,1,2,0,2,1,0,0,1,1,0,1,1,0,1,0,1,0,3,3,1
14,1,1,1,2,1,1,0,3,3,0,0,0,0,0,1,1,2,1,2,0,3,0,3,0,0,3,1,1,2,2,0,2,0,3,2,2
15,2,3,3,2,3,2,3,0,1,0,2,2,1,1,1,2,1,2,1,1,2,1,1,1,2,3,1,1,2,1,0,1,0,3,2,2
16,2,1,1,0,1,0,3,2,0,1,0,0,2,3,3,0,0,0,0,1,1,2,1,3,2,3,2,1,3,2,1,2,0,3,3,1
17,3,0,3,1,1,0,2,0,3,1,0,0,2,0,0,2,1,0,1,1,1,1,0,1,0,0,0,1,1,3,1,3,0,3,0,2
18,0,1,5,1,2,1,3,1,2,1,1,2,1,0,4,2,1,3,3,0,1,0,0,0,0,0,0,1,1,5,1,2,0,3,2,4
19,2,2,1,1,0,0,0,0,3,0,1,1,4,1,1,2,2,1,1,4,0,0,0,3,0,0,3,0,2,0,0,2,0,3,2,2
20,1,2,2,2,3,0,1,1,1,1,1,1,0,2,1,1,2,1,0,2,0,1,2,2,1,1,2,0,1,1,1,0,0,3,2,0
21,2,2,2,3,1,1,3,2,0,0,0,2,1,1,0,0,0,0,0,0,3,0,0,1,2,2,0,3,1,0,2,0,0,3,3,0
22,1,1,1,2,4,1,3,0,1,1,1,2,2,1,2,1,1,1,0,1,1,2,2,1,1,0,1,1,0,3,3,0,0,3,1,4
23,0,1,1,0,1,2,3,0,3,1,0,3,3,0,1,0,2,1,1,3,2,2,0,0,0,0,0,0,0,1,0,0,0,3,2,2
24,3,0,0,0,3,0,2,0,1,1,0,1,1,0,1,0,2,1,0,0,1,2,0,2,0,3,1,1,0,3,0,1,0,3,3,0
25,0,1,1,0,0,1,2,1,1,0,1,0,2,2,0,1,3,0,2,0,0,3,1,0,3,0,0,1,0,2,1,2,0,3,2,2
26,0,0,1,0,0,1,1,2,0,1,0,1,3,2,2,1,2,3,1,0,1,0,0,0,3,0,2,2,2,2,3,3,0,3,3,3
27,1,2,2,0,1,1,2,1,3,0,1,3,0,0,3,1,2,0,0,0,0,2,0,0,0,0,3,1,1,1,1,3,0,3,0,2
28,1,3,3,0,4,1,0,0,0,0,1,4,0,0,3,1,0,1,0,0,2,2,0,0,0,2,0,0,2,2,1,0,0,3,2,0
29,2,1,1,0,2,1,2,0,2,0,0,3,0,1,1,3,1,3,3,1,3,0,1,2,3,1,0,2,3,0,1,2,0,3,0,2
30,2,0,1,0,0,0,0,0,0,1,3,0,2,2,3,2,1,0,0,2,1,2,2,1,0,0,2,3,2,2,0,0,0,3,0,1
31,1,0,2,0,1,0,2,0,0,1,1,3,3,1,0,1,0,2,0,2,0,2,3,0,1,0,0,1,1,1,2,0,0,3,1,1
32,2,1,3,0,1,2,3,0,2,1,0,1,2,0,1,1,1,1,1,1,1,1,0,2,0,3,1,1,1,1,1,2,0,3,1,0
33,4,0,1,1,1,2,2,1,1,1,0,2,1,2,3,0,2,0,2,1,0,4,0,0,3,3,1,1,3,3,1,1,0,3,0,0
